,player_number,name,age,position,tall,weight,games,mins,goals,asists,yel,red,spg,ps,aw,motm,rating
0,29400,Robert Lewandowski,34, FW,185,81,4,344,5,0,0,0,4.5,84,1,2,8.19
1,299513,Ousmane Dembélé,25," AM(CLR),FW",178,67,4,306,1,2,2,0,3.8,83.3,0,0,7.77
2,301019,Jules Koundé,23, D(CR),178,70,2,180,0,2,0,0,1,86.1,2,0,7.76
3,402197,Pedri,19, AM(C),174,60,4,316,1,0,0,0,1,90.8,0,0,7.45
4,300447,Raphinha,25," AM(LR),FW",176,68,3(1),238,1,1,0,0,2.8,76,0.3,1,7.43
5,80774,Marc-André ter Stegen,30, GK,187,85,4,360,0,0,0,0,0,85.3,0.3,0,7.38
6,368091,Eric García,21, D(C),182,76,4,324,1,0,0,0,0.8,91.7,1.3,0,7.05
7,382234,Ansu Fati,19, AM(L),178,66,0(4),102,1,2,0,0,1.5,81.3,0,0,6.92
8,384711,Ronald Araújo,23, D(CR),188,79,4,331,0,0,3,0,0.3,84.1,2,0,6.88
9,130331,Andreas Christensen,26," D(C),DMC",187,82,2,150,0,0,0,0,0.5,93.4,0.5,0,6.84
10,422938,Álex Balde,18, Defender,175,69,3,218,0,1,1,0,0.3,87.5,0.3,0,6.81
11,44721,Sergio Busquets,34, DMC,189,76,3,256,0,0,0,1,0.3,87.2,2.3,0,6.81
12,422937,Gavi,18, AM(CL),173,70,4,295,0,0,0,0,0.8,91.8,0.8,0,6.81
13,279423,Frenkie de Jong,25," D(C),DMC",180,74,1(3),171,0,0,0,0,0.8,93.7,0.5,0,6.78
14,90782,Sergi Roberto,30," D(R),M(CR)",178,68,0(4),102,1,0,1,0,0.3,90.8,0,0,6.53
15,44288,Jordi Alba,33," D(L),M(L)",170,68,1(2),127,0,0,0,0,0,90,0.3,0,6.46
16,349760,Ferran Torres,22," AM(LR),FW",184,77,1(2),98,0,0,0,0,1.7,88.9,0,0,6.24
17,44120,Pierre-Emerick Aubameyang,33," M(CLR),FW",187,80,0(1),8,0,0,0,0,1,100,0,0,6.21
18,277269,Franck Kessie,25, M(C),183,74,0(3),37,0,0,0,0,0.7,96.3,0,0,6.05
