,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
0,Chelsea,2014,2015,38,26,9,3,73,32,87,23.0,8.0,7.0,78.0,9.0
1,Manchester City,2014,2015,38,24,7,7,83,38,79,23.0,7.0,8.0,76.0,3.0
2,Arsenal,2014,2015,38,22,9,7,71,36,75,22.0,8.0,8.0,75.0,0.0
3,Manchester United,2014,2015,38,20,10,8,62,37,70,21.0,8.0,9.0,73.0,-3.0
4,Tottenham,2014,2015,38,19,7,12,58,53,64,19.0,7.0,12.0,64.0,0.0
5,Liverpool,2014,2015,38,18,8,12,52,48,62,19.0,8.0,11.0,64.0,-2.0
6,Southampton,2014,2015,38,18,6,14,54,33,60,21.0,9.0,8.0,73.0,-13.0
7,Swansea,2014,2015,38,16,8,14,46,49,56,18.0,8.0,12.0,62.0,-6.0
8,Stoke,2014,2015,38,15,9,14,48,45,54,19.0,8.0,11.0,65.0,-11.0
9,Crystal Palace,2014,2015,38,13,9,16,47,51,48,18.0,8.0,12.0,61.0,-13.0
10,Everton,2014,2015,38,12,11,15,48,50,47,18.0,8.0,12.0,62.0,-15.0
11,West Ham,2014,2015,38,12,11,15,44,47,47,18.0,8.0,12.0,62.0,-15.0
12,West Bromwich Albion,2014,2015,38,11,11,16,38,51,44,16.0,9.0,13.0,58.0,-14.0
13,Leicester,2014,2015,38,11,8,19,46,55,41,17.0,8.0,13.0,59.0,-18.0
14,Newcastle United,2014,2015,38,10,9,19,40,63,39,15.0,8.0,15.0,54.0,-15.0
15,Sunderland,2014,2015,38,7,17,14,31,53,38,15.0,9.0,14.0,54.0,-16.0
16,Aston Villa,2014,2015,38,10,8,20,31,57,38,14.0,9.0,15.0,53.0,-15.0
17,Hull,2014,2015,38,8,11,19,33,51,35,15.0,9.0,14.0,55.0,-20.0
18,Burnley,2014,2015,38,7,12,19,28,53,33,14.0,10.0,14.0,53.0,-20.0
19,Queens Park Rangers,2014,2015,38,8,6,24,42,73,30,15.0,7.0,16.0,51.0,-21.0
20,Leicester,2015,2016,38,23,12,3,68,36,81,22.0,8.0,8.0,74.0,7.0
21,Arsenal,2015,2016,38,20,11,7,65,36,71,22.0,8.0,8.0,74.0,-3.0
22,Tottenham,2015,2016,38,19,13,6,69,35,70,22.0,8.0,8.0,75.0,-5.0
23,Manchester City,2015,2016,38,19,9,10,71,41,66,22.0,7.0,9.0,73.0,-7.0
24,Manchester United,2015,2016,38,19,9,10,49,35,66,20.0,9.0,9.0,70.0,-4.0
25,Southampton,2015,2016,38,18,9,11,59,41,63,20.0,8.0,10.0,70.0,-7.0
26,West Ham,2015,2016,38,16,14,8,65,51,62,20.0,7.0,11.0,67.0,-5.0
27,Liverpool,2015,2016,38,16,12,10,63,50,60,20.0,7.0,11.0,66.0,-6.0
28,Stoke,2015,2016,38,14,9,15,41,55,51,16.0,8.0,14.0,57.0,-6.0
29,Chelsea,2015,2016,38,12,14,12,59,53,50,19.0,7.0,12.0,64.0,-14.0
30,Everton,2015,2016,38,11,14,13,59,55,47,19.0,7.0,12.0,63.0,-16.0
31,Swansea,2015,2016,38,12,11,15,42,52,47,17.0,8.0,13.0,59.0,-12.0
32,Watford,2015,2016,38,12,9,17,40,50,45,17.0,8.0,13.0,59.0,-14.0
33,West Bromwich Albion,2015,2016,38,10,13,15,34,48,43,16.0,9.0,13.0,57.0,-14.0
34,Crystal Palace,2015,2016,38,11,9,18,39,51,42,16.0,9.0,13.0,58.0,-16.0
35,Bournemouth,2015,2016,38,11,9,18,45,67,42,16.0,7.0,15.0,54.0,-12.0
36,Sunderland,2015,2016,38,9,12,17,48,62,39,17.0,7.0,14.0,58.0,-19.0
37,Newcastle United,2015,2016,38,9,10,19,44,65,37,16.0,7.0,15.0,55.0,-18.0
38,Norwich,2015,2016,38,9,7,22,39,67,34,15.0,8.0,15.0,52.0,-18.0
39,Aston Villa,2015,2016,38,3,8,27,27,76,17,12.0,8.0,18.0,44.0,-27.0
40,Chelsea,2016,2017,38,30,3,5,85,33,93,24.0,7.0,7.0,80.0,13.0
41,Tottenham,2016,2017,38,26,8,4,86,26,86,25.0,8.0,5.0,84.0,2.0
42,Manchester City,2016,2017,38,23,9,6,80,39,78,23.0,7.0,8.0,75.0,3.0
43,Liverpool,2016,2017,38,22,10,6,78,42,76,22.0,7.0,9.0,73.0,3.0
44,Arsenal,2016,2017,38,23,6,9,77,44,75,22.0,7.0,9.0,72.0,3.0
45,Manchester United,2016,2017,38,18,15,5,54,29,69,22.0,9.0,7.0,76.0,-7.0
46,Everton,2016,2017,38,17,10,11,62,44,61,20.0,7.0,11.0,68.0,-7.0
47,Southampton,2016,2017,38,12,10,16,41,48,46,17.0,9.0,12.0,60.0,-14.0
48,Bournemouth,2016,2017,38,12,10,16,55,67,46,17.0,7.0,14.0,58.0,-12.0
49,West Bromwich Albion,2016,2017,38,12,9,17,43,51,45,17.0,8.0,13.0,60.0,-15.0
50,West Ham,2016,2017,38,12,9,17,47,64,45,16.0,7.0,15.0,56.0,-11.0
51,Leicester,2016,2017,38,12,8,18,48,63,44,17.0,7.0,14.0,57.0,-13.0
52,Stoke,2016,2017,38,11,11,16,41,56,44,16.0,8.0,14.0,57.0,-13.0
53,Crystal Palace,2016,2017,38,12,5,21,50,63,41,17.0,7.0,14.0,58.0,-17.0
54,Swansea,2016,2017,38,12,5,21,45,70,41,15.0,7.0,16.0,54.0,-13.0
55,Burnley,2016,2017,38,11,7,20,39,55,40,16.0,8.0,14.0,57.0,-17.0
56,Watford,2016,2017,38,11,7,20,40,68,40,15.0,7.0,16.0,53.0,-13.0
57,Hull,2016,2017,38,9,7,22,37,80,34,13.0,7.0,18.0,48.0,-14.0
58,Middlesbrough,2016,2017,38,5,13,20,27,53,28,14.0,10.0,14.0,52.0,-24.0
59,Sunderland,2016,2017,38,6,6,26,29,69,24,13.0,8.0,17.0,47.0,-23.0
60,Manchester City,2017,2018,38,32,4,2,106,27,100,26.0,7.0,5.0,86.0,14.0
61,Manchester United,2017,2018,38,25,6,7,68,28,81,23.0,8.0,7.0,79.0,2.0
62,Tottenham,2017,2018,38,23,8,7,74,36,77,22.0,7.0,9.0,75.0,2.0
63,Liverpool,2017,2018,38,21,12,5,84,38,75,23.0,7.0,8.0,76.0,-1.0
64,Chelsea,2017,2018,38,21,7,10,62,38,70,21.0,8.0,9.0,72.0,-2.0
65,Arsenal,2017,2018,38,19,6,13,74,51,63,20.0,6.0,12.0,68.0,-5.0
66,Burnley,2017,2018,38,14,12,12,36,39,54,18.0,10.0,10.0,63.0,-9.0
67,Everton,2017,2018,38,13,10,15,44,58,49,17.0,8.0,13.0,58.0,-9.0
68,Leicester,2017,2018,38,12,11,15,56,60,47,18.0,7.0,13.0,60.0,-13.0
69,Newcastle United,2017,2018,38,12,8,18,39,47,44,17.0,9.0,12.0,60.0,-16.0
70,Crystal Palace,2017,2018,38,11,11,16,45,55,44,17.0,8.0,13.0,59.0,-15.0
71,Bournemouth,2017,2018,38,11,11,16,45,61,44,16.0,7.0,15.0,56.0,-12.0
72,West Ham,2017,2018,38,10,12,16,48,68,42,16.0,7.0,15.0,55.0,-13.0
73,Watford,2017,2018,38,11,8,19,44,64,41,16.0,7.0,15.0,55.0,-14.0
74,Brighton,2017,2018,38,9,13,16,34,54,40,15.0,9.0,14.0,55.0,-15.0
75,Huddersfield,2017,2018,38,9,10,19,28,58,37,14.0,9.0,15.0,51.0,-14.0
76,Southampton,2017,2018,38,7,15,16,37,56,36,15.0,8.0,15.0,55.0,-19.0
77,Swansea,2017,2018,38,8,9,21,28,56,33,14.0,9.0,15.0,51.0,-18.0
78,Stoke,2017,2018,38,7,12,19,35,68,33,14.0,8.0,16.0,50.0,-17.0
79,West Bromwich Albion,2017,2018,38,6,13,19,31,56,31,14.0,9.0,15.0,53.0,-22.0
80,Manchester City,2018,2019,38,32,2,4,95,23,98,26.0,8.0,4.0,87.0,11.0
81,Liverpool,2018,2019,38,30,7,1,89,22,97,26.0,8.0,4.0,87.0,10.0
82,Chelsea,2018,2019,38,21,9,8,63,39,72,21.0,8.0,9.0,71.0,1.0
83,Tottenham,2018,2019,38,23,2,13,67,39,71,21.0,8.0,9.0,72.0,-1.0
84,Arsenal,2018,2019,38,21,7,10,73,51,70,20.0,6.0,12.0,68.0,2.0
85,Manchester United,2018,2019,38,19,9,10,65,54,66,19.0,7.0,12.0,65.0,1.0
86,Wolverhampton Wanderers,2018,2019,38,16,9,13,47,46,57,18.0,8.0,12.0,64.0,-7.0
87,Everton,2018,2019,38,15,9,14,54,46,54,19.0,8.0,11.0,66.0,-12.0
88,Leicester,2018,2019,38,15,7,16,51,48,52,18.0,8.0,12.0,64.0,-12.0
89,West Ham,2018,2019,38,15,7,16,52,55,52,18.0,7.0,13.0,61.0,-9.0
90,Watford,2018,2019,38,14,8,16,52,59,50,17.0,7.0,14.0,60.0,-10.0
91,Crystal Palace,2018,2019,38,14,7,17,51,53,49,18.0,8.0,12.0,62.0,-13.0
92,Newcastle United,2018,2019,38,12,9,17,42,48,45,17.0,8.0,13.0,61.0,-16.0
93,Bournemouth,2018,2019,38,13,6,19,56,70,45,17.0,6.0,15.0,57.0,-12.0
94,Burnley,2018,2019,38,11,7,20,45,68,40,15.0,7.0,16.0,54.0,-14.0
