,Year_end,Year_start,D,DC,G,GA,L,M,NPxG,NPxGA,NPxGD,ODC,OPPDA,PPDA,PTS,W,xG,xGA,Team,League
0,2015,2014,9,407,73,32,3,38,64.74,29.24,35.5,171,11.62,10.34,87,26,68.64,31.52,Chelsea,epl
1,2015,2014,7,575,83,38,7,38,69.61,37.45,32.15,144,13.92,7.57,79,24,75.82,40.5,Manchester City,epl
2,2015,2014,9,398,71,36,7,38,64.47,33.44,31.04,171,10.58,8.2,75,22,69.8,35.72,Arsenal,epl
3,2015,2014,10,267,62,37,8,38,50.4,36.8,13.6,194,14.16,7.13,70,20,54.21,39.84,Manchester United,epl
4,2015,2014,7,210,58,53,12,38,48.43,51.6,-3.17,232,10.74,7.72,64,19,52.39,57.04,Tottenham,epl
5,2015,2014,8,306,52,48,12,38,47.13,35.83,11.3,201,10.87,9.76,62,18,51.7,38.25,Liverpool,epl
6,2015,2014,6,270,54,33,14,38,52.68,37.59,15.09,183,13.49,8.9,60,18,54.97,39.11,Southampton,epl
7,2015,2014,8,156,46,49,14,38,39.38,54.42,-15.04,310,10.66,11.79,56,16,40.9,55.94,Swansea,epl
8,2015,2014,9,195,48,45,14,38,43.98,43.22,0.75,239,9.53,9.6,54,15,46.26,47.03,Stoke,epl
9,2015,2014,9,180,47,51,16,38,40.05,40.82,-0.77,258,6.22,10.53,48,13,44.76,45.48,Crystal Palace,epl
10,2015,2014,11,259,48,50,15,38,39.56,43.14,-3.58,245,10.91,9.61,47,12,44.89,46.18,Everton,epl
11,2015,2014,11,217,44,47,15,38,45.16,53.44,-8.28,316,8.03,11.21,47,12,46.69,57.4,West Ham,epl
12,2015,2014,11,161,38,51,16,38,34.82,48.42,-13.6,283,8.76,12.24,44,11,38.63,53.75,West Bromwich Albion,epl
13,2015,2014,8,191,46,55,19,38,45.16,53.35,-8.19,287,7.66,9.99,41,11,48.21,56.39,Leicester,epl
14,2015,2014,9,175,40,63,19,38,39.46,47.97,-8.51,239,8.24,9.77,39,10,40.22,51.01,Newcastle United,epl
15,2015,2014,17,153,31,53,14,38,34.4,48.42,-14.02,313,7.73,10.26,38,7,37.45,51.46,Sunderland,epl
16,2015,2014,8,184,31,57,20,38,32.34,46.66,-14.32,237,10.11,14.05,38,10,33.1,49.71,Aston Villa,epl
17,2015,2014,11,139,33,51,19,38,32.03,44.7,-12.67,261,9.42,12.52,35,8,32.79,46.99,Hull,epl
18,2015,2014,12,218,28,53,19,38,37.09,54.08,-16.99,258,9.43,10.74,33,7,39.37,57.89,Burnley,epl
19,2015,2014,6,179,42,73,24,38,41.91,62.22,-20.31,298,7.34,9.56,30,8,45.73,65.26,Queens Park Rangers,epl
0,2016,2015,12,217,68,36,3,38,58.52,41.98,16.55,275,7.63,9.57,81,23,68.42,45.02,Leicester,epl
1,2016,2015,11,467,65,36,7,38,72.01,33.1,38.91,192,10.83,8.35,71,20,73.53,33.86,Arsenal,epl
2,2016,2015,13,255,69,35,6,38,59.61,35.56,24.05,182,10.88,6.44,70,19,63.42,37.08,Tottenham,epl
3,2016,2015,9,379,71,41,10,38,60.11,36.71,23.4,149,11.42,7.78,66,19,66.2,37.47,Manchester City,epl
4,2016,2015,9,272,49,35,10,38,43.14,38.13,5.01,198,11.49,7.73,66,19,45.42,39.66,Manchester United,epl
5,2016,2015,9,276,59,41,11,38,53.09,43.53,9.55,194,11.14,9.12,63,18,56.2,44.29,Southampton,epl
6,2016,2015,14,212,65,51,8,38,51.36,49.39,1.97,260,8.81,9.31,62,16,54.4,55.48,West Ham,epl
7,2016,2015,12,373,63,50,10,38,52.84,35.53,17.32,158,10.85,7.48,60,16,54.37,37.88,Liverpool,epl
8,2016,2015,9,179,41,55,15,38,38.82,50.54,-11.72,257,9.53,9.94,51,14,42.63,54.35,Stoke,epl
9,2016,2015,14,354,59,53,12,38,50.67,41.58,9.09,194,10.08,8.53,50,12,54.48,44.63,Chelsea,epl
10,2016,2015,14,256,59,55,13,38,50.18,50.18,-0.01,304,10.0,11.12,47,11,53.98,54.75,Everton,epl
11,2016,2015,11,188,42,52,15,38,36.15,52.11,-15.96,254,10.77,9.46,47,12,39.96,53.63,Swansea,epl
12,2016,2015,9,193,40,50,17,38,37.87,45.74,-7.87,241,8.0,9.39,45,12,43.2,51.85,Watford,epl
13,2016,2015,13,168,34,48,15,38,35.93,47.37,-11.44,256,7.2,11.41,43,10,39.75,51.94,West Bromwich Albion,epl
14,2016,2015,9,161,39,51,18,38,38.7,49.89,-11.19,306,7.8,9.03,42,11,42.51,52.94,Crystal Palace,epl
15,2016,2015,9,199,45,67,18,38,35.66,49.4,-13.74,216,10.03,9.03,42,11,38.71,53.97,Bournemouth,epl
16,2016,2015,12,188,48,62,17,38,38.23,52.76,-14.53,312,7.68,11.64,39,9,40.52,58.85,Sunderland,epl
17,2016,2015,10,154,44,65,19,38,35.32,51.62,-16.3,294,7.6,11.48,37,9,37.61,55.42,Newcastle United,epl
18,2016,2015,7,182,39,67,22,38,38.43,51.32,-12.89,267,8.52,11.82,34,9,39.19,58.93,Norwich,epl
19,2016,2015,8,136,27,76,27,38,25.0,55.2,-30.2,300,7.68,12.2,17,3,26.53,59.01,Aston Villa,epl
0,2017,2016,3,435,85,33,5,38,58.61,27.1,31.51,150,11.14,11.08,93,30,61.8,28.62,Chelsea,epl
1,2017,2016,8,300,86,26,4,38,63.22,32.26,30.96,182,11.36,7.4,86,26,70.07,33.78,Tottenham,epl
2,2017,2016,9,441,80,39,6,38,73.0,25.66,47.34,131,14.25,6.43,78,23,79.85,29.61,Manchester City,epl
3,2017,2016,10,446,78,42,6,38,60.54,33.85,26.7,134,14.59,7.23,76,22,66.63,37.65,Liverpool,epl
4,2017,2016,6,478,77,44,9,38,59.01,39.46,19.55,199,12.54,8.26,75,23,63.58,47.07,Arsenal,epl
5,2017,2016,15,334,54,29,5,38,54.53,27.82,26.71,177,12.03,8.57,69,18,57.57,31.62,Manchester United,epl
6,2017,2016,10,197,62,44,11,38,46.59,41.98,4.61,261,10.41,9.85,61,17,49.63,45.78,Everton,epl
