,Unnamed: 0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,league,year_start,year_end
0,1,Manchester City,38,32,4,2,106,27,100,91.43,85.12,24.51,22.99,62.13,6.4,23.28,541,96,91.09,epl,2017,2018
1,2,Manchester United,38,25,6,7,68,28,81,59.04,56.63,43.54,42.78,13.85,10.25,13.15,319,243,62.33,epl,2017,2018
2,3,Tottenham,38,23,8,7,74,36,77,68.91,66.63,35.86,33.48,33.15,7.58,14.35,339,162,76.02,epl,2017,2018
3,4,Liverpool,38,21,12,5,84,38,75,77.49,75.18,35.75,31.18,44.0,9.55,19.49,436,148,79.38,epl,2017,2018
4,5,Chelsea,38,21,7,10,62,38,70,59.16,56.88,34.03,32.51,24.36,12.31,12.56,373,220,68.46,epl,2017,2018
5,6,Arsenal,38,19,6,13,74,51,63,72.27,68.46,48.75,44.18,24.29,9.13,15.64,488,203,65.9,epl,2017,2018
6,7,Burnley,38,14,12,12,36,39,54,32.77,32.77,52.16,48.35,-15.58,13.67,10.26,162,305,41.0,epl,2017,2018
7,8,Everton,38,13,10,15,44,58,49,43.71,37.5,55.5,51.69,-14.19,10.24,10.55,185,297,47.0,epl,2017,2018
8,9,Leicester,38,12,11,15,56,60,47,50.29,45.72,49.36,46.31,-0.59,11.37,9.46,183,268,55.85,epl,2017,2018
9,10,Newcastle United,38,12,8,18,39,47,44,44.63,43.86,52.47,47.75,-3.89,13.38,8.47,171,287,46.24,epl,2017,2018
10,11,Crystal Palace,38,11,11,16,45,55,44,56.75,49.14,53.54,52.01,-2.87,11.69,7.71,247,269,58.03,epl,2017,2018
11,12,Bournemouth,38,11,11,16,45,61,44,39.99,37.71,64.93,62.65,-24.94,14.03,8.96,245,339,37.64,epl,2017,2018
12,13,West Ham,38,10,12,16,48,68,42,36.8,33.76,58.37,53.71,-19.95,12.39,8.15,173,308,39.26,epl,2017,2018
13,14,Watford,38,11,8,19,44,64,41,45.85,41.13,53.98,49.41,-8.29,10.34,9.93,232,237,46.69,epl,2017,2018
14,15,Brighton,38,9,13,16,34,54,40,37.21,31.89,53.08,50.8,-18.91,15.57,11.23,159,291,40.85,epl,2017,2018
15,16,Huddersfield,38,9,10,19,28,58,37,32.13,30.61,53.22,48.5,-17.89,12.22,9.99,125,251,36.84,epl,2017,2018
16,17,Southampton,38,7,15,16,37,56,36,41.88,39.6,46.56,45.03,-5.44,9.55,11.45,225,277,48.72,epl,2017,2018
17,18,Swansea,38,8,9,21,28,56,33,29.71,28.95,61.83,57.12,-28.17,14.65,10.91,148,301,32.31,epl,2017,2018
18,19,Stoke,38,7,12,19,35,68,33,36.75,34.47,65.54,61.74,-27.26,13.81,8.11,189,315,36.17,epl,2017,2018
19,20,West Bromwich Albion,38,6,13,19,31,56,31,35.18,34.42,48.99,48.23,-13.81,13.33,8.3,140,263,42.96,epl,2017,2018
20,1,Chelsea,38,26,9,3,73,32,87,68.64,64.74,31.52,29.24,35.5,10.34,11.62,407,171,75.32,epl,2014,2015
21,2,Manchester City,38,24,7,7,83,38,79,75.82,69.61,40.5,37.45,32.15,7.57,13.92,575,144,73.1,epl,2014,2015
22,3,Arsenal,38,22,9,7,71,36,75,69.8,64.47,35.72,33.44,31.04,8.2,10.58,398,171,75.17,epl,2014,2015
23,4,Manchester United,38,20,10,8,62,37,70,54.21,50.4,39.84,36.8,13.6,7.13,14.16,267,194,63.03,epl,2014,2015
24,5,Tottenham,38,19,7,12,58,53,64,52.39,48.43,57.04,51.6,-3.17,7.72,10.74,210,232,48.94,epl,2014,2015
25,6,Liverpool,38,18,8,12,52,48,62,51.7,47.13,38.25,35.83,11.3,9.76,10.87,306,201,61.17,epl,2014,2015
26,7,Southampton,38,18,6,14,54,33,60,54.97,52.68,39.11,37.59,15.09,8.9,13.49,270,183,62.82,epl,2014,2015
27,8,Swansea,38,16,8,14,46,49,56,40.9,39.38,55.94,54.42,-15.04,11.79,10.66,156,310,43.32,epl,2014,2015
28,9,Stoke,38,15,9,14,48,45,54,46.26,43.98,47.03,43.22,0.75,9.6,9.53,195,239,51.97,epl,2014,2015
29,10,Crystal Palace,38,13,9,16,47,51,48,44.76,40.05,45.48,40.82,-0.77,10.53,6.22,180,258,50.56,epl,2014,2015
30,11,Everton,38,12,11,15,48,50,47,44.89,39.56,46.18,43.14,-3.58,9.61,10.91,259,245,50.91,epl,2014,2015
31,12,West Ham,38,12,11,15,44,47,47,46.69,45.16,57.4,53.44,-8.28,11.21,8.03,217,316,47.22,epl,2014,2015
32,13,West Bromwich Albion,38,11,11,16,38,51,44,38.63,34.82,53.75,48.42,-13.6,12.24,8.76,161,283,44.74,epl,2014,2015
33,14,Leicester,38,11,8,19,46,55,41,48.21,45.16,56.39,53.35,-8.19,9.99,7.66,191,287,44.64,epl,2014,2015
34,15,Newcastle United,38,10,9,19,40,63,39,40.22,39.46,51.01,47.97,-8.51,9.77,8.24,175,239,45.63,epl,2014,2015
35,16,Sunderland,38,7,17,14,31,53,38,37.45,34.4,51.46,48.42,-14.02,10.26,7.73,153,313,44.18,epl,2014,2015
36,17,Aston Villa,38,10,8,20,31,57,38,33.1,32.34,49.71,46.66,-14.32,14.05,10.11,184,237,40.89,epl,2014,2015
37,18,Hull,38,8,11,19,33,51,35,32.79,32.03,46.99,44.7,-12.67,12.52,9.42,139,261,41.32,epl,2014,2015
38,19,Burnley,38,7,12,19,28,53,33,39.37,37.09,57.89,54.08,-16.99,10.74,9.43,218,258,39.8,epl,2014,2015
39,20,Queens Park Rangers,38,8,6,24,42,73,30,45.73,41.91,65.26,62.22,-20.31,9.56,7.34,179,298,40.28,epl,2014,2015
40,1,Leicester,38,23,12,3,68,36,81,68.42,58.52,45.02,41.98,16.55,9.57,7.63,217,275,68.94,epl,2015,2016
41,2,Arsenal,38,20,11,7,65,36,71,73.53,72.01,33.86,33.1,38.91,8.35,10.83,467,192,77.01,epl,2015,2016
42,3,Tottenham,38,19,13,6,69,35,70,63.42,59.61,37.08,35.56,24.05,6.44,10.88,255,182,69.42,epl,2015,2016
43,4,Manchester City,38,19,9,10,71,41,66,66.2,60.11,37.47,36.71,23.4,7.78,11.42,379,149,70.14,epl,2015,2016
44,5,Manchester United,38,19,9,10,49,35,66,45.42,43.14,39.66,38.13,5.01,7.73,11.49,272,198,56.43,epl,2015,2016
45,6,Southampton,38,18,9,11,59,41,63,56.2,53.09,44.29,43.53,9.55,9.12,11.14,276,194,61.08,epl,2015,2016
46,7,West Ham,38,16,14,8,65,51,62,54.4,51.36,55.48,49.39,1.97,9.31,8.81,212,260,49.8,epl,2015,2016
47,8,Liverpool,38,16,12,10,63,50,60,54.37,52.84,37.88,35.53,17.32,7.48,10.85,373,158,63.29,epl,2015,2016
48,9,Stoke,38,14,9,15,41,55,51,42.63,38.82,54.35,50.54,-11.72,9.94,9.53,179,257,48.3,epl,2015,2016
