,Unnamed: 0,player_number,name,Year_start,Year_end,Test points,Decision tree points,Random forest points,XGBoost points,Polynomial points,dt delta ponts,rf delta ponts,xgb delta ponts,pl delta ponts
0,0,122363,Zakarie Labidi,2015,2016,6.9,6.426,6.3639666666666646,6.5300236,6.311650548984402,0.4740000000000002,0.5360333333333358,0.36997640000000054,0.5883494510155982
1,1,24929,Mathieu Valbuena,2015,2016,7.61,8.048181818181819,7.634900000000001,7.585883,7.610014979954333,0.43818181818181845,0.02490000000000059,0.024117000000000388,1.4979954332972056e-05
2,2,106596,Sergi Darder,2015,2016,6.07,6.203333333333331,6.111700000000002,6.1111794,6.0565544110555,0.13333333333333108,0.0417000000000014,0.041179399999999866,0.013445588944500209
3,3,300291,Romain Del Castillo,2015,2016,6.99,7.037999999999999,7.327500000000002,7.2593265,6.988039042639647,0.047999999999999154,0.33750000000000213,0.2693265,0.001960957360353177
4,4,300705,Lucas Tousart,2015,2016,6.59,6.787166666666666,6.759100000000001,6.729564,6.482928241576793,0.19716666666666605,0.16910000000000114,0.13956400000000002,0.10707175842320726
5,5,10426,Henri Bedimo,2015,2016,7.14,6.787166666666666,7.022400000000001,7.013564,6.977624748118877,0.3528333333333338,0.1175999999999986,0.126436,0.162375251881123
6,6,14488,Milan Bisevac,2015,2016,6.44,6.609148936170213,6.668100000000003,6.399107,6.408023286819925,0.16914893617021232,0.2281000000000022,0.04089300000000051,0.03197671318007522
7,7,33630,Bakary Koné,2015,2016,6.97,7.247066666666665,7.119499999999999,7.0965524,6.9053350379038925,0.27706666666666546,0.14949999999999886,0.12655240000000045,0.06466496209610728
8,8,274906,Olivier Kemen,2015,2016,7.81,7.645384615384614,7.559500000000002,7.704314,7.793161031800436,0.16461538461538527,0.25049999999999795,0.1056859999999995,0.016838968199563986
9,9,95422,Jordan Ferri,2015,2016,6.56,6.865625000000001,6.646399999999999,6.646557,6.548057658493959,0.3056250000000018,0.08639999999999937,0.086557,0.011942341506040677
