,Test points,name,Decision tree points,Random forest points,XGBoost points,Polynomial points
0,6.9,Zakarie Labidi,6.426,6.3639666666666646,6.5300236,6.311650548984402
1,7.61,Mathieu Valbuena,8.048181818181815,7.634900000000001,7.585883,7.610014979954333
2,6.07,Sergi Darder,6.203333333333334,6.111700000000002,6.1111794,6.0565544110555
3,6.99,Romain Del Castillo,7.038000000000001,7.327500000000002,7.2593265,6.988039042639647
4,6.59,Lucas Tousart,6.787166666666666,6.759100000000001,6.729564,6.482928241576793
5,7.14,Henri Bedimo,6.787166666666666,7.022400000000001,7.013564,6.977624748118877
6,6.44,Milan Bisevac,6.609148936170212,6.668100000000003,6.399107,6.408023286819925
7,6.97,Bakary Koné,7.247066666666666,7.119499999999999,7.0965524,6.9053350379038925
8,7.81,Olivier Kemen,7.645384615384617,7.559500000000002,7.704314,7.7931610318004365
9,6.56,Jordan Ferri,6.8656250000000005,6.646399999999999,6.646557,6.548057658493959
10,6.37,Maxime Gonalons,6.574358974358975,6.524900000000002,6.3937664,6.641422432719439
11,6.63,Steed Malbranque,6.900476190476192,6.8199999999999985,6.879225,6.652845832117634
12,6.07,Arnold Mvuemba,6.381315789473682,6.7724,6.561057,5.979406356918658
13,7.75,Christophe Jallet,7.400799999999999,7.447899999999999,7.433193,7.775546877265166
14,7.54,Corentin Tolisso,6.676818181818181,6.864599999999997,7.01455,7.403479003061704
15,6.85,Anthony Lopes,7.038000000000001,7.110699999999998,7.1354866,6.964164261308603
16,6.02,Mathieu Valbuena,6.0805,6.1100500000000055,6.113691,6.28680030633599
17,6.97,Lucas Tousart,6.581626016260165,6.67,6.6164846,7.028983270347891
18,6.18,Maxwel Cornet,6.203333333333334,6.167699999999996,6.0731354,6.046839881836697
19,7.25,Jérémy Morel,7.004,7.045499999999996,7.0680246,7.269539357181906
20,6.5,Memphis Depay,6.0805,6.2758999999999965,6.149198,6.486366991642954
21,7.08,Alexandre Lacazette,6.982622950819672,6.955400000000001,7.0575857,7.25330436015168
22,7.42,Emanuel Mammana,6.823809523809524,7.1038,7.2178493,7.335379992746752
23,7.82,Mouctar Diakhaby,7.645384615384617,7.508599999999994,7.6125712,7.771598526380042
24,6.26,Mathieu Gorgelin,6.367962962962963,6.432820000000006,6.37137,6.168009993537651
25,6.8,Maciej Rybus,6.861333333333332,6.759999999999996,6.6573443,6.780573763314682
26,7.02,Sergi Darder,7.247066666666666,7.156400000000001,7.1083746,7.057078523586587
27,6.99,Clément Grenier,6.845909090909092,6.868800000000001,6.900889,7.040990093958841
28,5.93,Houssem Aouar,6.367962962962963,6.577700000000002,6.5460258,5.833805433578646
29,6.91,Jordy Gaspar,6.8496969696969705,6.7617999999999965,6.8811526,6.927414531378059
30,6.93,Mapou Yanga-Mbiwa,6.781315789473686,6.703700000000003,6.7846303,7.090423178785569
31,6.75,Maxime Gonalons,6.692588235294114,6.872799999999999,6.957898,6.914577782785949
32,7.32,Nabil Fekir,6.978035714285714,7.080100000000001,7.0167737,7.275851509512537
33,6.86,Rachid Ghezzal,6.808219178082192,6.8355999999999995,6.8306885,6.636701064224832
34,6.38,Jordan Ferri,6.4750847457627145,6.4223,6.447575,6.148727522862938
35,7.01,Jean-Philippe Mateta,7.056964285714285,7.1061000000000005,7.0385165,7.00203814200234
36,6.79,Olivier Kemen,6.678750000000001,6.839999999999993,6.786288,6.744710643953382
37,6.24,Rafael,6.203333333333334,6.171799999999998,6.262788,6.312079187161358
38,6.69,Maxwel Cornet,6.808219178082192,6.9401999999999955,6.9177213,6.804131676996618
39,6.47,Memphis Depay,6.381315789473682,6.218300000000002,6.22355,6.438622314872744
40,6.8,Bertrand Traoré,6.982622950819672,6.9988,6.9214473,6.809812094339587
41,6.38,Kenny Tete,6.426938775510205,6.315799999999999,6.305119,6.303102211627673
42,6.87,Houssem Aouar,6.784204545454545,6.971200000000002,6.966595,7.201633060410492
43,6.23,Ferland Mendy,6.690952380952379,6.677500000000002,6.702729,6.335344795501256
44,6.73,Rafael,6.798059701492538,6.779700000000003,6.779672,6.834392089775655
45,6.61,Marcelo,6.678750000000001,6.669200000000001,6.6796613,6.624432735072033
46,7.2,Anthony Lopes,7.400799999999999,7.396699999999997,7.495375,7.1601203435397665
47,6.85,Mouctar Diakhaby,6.733636363636363,6.784699999999999,6.9562454,7.001857372452447
48,6.54,Jérémy Morel,6.614069767441865,6.572000000000002,6.576473,6.605242459408434
