,Unnamed: 0,player_number,name,age,position,tall,weight
0,0,8040,Cesc Fàbregas,35," M(CL),FW",180,77
1,1,4564,Robin van Persie,39," AM(C),FW",183,71
2,2,18214,Abou Diaby,36, M(C),191,75
3,3,10599,Alexandre Song,35, M(C),185,74
4,4,27550,Kieran Gibbs,32," D(L),M(L)",181,73
5,5,6042,Gaël Clichy,37, D(L),176,65
6,6,10209,Thomas Vermaelen,36, D(CL),183,80
7,7,4599,Andrey Arshavin,41, AM(LR),172,69
8,8,22649,Denílson,34, M(C),182,70
9,9,24366,Armand Traore,32," D(L),M(L)",185,81
10,10,13298,Samir Nasri,35, M(CLR),175,75
11,11,1554,William Gallas,45, D(C),181,69
12,12,958,Sol Campbell,48, D(L),188,88
13,13,19471,Bacary Sagna,39, D(CR),176,72
14,14,8039,Emmanuel Eboué,39, D(R),178,72
15,15,13819,Nicklas Bendtner,34, FW,193,84
16,16,845,Tomas Rosicky,41, M(CR),178,65
17,17,26820,Aaron Ramsey,31, M(CLR),178,76
18,18,21682,Vito Mannone,34, GK,188,77
19,19,82231,Craig Eastmond,31, M(C),173,75
20,20,523,Mikaël Silvestre,45, D(C),184,85
21,21,13796,Theo Walcott,33," M(CLR),FW",176,68
22,22,7412,Eduardo da Silva,39," M(C),FW",177,72
23,23,8041,Manuel Almunia,45, GK,191,86
24,24,11680,Johan Djourou,35, D(C),191,87
25,25,32860,Fran Mérida,32, AM(C),177,74
26,26,20973,Lukasz Fabianski,37, GK,190,83
27,27,32858,Henri Lansbury,31, M(C),183,78
28,28,25165,Carlos Vela,33," M(CLR),FW",177,77
29,29,42686,Jack Wilshere,30, M(CLR),172,68
0,0,4384,Didier Drogba,44, FW,189,91
1,1,48,Frank Lampard,44, M(C),184,89
2,2,1563,Florent Malouda,42, M(CL),184,73
3,3,1832,Michael Essien,39," D(R),DMC",183,78
4,4,527,Nicolas Anelka,43, FW,185,77
5,5,15338,Branislav Ivanovic,38, D(CR),185,80
6,6,2351,Deco,45, M(C),175,69
7,7,342,Ashley Cole,41," D(L),M(L)",176,66
8,8,10685,José Bosingwa,40, D(CLR),183,75
9,9,10132,Alex,40, D(C),188,92
10,10,70,John Terry,41, D(C),187,90
11,11,6666,Ricardo Carvalho,44, D(C),183,79
12,12,255,Michael Ballack,45," D(C),M(C),FW",189,88
