,Team,player_number,Year_start,Year_end,key_passes_per_game,passes_per_game,crosses_per_game,long_ball_per_game,through_balls_per_game
0,Arsenal,8040,2009,2010,3.5,66.1,1.1,4.2,1.0
1,Arsenal,4564,2009,2010,2.6,27.4,0.9,0.6,0.8
2,Arsenal,13819,2009,2010,0.8,22.0,0.2,0.5,0.1
3,Arsenal,7412,2009,2010,1.2,15.3,0.0,0.2,0.1
4,Arsenal,13298,2009,2010,2.0,44.7,1.1,1.8,0.4
5,Arsenal,845,2009,2010,1.1,29.6,0.3,0.7,0.2
6,Arsenal,26820,2009,2010,0.8,34.8,0.1,2.4,0.1
7,Arsenal,19471,2009,2010,0.8,45.9,0.9,1.1,0.0
8,Arsenal,8039,2009,2010,1.0,29.8,0.2,1.1,0.2
9,Arsenal,18214,2009,2010,1.2,53.3,0.1,1.4,0.3
10,Arsenal,13796,2009,2010,1.0,14.6,0.8,0.2,0.2
11,Arsenal,10599,2009,2010,0.9,57.2,0.0,3.1,0.4
12,Arsenal,4599,2009,2010,1.3,29.3,0.5,0.8,0.4
13,Arsenal,22649,2009,2010,0.6,63.0,0.2,3.4,0.1
14,Arsenal,6042,2009,2010,0.5,49.0,0.5,2.4,0.0
15,Arsenal,8041,2009,2010,0.0,27.5,0.0,6.4,0.0
16,Arsenal,10209,2009,2010,0.2,34.3,0.0,2.7,0.0
17,Arsenal,24366,2009,2010,0.3,49.8,0.1,1.9,0.0
18,Arsenal,25165,2009,2010,0.5,9.1,0.1,0.3,0.0
19,Arsenal,82231,2009,2010,0.5,26.0,0.0,0.8,0.0
20,Arsenal,32860,2009,2010,0.3,11.8,0.0,0.3,0.0
21,Arsenal,32858,2009,2010,1.0,16.0,1.0,2.0,0.0
22,Arsenal,42686,2009,2010,0.0,2.0,0.0,0.0,0.0
23,Arsenal,11680,2009,2010,0.0,19.0,0.0,4.0,0.0
24,Arsenal,27550,2009,2010,0.3,55.0,0.7,1.3,0.0
25,Arsenal,20973,2009,2010,0.0,26.0,0.0,5.3,0.0
26,Arsenal,523,2009,2010,0.3,36.9,0.0,3.3,0.0
27,Arsenal,958,2009,2010,0.2,34.6,0.0,2.2,0.0
28,Arsenal,21682,2009,2010,0.0,25.6,0.0,8.6,0.0
29,Arsenal,1554,2009,2010,0.1,39.3,0.0,2.0,0.0
0,Chelsea,48,2009,2010,3.2,53.4,1.6,3.9,0.6
1,Chelsea,4384,2009,2010,1.8,20.0,0.7,0.8,0.2
2,Chelsea,1563,2009,2010,2.5,41.2,1.8,2.2,0.2
3,Chelsea,527,2009,2010,1.8,31.4,0.6,1.0,0.1
4,Chelsea,15338,2009,2010,1.1,35.8,0.7,1.9,0.0
5,Chelsea,487,2009,2010,1.1,26.3,0.6,0.5,0.2
6,Chelsea,255,2009,2010,1.0,50.8,0.5,5.2,0.2
7,Chelsea,342,2009,2010,1.1,38.4,0.4,1.6,0.1
8,Chelsea,8028,2009,2010,1.4,15.5,0.2,0.3,0.2
9,Chelsea,2351,2009,2010,2.2,48.3,0.9,2.7,0.3
10,Chelsea,70,2009,2010,0.3,51.5,0.0,3.0,0.0
11,Chelsea,7252,2009,2010,1.4,30.1,0.8,0.5,0.0
12,Chelsea,10685,2009,2010,1.6,40.0,0.5,2.3,0.3
13,Chelsea,3574,2009,2010,1.4,24.3,0.3,2.0,0.2
14,Chelsea,15464,2009,2010,0.7,53.1,0.1,4.8,0.1
15,Chelsea,6775,2009,2010,0.2,25.3,0.0,7.5,0.0
16,Chelsea,6666,2009,2010,0.5,48.6,0.2,3.2,0.0
17,Chelsea,27551,2009,2010,0.5,6.5,0.5,0.0,0.0
18,Chelsea,10132,2009,2010,0.2,37.3,0.0,2.7,0.1
19,Chelsea,179,2009,2010,0.0,5.0,0.0,0.0,0.0
20,Chelsea,23736,2009,2010,0.2,5.9,0.1,0.3,0.0
21,Chelsea,80882,2009,2010,0.3,4.5,0.3,0.0,0.0
22,Chelsea,70291,2009,2010,1.0,15.0,0.0,0.0,0.0
23,Chelsea,14115,2009,2010,0.0,17.3,0.0,5.0,0.0
24,Chelsea,80881,2009,2010,0.0,14.0,0.0,0.5,0.0
25,Chelsea,1832,2009,2010,0.9,66.6,0.2,4.5,0.1
26,Chelsea,38128,2009,2010,0.0,19.5,0.0,0.0,0.0
27,Chelsea,78221,2009,2010,0.5,9.0,0.5,0.0,0.0
28,Chelsea,7010,2009,2010,1.1,34.5,0.4,1.6,0.0
29,Chelsea,10874,2009,2010,0.0,21.5,0.0,6.0,0.0
0,Liverpool,17,2009,2010,2.4,51.6,1.8,4.3,0.2
1,Liverpool,9989,2009,2010,0.7,31.2,0.2,2.0,0.1
2,Liverpool,26817,2009,2010,1.1,41.2,0.7,1.4,0.0
3,Liverpool,4490,2009,2010,1.6,27.2,0.2,0.6,0.2
4,Liverpool,4958,2009,2010,1.2,23.0,1.1,0.6,0.2
5,Liverpool,7516,2009,2010,1.6,42.1,0.4,0.9,0.1
6,Liverpool,4056,2009,2010,1.0,17.2,0.2,0.3,0.1
7,Liverpool,4574,2009,2010,1.4,45.4,1.1,2.5,0.1
8,Liverpool,4445,2009,2010,1.4,36.2,0.2,1.4,0.3
9,Liverpool,31451,2009,2010,1.0,52.3,0.2,3.8,0.1
10,Liverpool,5035,2009,2010,1.0,13.5,0.3,0.6,0.1
11,Liverpool,2940,2009,2010,0.8,22.5,1.1,1.9,0.0
12,Liverpool,2987,2009,2010,0.0,27.2,0.0,7.5,0.0
13,Liverpool,12158,2009,2010,0.7,14.0,0.2,0.4,0.0
14,Liverpool,6175,2009,2010,0.0,12.0,0.5,0.5,0.0
15,Liverpool,7398,2009,2010,0.2,44.1,0.0,4.8,0.0
16,Liverpool,78559,2009,2010,0.0,21.6,0.0,1.8,0.0
17,Liverpool,67296,2009,2010,0.3,8.0,0.0,0.5,0.0
18,Liverpool,24457,2009,2010,0.6,12.6,0.1,0.0,0.0
19,Liverpool,86594,2009,2010,1.0,2.0,0.0,0.0,0.0
20,Liverpool,1329,2009,2010,0.2,47.4,0.2,5.2,0.0
21,Liverpool,7415,2009,2010,0.8,62.2,0.1,7.2,0.0
22,Liverpool,44068,2009,2010,0.3,18.0,0.0,1.7,0.0
23,Liverpool,44687,2009,2010,0.0,12.0,0.0,0.0,0.0
24,Liverpool,19840,2009,2010,0.1,35.9,0.1,3.7,0.0
25,Liverpool,23167,2009,2010,0.3,9.3,0.0,0.3,0.0
26,Liverpool,67483,2009,2010,0.0,11.0,0.0,0.0,0.0
27,Liverpool,5450,2009,2010,0.9,21.4,0.6,0.1,0.0
28,Liverpool,3061,2009,2010,0.1,44.4,0.0,4.6,0.1
29,Liverpool,23244,2009,2010,0.0,1.0,0.0,0.0,0.0
0,Manchester City,1982,2009,2010,1.6,28.6,1.0,0.8,0.2
1,Manchester City,14167,2009,2010,1.5,31.9,0.2,2.3,0.4
2,Manchester City,188,2009,2010,1.5,52.1,0.8,4.1,0.1
3,Manchester City,2703,2009,2010,1.1,17.1,0.5,0.8,0.0
4,Manchester City,14269,2009,2010,2.1,26.5,1.3,1.5,0.1
5,Manchester City,6363,2009,2010,1.4,31.4,0.1,1.1,0.0
6,Manchester City,2910,2009,2010,1.3,24.8,1.1,2.3,0.1
7,Manchester City,14247,2009,2010,0.6,23.1,0.1,1.0,0.2
8,Manchester City,14169,2009,2010,1.0,31.8,0.1,2.1,0.4
9,Manchester City,3987,2009,2010,1.0,16.0,0.0,0.0,0.0
10,Manchester City,8137,2009,2010,0.2,35.4,0.1,2.1,0.0
11,Manchester City,14168,2009,2010,0.3,24.8,0.1,0.7,0.0
12,Manchester City,11669,2009,2010,0.3,23.8,0.0,1.1,0.0
13,Manchester City,14244,2009,2010,0.6,39.0,0.6,2.4,0.0
14,Manchester City,341,2009,2010,1.2,41.5,0.0,3.7,0.3
15,Manchester City,10136,2009,2010,0.3,38.8,0.0,3.9,0.0
16,Manchester City,83211,2009,2010,0.0,6.0,0.0,1.0,0.0
17,Manchester City,85465,2009,2010,1.0,4.0,0.0,0.0,0.0
18,Manchester City,83032,2009,2010,0.0,13.0,0.0,0.7,0.0
19,Manchester City,83394,2009,2010,0.0,2.0,0.0,0.0,0.0
20,Manchester City,43073,2009,2010,0.0,9.0,0.0,1.0,0.0
21,Manchester City,6210,2009,2010,0.1,42.7,0.4,2.4,0.0
22,Manchester City,3817,2009,2010,0.2,37.5,0.0,3.2,0.0
23,Manchester City,31212,2009,2010,0.0,26.3,0.0,5.3,0.0
24,Manchester City,22606,2009,2010,0.0,3.0,0.0,0.0,0.0
25,Manchester City,4608,2009,2010,0.4,40.3,0.0,3.7,0.0
26,Manchester City,831,2009,2010,0.0,37.0,0.0,1.5,0.0
27,Manchester City,954,2009,2010,0.4,15.9,0.1,0.5,0.0
28,Manchester City,1034,2009,2010,0.0,29.7,0.0,8.2,0.0
29,Manchester City,130,2009,2010,0.3,34.1,0.3,0.8,0.0
30,Manchester City,836,2009,2010,0.3,41.9,0.0,3.3,0.0
0,Manchester United,77,2009,2010,2.7,36.0,2.8,2.0,0.4
1,Manchester United,18296,2009,2010,2.6,33.1,2.1,0.7,0.2
2,Manchester United,19104,2009,2010,2.2,28.5,1.7,0.5,0.4
3,Manchester United,2213,2009,2010,1.6,28.0,0.2,0.7,0.6
4,Manchester United,5835,2009,2010,1.5,57.5,0.5,3.5,0.3
5,Manchester United,6410,2009,2010,0.9,43.2,0.5,1.2,0.1
6,Manchester United,11,2009,2010,0.9,57.7,0.0,6.7,0.2
7,Manchester United,3859,2009,2010,1.8,40.1,0.6,2.8,0.4
