,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Points_Simple,Delta_Points_Simple
0,Chelsea,2014,2015,38,26,9,3,73,32,87,79,8
1,Manchester City,2014,2015,38,24,7,7,83,38,79,80,-1
2,Arsenal,2014,2015,38,22,9,7,71,36,75,75,0
3,Manchester United,2014,2015,38,20,10,8,62,37,70,70,0
4,Tottenham,2014,2015,38,19,7,12,58,53,64,56,8
5,Liverpool,2014,2015,38,18,8,12,52,48,62,55,7
6,Southampton,2014,2015,38,18,6,14,54,33,60,71,-11
7,Swansea,2014,2015,38,16,8,14,46,49,56,50,6
8,Stoke,2014,2015,38,15,9,14,48,45,54,54,0
9,Crystal Palace,2014,2015,38,13,9,16,47,51,48,49,-1
10,Everton,2014,2015,38,12,11,15,48,50,47,50,-3
11,West Ham,2014,2015,38,12,11,15,44,47,47,49,-2
12,West Bromwich Albion,2014,2015,38,11,11,16,38,51,44,41,3
13,Leicester,2014,2015,38,11,8,19,46,55,41,46,-5
14,Newcastle United,2014,2015,38,10,9,19,40,63,39,36,3
15,Sunderland,2014,2015,38,7,17,14,31,53,38,31,7
16,Aston Villa,2014,2015,38,10,8,20,31,57,38,31,7
17,Hull,2014,2015,38,8,11,19,33,51,35,36,-1
18,Burnley,2014,2015,38,7,12,19,28,53,33,29,4
19,Queens Park Rangers,2014,2015,38,8,6,24,42,73,30,34,-4
20,Leicester,2015,2016,38,23,12,3,68,36,81,72,9
21,Arsenal,2015,2016,38,20,11,7,65,36,71,71,0
22,Tottenham,2015,2016,38,19,13,6,69,35,70,72,-2
23,Manchester City,2015,2016,38,19,9,10,71,41,66,71,-5
24,Manchester United,2015,2016,38,19,9,10,49,35,66,64,2
25,Southampton,2015,2016,38,18,9,11,59,41,63,65,-2
26,West Ham,2015,2016,38,16,14,8,65,51,62,58,4
27,Liverpool,2015,2016,38,16,12,10,63,50,60,59,1
28,Stoke,2015,2016,38,14,9,15,41,55,51,41,10
29,Chelsea,2015,2016,38,12,14,12,59,53,50,53,-3
