,match_id,home_team_id,home_team,home_short_title,away_team_id,away_team,away_short_title,home_goals,away_goals,datetime
0,1327,117,Bayern Munich,BAY,123,Werder Bremen,WER,6,0,2016-08-26 22:30:00
1,1328,121,Augsburg,AUG,131,Wolfsburg,WOL,0,2,2016-08-27 17:30:00
2,1329,118,Hamburger SV,HAM,126,Ingolstadt,ING,1,1,2016-08-27 17:30:00
3,1330,132,Eintracht Frankfurt,EIN,124,Schalke 04,SCH,1,0,2016-08-27 17:30:00
4,1331,134,FC Cologne,COL,127,Darmstadt,DAR,2,0,2016-08-27 17:30:00
5,1332,129,Borussia Dortmund,DOR,125,Mainz 05,MAI,2,1,2016-08-27 17:30:00
6,1333,130,Borussia M.Gladbach,BMG,119,Bayer Leverkusen,LEV,2,1,2016-08-27 20:30:00
7,1334,122,Hertha Berlin,HER,135,Freiburg,FRE,2,1,2016-08-28 17:30:00
8,1335,120,Hoffenheim,HOF,136,RasenBallsport Leipzig,RBL,2,2,2016-08-28 19:30:00
9,1336,124,Schalke 04,SCH,117,Bayern Munich,BAY,0,2,2016-09-09 22:30:00
10,1337,131,Wolfsburg,WOL,134,FC Cologne,COL,0,0,2016-09-10 17:30:00
11,1338,126,Ingolstadt,ING,122,Hertha Berlin,HER,0,2,2016-09-10 17:30:00
12,1339,127,Darmstadt,DAR,132,Eintracht Frankfurt,EIN,1,0,2016-09-10 17:30:00
13,1340,135,Freiburg,FRE,130,Borussia M.Gladbach,BMG,3,1,2016-09-10 17:30:00
14,1341,119,Bayer Leverkusen,LEV,118,Hamburger SV,HAM,3,1,2016-09-10 17:30:00
15,1342,136,RasenBallsport Leipzig,RBL,129,Borussia Dortmund,DOR,1,0,2016-09-10 20:30:00
16,1343,123,Werder Bremen,WER,121,Augsburg,AUG,1,2,2016-09-11 17:30:00
17,1344,125,Mainz 05,MAI,120,Hoffenheim,HOF,4,4,2016-09-11 19:30:00
18,1345,134,FC Cologne,COL,135,Freiburg,FRE,3,0,2016-09-16 22:30:00
19,1346,118,Hamburger SV,HAM,136,RasenBallsport Leipzig,RBL,0,4,2016-09-17 17:30:00
20,1347,120,Hoffenheim,HOF,131,Wolfsburg,WOL,0,0,2016-09-17 17:30:00
21,1348,132,Eintracht Frankfurt,EIN,119,Bayer Leverkusen,LEV,2,1,2016-09-17 17:30:00
22,1349,117,Bayern Munich,BAY,126,Ingolstadt,ING,3,1,2016-09-17 17:30:00
23,1350,129,Borussia Dortmund,DOR,127,Darmstadt,DAR,6,0,2016-09-17 17:30:00
24,1351,130,Borussia M.Gladbach,BMG,123,Werder Bremen,WER,4,1,2016-09-17 20:30:00
25,1352,121,Augsburg,AUG,125,Mainz 05,MAI,1,3,2016-09-18 17:30:00
26,1353,122,Hertha Berlin,HER,124,Schalke 04,SCH,2,0,2016-09-18 19:30:00
27,1354,131,Wolfsburg,WOL,129,Borussia Dortmund,DOR,1,5,2016-09-20 22:00:00
28,1355,126,Ingolstadt,ING,132,Eintracht Frankfurt,EIN,0,2,2016-09-20 22:00:00
29,1356,127,Darmstadt,DAR,120,Hoffenheim,HOF,1,1,2016-09-20 22:00:00
30,1357,135,Freiburg,FRE,118,Hamburger SV,HAM,1,0,2016-09-20 22:00:00
31,1358,136,RasenBallsport Leipzig,RBL,130,Borussia M.Gladbach,BMG,1,1,2016-09-21 22:00:00
32,1359,123,Werder Bremen,WER,125,Mainz 05,MAI,1,2,2016-09-21 22:00:00
33,1360,117,Bayern Munich,BAY,122,Hertha Berlin,HER,3,0,2016-09-21 22:00:00
34,1361,119,Bayer Leverkusen,LEV,121,Augsburg,AUG,0,0,2016-09-21 22:00:00
35,1362,124,Schalke 04,SCH,134,FC Cologne,COL,1,3,2016-09-21 22:00:00
36,1363,129,Borussia Dortmund,DOR,135,Freiburg,FRE,3,1,2016-09-23 22:30:00
37,1364,130,Borussia M.Gladbach,BMG,126,Ingolstadt,ING,2,0,2016-09-24 17:30:00
38,1365,125,Mainz 05,MAI,119,Bayer Leverkusen,LEV,2,3,2016-09-24 17:30:00
39,1366,118,Hamburger SV,HAM,117,Bayern Munich,BAY,0,1,2016-09-24 17:30:00
40,1367,121,Augsburg,AUG,127,Darmstadt,DAR,1,0,2016-09-24 17:30:00
41,1368,132,Eintracht Frankfurt,EIN,122,Hertha Berlin,HER,3,3,2016-09-24 17:30:00
42,1369,123,Werder Bremen,WER,131,Wolfsburg,WOL,2,1,2016-09-24 20:30:00
43,1370,120,Hoffenheim,HOF,124,Schalke 04,SCH,2,1,2016-09-25 17:30:00
44,1371,134,FC Cologne,COL,136,RasenBallsport Leipzig,RBL,1,1,2016-09-25 19:45:00
45,1372,136,RasenBallsport Leipzig,RBL,121,Augsburg,AUG,2,1,2016-09-30 22:30:00
46,1373,117,Bayern Munich,BAY,134,FC Cologne,COL,1,1,2016-10-01 17:30:00
47,1374,122,Hertha Berlin,HER,118,Hamburger SV,HAM,2,0,2016-10-01 17:30:00
48,1375,126,Ingolstadt,ING,120,Hoffenheim,HOF,1,2,2016-10-01 17:30:00
49,1376,127,Darmstadt,DAR,123,Werder Bremen,WER,2,2,2016-10-01 17:30:00
50,1377,135,Freiburg,FRE,132,Eintracht Frankfurt,EIN,1,0,2016-10-01 17:30:00
51,1378,119,Bayer Leverkusen,LEV,129,Borussia Dortmund,DOR,2,0,2016-10-01 20:30:00
52,1379,131,Wolfsburg,WOL,125,Mainz 05,MAI,0,0,2016-10-02 17:30:00
53,1380,124,Schalke 04,SCH,130,Borussia M.Gladbach,BMG,4,0,2016-10-02 19:30:00
54,1381,129,Borussia Dortmund,DOR,122,Hertha Berlin,HER,1,1,2016-10-14 22:30:00
55,1382,130,Borussia M.Gladbach,BMG,118,Hamburger SV,HAM,0,0,2016-10-15 17:30:00
56,1383,134,FC Cologne,COL,126,Ingolstadt,ING,2,1,2016-10-15 17:30:00
57,1384,121,Augsburg,AUG,124,Schalke 04,SCH,1,1,2016-10-15 17:30:00
58,1385,120,Hoffenheim,HOF,135,Freiburg,FRE,2,1,2016-10-15 17:30:00
59,1386,132,Eintracht Frankfurt,EIN,117,Bayern Munich,BAY,2,2,2016-10-15 17:30:00
60,1387,123,Werder Bremen,WER,119,Bayer Leverkusen,LEV,2,1,2016-10-15 20:30:00
61,1388,125,Mainz 05,MAI,127,Darmstadt,DAR,2,1,2016-10-16 17:30:00
62,1389,131,Wolfsburg,WOL,136,RasenBallsport Leipzig,RBL,0,1,2016-10-16 19:30:00
63,1390,118,Hamburger SV,HAM,132,Eintracht Frankfurt,EIN,0,3,2016-10-21 22:30:00
64,1391,126,Ingolstadt,ING,129,Borussia Dortmund,DOR,3,3,2016-10-22 17:30:00
65,1392,127,Darmstadt,DAR,131,Wolfsburg,WOL,3,1,2016-10-22 17:30:00
66,1393,135,Freiburg,FRE,121,Augsburg,AUG,2,1,2016-10-22 17:30:00
67,1394,122,Hertha Berlin,HER,134,FC Cologne,COL,2,1,2016-10-22 17:30:00
68,1395,119,Bayer Leverkusen,LEV,120,Hoffenheim,HOF,0,3,2016-10-22 17:30:00
69,1396,117,Bayern Munich,BAY,130,Borussia M.Gladbach,BMG,2,0,2016-10-22 20:30:00
70,1397,136,RasenBallsport Leipzig,RBL,123,Werder Bremen,WER,3,1,2016-10-23 17:30:00
71,1398,124,Schalke 04,SCH,125,Mainz 05,MAI,3,0,2016-10-23 19:30:00
72,3299,130,Borussia M.Gladbach,BMG,132,Eintracht Frankfurt,EIN,0,0,2016-10-28 22:30:00
73,3300,125,Mainz 05,MAI,126,Ingolstadt,ING,2,0,2016-10-29 17:30:00
