,match_id,home_team_id,home_team,home_short_title,away_team_id,away_team,away_short_title,home_goals,away_goals,datetime
0,16376,244,Brentford,BRE,83,Arsenal,ARS,2,0,2021-08-13 19:00:00
1,16377,89,Manchester United,MUN,245,Leeds,LED,5,1,2021-08-14 11:30:00
2,16378,92,Burnley,BUR,220,Brighton,BRI,1,2,2021-08-14 14:00:00
3,16379,80,Chelsea,CHE,78,Crystal Palace,CRY,3,0,2021-08-14 14:00:00
4,16380,72,Everton,EVE,74,Southampton,SOU,3,1,2021-08-14 14:00:00
5,16381,75,Leicester,LEI,229,Wolverhampton Wanderers,WOL,1,0,2021-08-14 14:00:00
6,16382,90,Watford,WAT,71,Aston Villa,AVL,3,2,2021-08-14 14:00:00
7,16383,79,Norwich,NOR,87,Liverpool,LIV,0,3,2021-08-14 16:30:00
8,16384,86,Newcastle United,NEW,81,West Ham,WHU,2,4,2021-08-15 13:00:00
9,16385,82,Tottenham,TOT,88,Manchester City,MCI,1,0,2021-08-15 15:30:00
10,16386,87,Liverpool,LIV,92,Burnley,BUR,2,0,2021-08-21 11:30:00
11,16387,88,Manchester City,MCI,79,Norwich,NOR,5,0,2021-08-21 14:00:00
12,16388,71,Aston Villa,AVL,86,Newcastle United,NEW,2,0,2021-08-21 14:00:00
13,16389,78,Crystal Palace,CRY,244,Brentford,BRE,0,0,2021-08-21 14:00:00
14,16390,245,Leeds,LED,72,Everton,EVE,2,2,2021-08-21 14:00:00
15,16391,220,Brighton,BRI,90,Watford,WAT,2,0,2021-08-21 16:30:00
16,16392,74,Southampton,SOU,89,Manchester United,MUN,1,1,2021-08-22 13:00:00
17,16393,229,Wolverhampton Wanderers,WOL,82,Tottenham,TOT,0,1,2021-08-22 13:00:00
18,16394,83,Arsenal,ARS,80,Chelsea,CHE,0,2,2021-08-22 15:30:00
19,16395,81,West Ham,WHU,75,Leicester,LEI,4,1,2021-08-23 19:00:00
20,16396,88,Manchester City,MCI,83,Arsenal,ARS,5,0,2021-08-28 11:30:00
21,16397,86,Newcastle United,NEW,74,Southampton,SOU,2,2,2021-08-28 14:00:00
22,16398,79,Norwich,NOR,75,Leicester,LEI,1,2,2021-08-28 14:00:00
23,16399,71,Aston Villa,AVL,244,Brentford,BRE,1,1,2021-08-28 14:00:00
24,16400,220,Brighton,BRI,72,Everton,EVE,0,2,2021-08-28 14:00:00
25,16401,81,West Ham,WHU,78,Crystal Palace,CRY,2,2,2021-08-28 14:00:00
26,16402,87,Liverpool,LIV,80,Chelsea,CHE,1,1,2021-08-28 16:30:00
27,16403,92,Burnley,BUR,245,Leeds,LED,1,1,2021-08-29 13:00:00
28,16404,82,Tottenham,TOT,90,Watford,WAT,1,0,2021-08-29 13:00:00
29,16405,229,Wolverhampton Wanderers,WOL,89,Manchester United,MUN,0,1,2021-08-29 15:30:00
30,16406,78,Crystal Palace,CRY,82,Tottenham,TOT,3,0,2021-09-11 11:30:00
31,16407,83,Arsenal,ARS,79,Norwich,NOR,1,0,2021-09-11 14:00:00
32,16408,244,Brentford,BRE,220,Brighton,BRI,0,1,2021-09-11 14:00:00
33,16409,75,Leicester,LEI,88,Manchester City,MCI,0,1,2021-09-11 14:00:00
34,16410,89,Manchester United,MUN,86,Newcastle United,NEW,4,1,2021-09-11 14:00:00
35,16411,74,Southampton,SOU,81,West Ham,WHU,0,0,2021-09-11 14:00:00
36,16412,90,Watford,WAT,229,Wolverhampton Wanderers,WOL,0,2,2021-09-11 14:00:00
37,16413,80,Chelsea,CHE,71,Aston Villa,AVL,3,0,2021-09-11 16:30:00
38,16414,245,Leeds,LED,87,Liverpool,LIV,0,3,2021-09-12 15:30:00
39,16415,72,Everton,EVE,92,Burnley,BUR,3,1,2021-09-13 19:00:00
40,16416,86,Newcastle United,NEW,245,Leeds,LED,1,1,2021-09-17 19:00:00
41,16417,229,Wolverhampton Wanderers,WOL,244,Brentford,BRE,0,2,2021-09-18 11:30:00
42,16418,79,Norwich,NOR,90,Watford,WAT,1,3,2021-09-18 14:00:00
43,16419,92,Burnley,BUR,83,Arsenal,ARS,0,1,2021-09-18 14:00:00
44,16420,87,Liverpool,LIV,78,Crystal Palace,CRY,3,0,2021-09-18 14:00:00
45,16421,88,Manchester City,MCI,74,Southampton,SOU,0,0,2021-09-18 14:00:00
46,16422,71,Aston Villa,AVL,72,Everton,EVE,3,0,2021-09-18 16:30:00
47,16423,220,Brighton,BRI,75,Leicester,LEI,2,1,2021-09-19 13:00:00
48,16424,81,West Ham,WHU,89,Manchester United,MUN,1,2,2021-09-19 13:00:00
49,16425,82,Tottenham,TOT,80,Chelsea,CHE,0,3,2021-09-19 15:30:00
