,match_id,home_team_id,home_team,home_short_title,away_team_id,away_team,away_short_title,home_goals,away_goals,datetime
0,12709,171,Monaco,MON,178,Lyon,LYO,0,3,2019-08-09 19:45:00
1,12710,164,Marseille,MAR,177,Reims,REI,0,2,2019-08-10 16:30:00
2,12711,241,Brest,BRE,174,Toulouse,TOU,1,1,2019-08-10 19:00:00
3,12712,166,Montpellier,MPL,163,Rennes,REN,0,1,2019-08-10 19:00:00
4,12713,170,Nice,NIC,224,Amiens,AMI,2,1,2019-08-10 19:00:00
5,12714,167,Angers,ANG,176,Bordeaux,BOR,3,1,2019-08-10 19:00:00
6,12715,181,Dijon,DJN,175,Saint-Etienne,SEN,1,2,2019-08-10 19:00:00
7,12716,160,Lille,LIL,168,Nantes,NAN,2,1,2019-08-11 14:00:00
8,12717,225,Strasbourg,STR,180,Metz,MET,1,1,2019-08-11 16:00:00
9,12718,161,Paris Saint Germain,PSG,235,Nimes,NIM,3,0,2019-08-11 20:00:00
10,12719,178,Lyon,LYO,167,Angers,ANG,6,0,2019-08-16 19:45:00
11,12720,168,Nantes,NAN,164,Marseille,MAR,0,0,2019-08-17 16:30:00
12,12721,224,Amiens,AMI,160,Lille,LIL,1,0,2019-08-17 19:00:00
13,12722,176,Bordeaux,BOR,166,Montpellier,MPL,1,1,2019-08-17 19:00:00
14,12723,235,Nimes,NIM,170,Nice,NIC,1,2,2019-08-17 19:00:00
15,12724,180,Metz,MET,171,Monaco,MON,3,0,2019-08-17 19:00:00
16,12725,174,Toulouse,TOU,181,Dijon,DJN,1,0,2019-08-17 19:00:00
17,12726,175,Saint-Etienne,SEN,241,Brest,BRE,1,1,2019-08-18 14:00:00
18,12727,177,Reims,REI,225,Strasbourg,STR,0,0,2019-08-18 16:00:00
19,12728,163,Rennes,REN,161,Paris Saint Germain,PSG,2,1,2019-08-18 20:00:00
20,12730,224,Amiens,AMI,168,Nantes,NAN,1,2,2019-08-24 19:00:00
21,12731,181,Dijon,DJN,176,Bordeaux,BOR,0,2,2019-08-24 19:00:00
22,12732,167,Angers,ANG,180,Metz,MET,3,0,2019-08-24 19:00:00
23,12738,241,Brest,BRE,177,Reims,REI,1,0,2019-08-24 19:00:00
24,12733,171,Monaco,MON,235,Nimes,NIM,2,2,2019-08-25 14:00:00
25,12737,225,Strasbourg,STR,163,Rennes,REN,0,2,2019-08-25 16:00:00
26,12729,161,Paris Saint Germain,PSG,174,Toulouse,TOU,4,0,2019-08-25 20:00:00
27,12736,166,Montpellier,MPL,178,Lyon,LYO,1,0,2019-08-27 18:00:00
28,12735,160,Lille,LIL,175,Saint-Etienne,SEN,3,0,2019-08-28 18:00:00
29,12734,170,Nice,NIC,164,Marseille,MAR,1,2,2019-08-28 20:00:00
30,12747,180,Metz,MET,161,Paris Saint Germain,PSG,0,2,2019-08-30 19:45:00
31,12744,178,Lyon,LYO,176,Bordeaux,BOR,1,1,2019-08-31 16:30:00
32,12739,167,Angers,ANG,181,Dijon,DJN,2,0,2019-08-31 18:00:00
33,12740,174,Toulouse,TOU,224,Amiens,AMI,2,0,2019-08-31 18:00:00
34,12743,168,Nantes,NAN,166,Montpellier,MPL,1,0,2019-08-31 18:00:00
35,12746,235,Nimes,NIM,241,Brest,BRE,3,0,2019-08-31 18:00:00
36,12741,177,Reims,REI,160,Lille,LIL,2,0,2019-09-01 14:00:00
37,12742,163,Rennes,REN,170,Nice,NIC,1,2,2019-09-01 14:00:00
38,12748,225,Strasbourg,STR,171,Monaco,MON,2,2,2019-09-01 16:00:00
39,12745,164,Marseille,MAR,175,Saint-Etienne,SEN,1,0,2019-09-01 20:00:00
40,12755,160,Lille,LIL,167,Angers,ANG,2,1,2019-09-13 17:00:00
41,12757,224,Amiens,AMI,178,Lyon,LYO,2,2,2019-09-13 18:45:00
42,12758,161,Paris Saint Germain,PSG,225,Strasbourg,STR,1,0,2019-09-14 15:30:00
43,12749,181,Dijon,DJN,235,Nimes,NIM,0,0,2019-09-14 18:00:00
44,12751,166,Montpellier,MPL,170,Nice,NIC,2,1,2019-09-14 18:00:00
45,12752,241,Brest,BRE,163,Rennes,REN,0,0,2019-09-14 18:00:00
46,12756,176,Bordeaux,BOR,180,Metz,MET,2,0,2019-09-14 18:00:00
47,12750,168,Nantes,NAN,177,Reims,REI,1,0,2019-09-15 13:00:00
48,12754,175,Saint-Etienne,SEN,174,Toulouse,TOU,2,2,2019-09-15 15:00:00
49,12753,171,Monaco,MON,164,Marseille,MAR,3,4,2019-09-15 19:00:00
50,12763,225,Strasbourg,STR,168,Nantes,NAN,2,1,2019-09-20 18:45:00
51,12764,164,Marseille,MAR,166,Montpellier,MPL,1,1,2019-09-21 15:30:00
52,12759,177,Reims,REI,171,Monaco,MON,0,0,2019-09-21 18:00:00
53,12760,180,Metz,MET,224,Amiens,AMI,1,2,2019-09-21 18:00:00
54,12762,176,Bordeaux,BOR,241,Brest,BRE,2,2,2019-09-21 18:00:00
55,12765,235,Nimes,NIM,174,Toulouse,TOU,1,0,2019-09-21 18:00:00
56,12768,170,Nice,NIC,181,Dijon,DJN,2,1,2019-09-21 18:00:00
57,12767,163,Rennes,REN,160,Lille,LIL,1,1,2019-09-22 13:00:00
58,12766,167,Angers,ANG,175,Saint-Etienne,SEN,4,1,2019-09-22 15:00:00
59,12761,178,Lyon,LYO,161,Paris Saint Germain,PSG,0,1,2019-09-22 19:00:00
60,12775,181,Dijon,DJN,164,Marseille,MAR,0,0,2019-09-24 17:00:00
61,12769,171,Monaco,MON,170,Nice,NIC,3,1,2019-09-24 19:00:00
62,12770,241,Brest,BRE,178,Lyon,LYO,2,2,2019-09-25 17:00:00
63,12771,168,Nantes,NAN,163,Rennes,REN,1,0,2019-09-25 17:00:00
64,12773,175,Saint-Etienne,SEN,180,Metz,MET,0,1,2019-09-25 17:00:00
65,12774,166,Montpellier,MPL,235,Nimes,NIM,1,0,2019-09-25 17:00:00
66,12776,174,Toulouse,TOU,167,Angers,ANG,0,2,2019-09-25 17:00:00
67,12777,160,Lille,LIL,225,Strasbourg,STR,2,0,2019-09-25 17:00:00
68,12778,224,Amiens,AMI,176,Bordeaux,BOR,1,3,2019-09-25 17:00:00
69,12772,161,Paris Saint Germain,PSG,177,Reims,REI,0,2,2019-09-25 19:00:00
70,12784,178,Lyon,LYO,168,Nantes,NAN,0,1,2019-09-28 11:30:00
71,12780,176,Bordeaux,BOR,161,Paris Saint Germain,PSG,0,1,2019-09-28 15:30:00
72,12779,170,Nice,NIC,160,Lille,LIL,1,1,2019-09-28 18:00:00
73,12781,167,Angers,ANG,224,Amiens,AMI,1,1,2019-09-28 18:00:00
74,12782,171,Monaco,MON,241,Brest,BRE,4,1,2019-09-28 18:00:00
75,12783,180,Metz,MET,174,Toulouse,TOU,2,2,2019-09-28 18:00:00
76,12788,177,Reims,REI,181,Dijon,DJN,1,2,2019-09-28 18:00:00
77,12785,225,Strasbourg,STR,166,Montpellier,MPL,1,0,2019-09-29 13:00:00
78,12787,235,Nimes,NIM,175,Saint-Etienne,SEN,0,1,2019-09-29 15:00:00
79,12786,164,Marseille,MAR,163,Rennes,REN,1,1,2019-09-29 19:00:00
80,12791,224,Amiens,AMI,164,Marseille,MAR,3,1,2019-10-04 19:45:00
81,12794,161,Paris Saint Germain,PSG,167,Angers,ANG,4,0,2019-10-05 16:30:00
82,12790,181,Dijon,DJN,225,Strasbourg,STR,1,0,2019-10-05 19:00:00
83,12792,166,Montpellier,MPL,171,Monaco,MON,3,1,2019-10-05 19:00:00
84,12795,174,Toulouse,TOU,176,Bordeaux,BOR,1,3,2019-10-05 19:00:00
85,12796,241,Brest,BRE,180,Metz,MET,2,0,2019-10-05 19:00:00
86,12798,168,Nantes,NAN,170,Nice,NIC,1,0,2019-10-05 19:00:00
87,12793,160,Lille,LIL,235,Nimes,NIM,2,2,2019-10-06 14:00:00
88,12789,163,Rennes,REN,177,Reims,REI,0,1,2019-10-06 16:00:00
89,12797,175,Saint-Etienne,SEN,178,Lyon,LYO,1,0,2019-10-06 20:00:00
90,12803,170,Nice,NIC,161,Paris Saint Germain,PSG,1,4,2019-10-18 19:45:00
91,12807,178,Lyon,LYO,181,Dijon,DJN,0,0,2019-10-19 16:30:00
92,12799,177,Reims,REI,166,Montpellier,MPL,1,0,2019-10-19 19:00:00
93,12800,167,Angers,ANG,241,Brest,BRE,0,1,2019-10-19 19:00:00
94,12801,180,Metz,MET,168,Nantes,NAN,1,0,2019-10-19 19:00:00
95,12802,174,Toulouse,TOU,160,Lille,LIL,2,1,2019-10-19 19:00:00
96,12805,235,Nimes,NIM,224,Amiens,AMI,1,1,2019-10-19 19:00:00
97,12804,176,Bordeaux,BOR,175,Saint-Etienne,SEN,0,1,2019-10-20 14:00:00
98,12808,171,Monaco,MON,163,Rennes,REN,3,2,2019-10-20 16:00:00
99,12806,164,Marseille,MAR,225,Strasbourg,STR,2,0,2019-10-20 20:00:00
100,12815,168,Nantes,NAN,171,Monaco,MON,0,1,2019-10-25 19:45:00
101,12818,160,Lille,LIL,176,Bordeaux,BOR,3,0,2019-10-26 16:30:00
102,12809,225,Strasbourg,STR,170,Nice,NIC,1,0,2019-10-26 19:00:00
103,12812,241,Brest,BRE,181,Dijon,DJN,2,0,2019-10-26 19:00:00
104,12813,178,Lyon,LYO,180,Metz,MET,2,0,2019-10-26 19:00:00
105,12816,177,Reims,REI,235,Nimes,NIM,0,0,2019-10-26 19:00:00
106,12817,166,Montpellier,MPL,167,Angers,ANG,0,0,2019-10-26 19:00:00
107,12810,163,Rennes,REN,174,Toulouse,TOU,3,2,2019-10-27 14:00:00
108,12811,175,Saint-Etienne,SEN,224,Amiens,AMI,2,2,2019-10-27 16:00:00
109,12814,161,Paris Saint Germain,PSG,164,Marseille,MAR,4,0,2019-10-27 20:00:00
110,12825,181,Dijon,DJN,161,Paris Saint Germain,PSG,2,1,2019-11-01 19:45:00
111,12821,164,Marseille,MAR,160,Lille,LIL,2,1,2019-11-02 16:30:00
112,12823,180,Metz,MET,166,Montpellier,MPL,2,2,2019-11-02 19:00:00
113,12824,174,Toulouse,TOU,178,Lyon,LYO,2,3,2019-11-02 19:00:00
