,match_id,home_team_id,home_team,home_short_title,away_team_id,away_team,away_short_title,home_goals,away_goals,datetime
0,551,94,Verona,VER,95,Roma,ROM,1,1,2015-08-22 20:00:00
1,552,96,Lazio,LAZ,97,Bologna,BOL,2,1,2015-08-22 22:45:00
2,553,98,Juventus,JUV,99,Udinese,UDI,0,1,2015-08-23 20:00:00
3,554,100,Palermo,PAL,101,Genoa,GEN,1,0,2015-08-23 22:45:00
4,555,102,Sampdoria,SAM,103,Carpi,CAP,5,2,2015-08-23 22:45:00
5,556,104,Sassuolo,SAS,105,Napoli,NAP,2,1,2015-08-23 22:45:00
6,557,106,Inter,INT,107,Atalanta,ATA,1,0,2015-08-23 22:45:00
7,558,108,Empoli,EMP,109,Chievo,CHI,1,3,2015-08-23 22:45:00
8,559,110,Fiorentina,FIO,111,AC Milan,MIL,2,0,2015-08-23 22:45:00
9,560,112,Frosinone,FRO,113,Torino,TOR,1,2,2015-08-23 22:45:00
10,561,97,Bologna,BOL,104,Sassuolo,SAS,0,1,2015-08-29 20:00:00
11,562,111,AC Milan,MIL,108,Empoli,EMP,2,1,2015-08-29 22:45:00
12,563,95,Roma,ROM,98,Juventus,JUV,2,1,2015-08-30 20:00:00
13,564,113,Torino,TOR,110,Fiorentina,FIO,3,1,2015-08-30 22:45:00
14,565,99,Udinese,UDI,100,Palermo,PAL,0,1,2015-08-30 22:45:00
15,566,105,Napoli,NAP,102,Sampdoria,SAM,2,2,2015-08-30 22:45:00
16,567,103,Carpi,CAP,106,Inter,INT,1,2,2015-08-30 22:45:00
17,568,109,Chievo,CHI,96,Lazio,LAZ,4,0,2015-08-30 22:45:00
18,569,101,Genoa,GEN,94,Verona,VER,2,0,2015-08-30 22:45:00
19,570,107,Atalanta,ATA,112,Frosinone,FRO,2,0,2015-08-30 22:45:00
20,571,110,Fiorentina,FIO,101,Genoa,GEN,1,0,2015-09-12 20:00:00
21,572,112,Frosinone,FRO,95,Roma,ROM,0,2,2015-09-12 20:00:00
22,573,98,Juventus,JUV,109,Chievo,CHI,1,1,2015-09-12 22:45:00
23,574,94,Verona,VER,113,Torino,TOR,2,2,2015-09-13 14:30:00
24,575,100,Palermo,PAL,103,Carpi,CAP,2,2,2015-09-13 17:00:00
25,576,104,Sassuolo,SAS,107,Atalanta,ATA,2,2,2015-09-13 17:00:00
26,577,108,Empoli,EMP,105,Napoli,NAP,2,2,2015-09-13 17:00:00
27,578,96,Lazio,LAZ,99,Udinese,UDI,2,0,2015-09-13 20:00:00
28,579,106,Inter,INT,111,AC Milan,MIL,1,0,2015-09-13 22:45:00
29,580,102,Sampdoria,SAM,97,Bologna,BOL,2,0,2015-09-14 22:45:00
30,581,99,Udinese,UDI,108,Empoli,EMP,1,2,2015-09-19 20:00:00
31,582,111,AC Milan,MIL,100,Palermo,PAL,3,2,2015-09-19 22:45:00
32,583,109,Chievo,CHI,106,Inter,INT,0,1,2015-09-20 14:30:00
33,584,101,Genoa,GEN,98,Juventus,JUV,0,2,2015-09-20 17:00:00
34,585,95,Roma,ROM,104,Sassuolo,SAS,2,2,2015-09-20 17:00:00
35,586,113,Torino,TOR,102,Sampdoria,SAM,2,0,2015-09-20 17:00:00
36,587,107,Atalanta,ATA,94,Verona,VER,1,1,2015-09-20 17:00:00
37,588,97,Bologna,BOL,112,Frosinone,FRO,1,0,2015-09-20 17:00:00
38,589,103,Carpi,CAP,110,Fiorentina,FIO,0,1,2015-09-20 20:00:00
39,590,105,Napoli,NAP,96,Lazio,LAZ,5,0,2015-09-20 22:45:00
40,591,99,Udinese,UDI,111,AC Milan,MIL,2,3,2015-09-22 22:45:00
41,592,96,Lazio,LAZ,101,Genoa,GEN,2,0,2015-09-23 22:45:00
42,593,100,Palermo,PAL,104,Sassuolo,SAS,0,1,2015-09-23 22:45:00
43,594,102,Sampdoria,SAM,95,Roma,ROM,2,1,2015-09-23 22:45:00
44,595,103,Carpi,CAP,105,Napoli,NAP,0,0,2015-09-23 22:45:00
45,596,109,Chievo,CHI,113,Torino,TOR,1,0,2015-09-23 22:45:00
46,597,110,Fiorentina,FIO,97,Bologna,BOL,2,0,2015-09-23 22:45:00
47,598,106,Inter,INT,94,Verona,VER,1,0,2015-09-23 22:45:00
48,599,98,Juventus,JUV,112,Frosinone,FRO,1,1,2015-09-23 22:45:00
49,600,108,Empoli,EMP,107,Atalanta,ATA,0,1,2015-09-24 22:45:00
50,601,95,Roma,ROM,103,Carpi,CAP,5,1,2015-09-26 20:00:00
51,602,105,Napoli,NAP,98,Juventus,JUV,2,1,2015-09-26 22:45:00
52,603,101,Genoa,GEN,111,AC Milan,MIL,1,0,2015-09-27 14:30:00
53,604,94,Verona,VER,96,Lazio,LAZ,1,2,2015-09-27 17:00:00
54,605,104,Sassuolo,SAS,109,Chievo,CHI,1,1,2015-09-27 17:00:00
55,606,113,Torino,TOR,100,Palermo,PAL,2,1,2015-09-27 17:00:00
56,607,97,Bologna,BOL,99,Udinese,UDI,1,2,2015-09-27 17:00:00
57,608,106,Inter,INT,110,Fiorentina,FIO,1,4,2015-09-27 22:45:00
58,609,112,Frosinone,FRO,108,Empoli,EMP,2,0,2015-09-28 21:00:00
59,610,107,Atalanta,ATA,102,Sampdoria,SAM,2,1,2015-09-28 23:00:00
60,611,103,Carpi,CAP,113,Torino,TOR,2,1,2015-10-03 20:00:00
61,612,109,Chievo,CHI,94,Verona,VER,1,1,2015-10-03 22:45:00
62,613,108,Empoli,EMP,104,Sassuolo,SAS,1,0,2015-10-04 14:30:00
63,614,100,Palermo,PAL,95,Roma,ROM,2,4,2015-10-04 17:00:00
64,615,102,Sampdoria,SAM,106,Inter,INT,1,1,2015-10-04 17:00:00
65,616,99,Udinese,UDI,101,Genoa,GEN,1,1,2015-10-04 17:00:00
66,617,98,Juventus,JUV,97,Bologna,BOL,3,1,2015-10-04 20:00:00
67,618,96,Lazio,LAZ,112,Frosinone,FRO,2,0,2015-10-04 20:00:00
68,619,111,AC Milan,MIL,105,Napoli,NAP,0,4,2015-10-04 22:45:00
69,620,110,Fiorentina,FIO,107,Atalanta,ATA,3,0,2015-10-04 22:45:00
70,621,95,Roma,ROM,108,Empoli,EMP,3,1,2015-10-17 20:00:00
71,622,113,Torino,TOR,111,AC Milan,MIL,1,1,2015-10-17 22:45:00
72,623,97,Bologna,BOL,100,Palermo,PAL,0,1,2015-10-18 14:30:00
73,624,112,Frosinone,FRO,102,Sampdoria,SAM,2,0,2015-10-18 17:00:00
74,625,101,Genoa,GEN,109,Chievo,CHI,3,2,2015-10-18 17:00:00
75,626,94,Verona,VER,99,Udinese,UDI,1,1,2015-10-18 17:00:00
76,627,104,Sassuolo,SAS,96,Lazio,LAZ,2,1,2015-10-18 17:00:00
77,628,107,Atalanta,ATA,103,Carpi,CAP,3,0,2015-10-18 17:00:00
78,629,105,Napoli,NAP,110,Fiorentina,FIO,2,1,2015-10-18 17:00:00
79,630,106,Inter,INT,98,Juventus,JUV,0,0,2015-10-18 22:45:00
80,631,108,Empoli,EMP,101,Genoa,GEN,2,0,2015-10-24 17:00:00
81,632,103,Carpi,CAP,97,Bologna,BOL,1,2,2015-10-24 20:00:00
82,633,100,Palermo,PAL,106,Inter,INT,1,1,2015-10-24 22:45:00
83,634,102,Sampdoria,SAM,94,Verona,VER,4,1,2015-10-25 15:30:00
84,635,99,Udinese,UDI,112,Frosinone,FRO,1,0,2015-10-25 18:00:00
85,636,111,AC Milan,MIL,104,Sassuolo,SAS,2,1,2015-10-25 18:00:00
86,637,98,Juventus,JUV,107,Atalanta,ATA,2,0,2015-10-25 18:00:00
87,638,96,Lazio,LAZ,113,Torino,TOR,3,0,2015-10-25 21:00:00
88,639,110,Fiorentina,FIO,95,Roma,ROM,1,2,2015-10-25 21:00:00
89,640,109,Chievo,CHI,105,Napoli,NAP,0,1,2015-10-25 23:45:00
90,641,97,Bologna,BOL,106,Inter,INT,0,1,2015-10-27 23:45:00
91,642,112,Frosinone,FRO,103,Carpi,CAP,2,1,2015-10-28 23:45:00
92,643,94,Verona,VER,110,Fiorentina,FIO,0,2,2015-10-28 23:45:00
93,644,111,AC Milan,MIL,109,Chievo,CHI,1,0,2015-10-28 23:45:00
94,645,105,Napoli,NAP,100,Palermo,PAL,2,0,2015-10-28 23:45:00
95,646,95,Roma,ROM,99,Udinese,UDI,3,1,2015-10-28 23:45:00
96,647,107,Atalanta,ATA,96,Lazio,LAZ,2,1,2015-10-28 23:45:00
97,648,104,Sassuolo,SAS,98,Juventus,JUV,1,0,2015-10-28 23:45:00
98,649,113,Torino,TOR,101,Genoa,GEN,3,3,2015-10-28 23:45:00
99,650,102,Sampdoria,SAM,108,Empoli,EMP,1,1,2015-10-29 23:45:00
100,651,98,Juventus,JUV,113,Torino,TOR,2,1,2015-10-31 21:00:00
101,652,106,Inter,INT,95,Roma,ROM,1,0,2015-10-31 23:45:00
102,653,110,Fiorentina,FIO,112,Frosinone,FRO,4,1,2015-11-01 15:30:00
103,654,101,Genoa,GEN,105,Napoli,NAP,0,0,2015-11-01 18:00:00
104,655,97,Bologna,BOL,107,Atalanta,ATA,3,0,2015-11-01 18:00:00
105,656,103,Carpi,CAP,94,Verona,VER,0,0,2015-11-01 18:00:00
106,657,99,Udinese,UDI,104,Sassuolo,SAS,0,0,2015-11-01 18:00:00
107,658,96,Lazio,LAZ,111,AC Milan,MIL,1,3,2015-11-01 23:45:00
108,659,109,Chievo,CHI,102,Sampdoria,SAM,1,1,2015-11-02 22:00:00
109,660,100,Palermo,PAL,108,Empoli,EMP,0,1,2015-11-03 00:00:00
110,661,94,Verona,VER,97,Bologna,BOL,0,2,2015-11-07 21:00:00
111,662,111,AC Milan,MIL,107,Atalanta,ATA,0,0,2015-11-07 23:45:00
112,663,113,Torino,TOR,106,Inter,INT,0,1,2015-11-08 15:30:00
113,664,104,Sassuolo,SAS,103,Carpi,CAP,1,0,2015-11-08 18:00:00
114,665,100,Palermo,PAL,109,Chievo,CHI,1,0,2015-11-08 18:00:00
115,666,95,Roma,ROM,96,Lazio,LAZ,2,0,2015-11-08 18:00:00
116,667,108,Empoli,EMP,98,Juventus,JUV,1,3,2015-11-08 18:00:00
117,668,112,Frosinone,FRO,101,Genoa,GEN,2,2,2015-11-08 18:00:00
118,669,105,Napoli,NAP,99,Udinese,UDI,1,0,2015-11-08 21:00:00
119,670,102,Sampdoria,SAM,110,Fiorentina,FIO,0,2,2015-11-08 23:45:00
120,671,97,Bologna,BOL,95,Roma,ROM,2,2,2015-11-21 21:00:00
121,672,98,Juventus,JUV,111,AC Milan,MIL,1,0,2015-11-21 23:45:00
122,673,94,Verona,VER,105,Napoli,NAP,0,2,2015-11-22 15:30:00
123,674,96,Lazio,LAZ,100,Palermo,PAL,1,1,2015-11-22 18:00:00
124,675,99,Udinese,UDI,102,Sampdoria,SAM,1,0,2015-11-22 18:00:00
125,676,103,Carpi,CAP,109,Chievo,CHI,1,2,2015-11-22 18:00:00
126,677,110,Fiorentina,FIO,108,Empoli,EMP,2,2,2015-11-22 18:00:00
127,678,101,Genoa,GEN,104,Sassuolo,SAS,2,1,2015-11-22 18:00:00
128,679,107,Atalanta,ATA,113,Torino,TOR,0,1,2015-11-22 18:00:00
129,680,106,Inter,INT,112,Frosinone,FRO,4,0,2015-11-22 23:45:00
130,681,113,Torino,TOR,97,Bologna,BOL,2,0,2015-11-28 21:00:00
131,682,111,AC Milan,MIL,102,Sampdoria,SAM,4,1,2015-11-28 23:45:00
132,683,95,Roma,ROM,107,Atalanta,ATA,0,2,2015-11-29 18:00:00
133,684,112,Frosinone,FRO,94,Verona,VER,3,2,2015-11-29 18:00:00
134,685,101,Genoa,GEN,103,Carpi,CAP,1,2,2015-11-29 18:00:00
135,686,109,Chievo,CHI,99,Udinese,UDI,2,3,2015-11-29 18:00:00
136,687,108,Empoli,EMP,96,Lazio,LAZ,1,0,2015-11-29 21:00:00
137,688,100,Palermo,PAL,98,Juventus,JUV,0,3,2015-11-29 23:45:00
138,689,104,Sassuolo,SAS,110,Fiorentina,FIO,1,1,2015-11-30 22:00:00
139,690,105,Napoli,NAP,106,Inter,INT,2,1,2015-12-01 00:00:00
140,691,96,Lazio,LAZ,98,Juventus,JUV,0,2,2015-12-04 23:45:00
141,692,113,Torino,TOR,95,Roma,ROM,1,1,2015-12-05 18:00:00
142,693,106,Inter,INT,101,Genoa,GEN,1,0,2015-12-05 23:45:00
143,694,97,Bologna,BOL,105,Napoli,NAP,3,2,2015-12-06 15:30:00
144,695,107,Atalanta,ATA,100,Palermo,PAL,3,0,2015-12-06 18:00:00
145,696,110,Fiorentina,FIO,99,Udinese,UDI,3,0,2015-12-06 18:00:00
146,697,112,Frosinone,FRO,109,Chievo,CHI,0,2,2015-12-06 18:00:00
147,698,94,Verona,VER,108,Empoli,EMP,0,1,2015-12-06 18:00:00
148,699,102,Sampdoria,SAM,104,Sassuolo,SAS,1,3,2015-12-06 21:00:00
149,700,103,Carpi,CAP,111,AC Milan,MIL,0,0,2015-12-06 23:45:00
150,701,101,Genoa,GEN,97,Bologna,BOL,0,1,2015-12-12 18:00:00
151,702,100,Palermo,PAL,112,Frosinone,FRO,4,1,2015-12-12 21:00:00
152,703,99,Udinese,UDI,106,Inter,INT,0,4,2015-12-12 23:45:00
153,704,111,AC Milan,MIL,94,Verona,VER,1,1,2015-12-13 18:00:00
154,705,109,Chievo,CHI,107,Atalanta,ATA,1,0,2015-12-13 18:00:00
155,706,108,Empoli,EMP,103,Carpi,CAP,3,0,2015-12-13 18:00:00
156,707,105,Napoli,NAP,95,Roma,ROM,0,0,2015-12-13 21:00:00
157,708,98,Juventus,JUV,110,Fiorentina,FIO,3,1,2015-12-13 23:45:00
