,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Bayern Munich,34,27,3,4,92,28,84,76.55,70.49,30.64,27.32,43.17,7.79,18.33,375,117,73.52
2,Schalke 04,34,18,9,7,53,37,63,46.83,39.25,39.42,34.86,4.39,8.99,8.93,150,168,51.69
3,Hoffenheim,34,15,10,9,66,48,55,50.72,46.78,45.2,42.16,4.62,10.71,10.83,251,202,49.86
4,Borussia Dortmund,34,15,10,9,64,47,55,66.1,61.55,40.86,38.58,22.97,7.48,13.34,289,172,63.16
5,Bayer Leverkusen,34,15,10,9,58,44,55,56.98,53.19,36.92,32.37,20.82,9.31,10.22,274,171,61.54
6,RasenBallsport Leipzig,34,15,8,11,57,53,53,51.42,47.63,47.42,43.63,4.0,7.68,9.39,259,183,48.47
7,VfB Stuttgart,34,15,6,13,36,36,51,37.91,35.64,39.35,34.8,0.8300000000000001,10.93,10.49,148,204,46.67
8,Eintracht Frankfurt,34,14,7,13,45,45,49,41.06,39.54,40.91,38.64,0.91,9.12,9.5,193,160,47.19
9,Borussia M.Gladbach,34,13,8,13,47,52,47,51.25,45.94,52.09,49.06,-3.11,10.6,11.09,209,250,48.93
10,Hertha Berlin,34,10,13,11,43,46,43,38.58,34.79,44.71,39.41,-4.62,11.85,9.82,115,227,41.89
11,Werder Bremen,34,10,12,12,37,40,42,38.51,38.51,43.47,40.25,-1.74,10.95,9.62,186,195,42.7
12,Augsburg,34,10,11,13,43,46,41,42.26,39.23,40.82,38.54,0.6900000000000001,10.21,8.63,154,228,45.9
13,Hannover 96,34,10,9,15,44,54,39,41.22,37.29,54.36,51.33,-14.04,10.32,8.1,174,224,39.58
14,Mainz 05,34,9,9,16,38,52,36,31.65,28.62,45.18,39.88,-11.26,10.19,7.28,147,223,37.92
15,Freiburg,34,8,12,14,32,56,36,36.98,29.4,45.66,41.87,-12.47,12.11,8.52,165,204,40.82
16,Wolfsburg,34,6,15,13,36,48,33,32.11,27.36,49.43,42.46,-15.1,12.39,9.75,139,237,34.8
17,Hamburger SV,34,8,7,19,29,53,31,36.04,32.1,54.06,51.03,-18.92,8.49,7.88,190,216,38.59
18,FC Cologne,34,5,7,22,35,70,22,41.5,39.23,67.17,60.35,-21.12,11.38,9.72,208,245,32.18
