,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Sevilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Real Sociedad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Espanyol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Getafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Atletico Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Rayo Vallecano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Athletic Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Real Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Celta Vigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Real Betis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Villarreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Elche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Almeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Girona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Real Valladolid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Mallorca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Cadiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
