,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Lille,38,24,11,3,64,23,83,48.07,44.27,25.68,24.16,20.11,10.79,14.23,224,131,67.61
2,Paris Saint Germain,38,26,4,8,86,28,82,83.89,74.01,36.85,35.33,38.67,7.57,18.04,355,155,78.27
3,Monaco,38,24,6,8,76,42,78,70.35,58.8,33.95,30.15,28.65,8.76,14.88,322,117,75.81
4,Lyon,38,22,10,6,81,43,76,82.37,74.01,38.42,33.1,40.91,9.69,13.91,372,150,78.81
5,Marseille,38,16,12,10,54,47,60,49.29,43.97,46.49,44.21,-0.24,9.49,12.5,200,179,55.24
6,Rennes,38,16,10,12,52,40,58,46.75,44.47,36.06,33.02,11.45,9.62,15.72,249,152,58.78
7,Lens,38,15,12,11,55,54,57,56.36,47.24,46.41,38.05,9.19,10.43,11.25,196,176,60.04
8,Montpellier,38,14,12,12,60,62,54,52.27,48.47,67.22,58.1,-9.63,13.87,10.54,144,296,44.74
9,Nice,38,15,7,16,50,53,52,46.37,41.05,56.18,50.86,-9.81,10.89,13.51,215,206,46.96
10,Metz,38,12,11,15,44,48,47,42.26,33.9,48.4,38.52,-4.62,12.62,9.12,116,219,47.96
11,Saint-Etienne,38,12,10,16,42,54,46,47.28,40.35,49.15,42.31,-1.9500000000000002,10.7,8.8,141,188,52.35
12,Bordeaux,38,13,6,19,42,56,45,43.55,40.51,54.87,48.79,-8.28,12.49,12.06,157,227,45.11
13,Angers,38,12,8,18,40,58,44,39.92,35.36,52.81,46.73,-11.38,14.4,10.47,146,190,42.64
14,Reims,38,9,15,14,42,50,42,33.23,29.43,61.79,55.71,-26.28,14.04,10.54,139,238,33.94
15,Strasbourg,38,11,9,18,49,58,42,52.78,43.41,50.22,44.14,-0.73,13.3,10.41,200,190,52.85
16,Lorient,38,11,9,18,50,68,42,48.15,40.55,52.48,44.12,-3.56,12.24,9.53,141,233,50.28
17,Brest,38,11,8,19,50,66,41,45.77,42.73,58.02,49.65,-6.92,12.68,11.76,229,247,43.95
18,Nantes,38,9,13,16,47,55,40,48.27,41.43,54.89,45.77,-4.34,12.73,8.56,160,215,48.75
19,Nimes,38,9,8,21,40,71,35,41.39,35.31,64.17,56.24,-20.92,13.47,8.44,168,230,39.7
20,Dijon,38,4,9,25,25,73,21,31.85,28.05,76.12,68.37,-40.32,13.93,9.77,140,275,24.88
