,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,319,Marco Reus,1,90,1,1.1810827255249023,0,0.0,4,0,0,0,M,Borussia Dortmund,1,1.1810827255249023,1.085045576095581,0.03606477752327919
1,205,Mahmoud Dahoud,1,90,0,0.01791003905236721,0,0.0,1,0,0,0,M,Borussia Dortmund,0,0.01791003905236721,0.6104781627655029,0.6104781627655029
2,213,Thorgan Hazard,1,68,0,0.6318210959434509,0,0.025637581944465637,2,1,1,0,S,Borussia Dortmund,0,0.6318210959434509,0.6361157298088074,0.01791003905236721
3,261,Julian Brandt,1,18,0,0.0,0,0.0,0,0,0,0,S,Borussia Dortmund,0,0.0,0.01815473847091198,0.01815473847091198
4,373,Mats Hummels,1,90,0,0.0,0,0.0,0,0,0,0,D,Borussia Dortmund,0,0.0,0.6104781627655029,0.6104781627655029
5,604,Emre Can,1,3,0,0.0,0,0.0,0,0,0,0,S,Borussia Dortmund,0,0.0,0.0,0.0
6,2693,Marius Wolf,1,3,0,0.01815473847091198,0,0.0,1,0,0,0,S,Borussia Dortmund,0,0.01815473847091198,0.01815473847091198,0.0
7,3455,Raphael Guerreiro,1,87,0,0.04688088968396187,0,0.10604888945817947,1,2,0,0,D,Borussia Dortmund,0,0.04688088968396187,0.8036315441131592,0.7080742120742798
8,5288,Gregor Kobel,1,90,0,0.0,0,0.0,0,0,0,0,GK,Borussia Dortmund,0,0.0,0.01791003905236721,0.01791003905236721
9,5680,Thomas Meunier,1,90,0,0.09117869287729263,0,0.0,1,0,0,0,D,Borussia Dortmund,0,0.09117869287729263,0.01815473847091198,0.01815473847091198
10,7485,Nico Schlotterbeck,1,90,0,0.0,0,0.0,0,0,1,0,D,Borussia Dortmund,0,0.0,0.6507017612457275,0.6507017612457275
11,8824,Jude Bellingham,1,90,0,0.08674532920122147,0,0.06479092687368393,3,2,0,0,M,Borussia Dortmund,0,0.08674532920122147,1.090294599533081,0.9566683769226074
12,9133,Youssoufa Moukoko,1,72,0,0.0,0,0.28881779313087463,0,1,0,0,F,Borussia Dortmund,0,0.0,0.3067278265953064,0.01791003905236721
13,9749,Donyell Malen,1,87,0,0.04867643117904663,0,0.6720447540283203,1,3,0,0,F,Borussia Dortmund,0,0.04867643117904663,0.7567506432533264,0.0752824991941452
14,10772,Karim Adeyemi,1,22,0,0.28881779313087463,0,0.0,1,0,0,0,F,Borussia Dortmund,0,0.28881779313087463,0.28881779313087463,0.0
