,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,5220,Kai Havertz,30,2467,12,10.05915692448616,6,8.284009255468845,59,58,3,0,F M S,Bayer Leverkusen,11,9.30162325501442,23.020577698946,9.870825476944447
1,83,Kevin Volland,27,2060,10,11.828392572700977,7,5.832277292385697,77,34,3,0,D F M S,Bayer Leverkusen,10,11.828392572700977,22.596518989652395,6.917994666844606
2,6338,Lucas Alario,24,1156,7,7.565859571099281,1,1.5347136855125427,49,13,6,0,F S,Bayer Leverkusen,6,6.808082893490791,8.949969671666622,1.9757703822106123
3,5221,Leon Bailey,22,1098,5,4.441667875275016,3,2.539416640996933,29,21,0,2,D F M S,Bayer Leverkusen,5,4.441667875275016,7.952265860512853,2.3085094103589654
4,6556,Moussa Diaby,28,1761,5,4.790141206700355,5,6.149265520274639,41,35,3,0,F M S,Bayer Leverkusen,5,4.790141206700355,14.220618357416242,4.1923834858462214
5,186,Karim Bellarabi,26,1437,4,6.826337996870279,6,5.370479218661785,55,27,2,0,D F M S,Bayer Leverkusen,4,6.826337996870279,14.961602134630084,5.217333305627108
6,7067,Paulinho,13,280,3,2.2562496289610863,2,1.2294711619615555,9,7,1,0,M S,Bayer Leverkusen,3,2.2562496289610863,4.513619489967823,2.2202571760863066
7,42,Julian Baumgartlinger,27,1798,2,2.151399645023048,2,1.7409698856063187,17,17,4,0,M S,Bayer Leverkusen,2,2.151399645023048,9.86036016792059,7.853218065574765
8,311,Sven Bender,33,2728,2,1.7732587270438671,1,0.17903506569564342,18,3,3,0,D,Bayer Leverkusen,2,1.7732587270438671,10.70714981481433,10.542794656008482
9,421,Lars Bender,18,1377,2,0.7787648010998964,1,1.3037349805235863,14,18,3,0,D M S,Bayer Leverkusen,2,0.7787648010998964,6.17320092394948,4.990368507802486
10,28,Mitchell Weiser,18,1165,1,1.7394279334694147,0,0.26334658823907375,7,5,3,0,D M S,Bayer Leverkusen,1,1.7394279334694147,5.071940220892429,3.95404727011919
11,82,Nadiem Amiri,30,1855,1,2.2712715240195394,2,6.069706790149212,42,54,3,0,D M S,Bayer Leverkusen,1,2.2712715240195394,11.075130720622838,6.082137428224087
12,454,Charles Aránguiz,27,2129,1,1.1556972600519657,3,2.3716537673026323,16,23,2,0,M S,Bayer Leverkusen,1,1.1556972600519657,13.424671690911055,11.701837033033371
13,5273,Kerem Demirbay,25,1580,1,3.1821088306605816,5,4.525013193488121,30,41,2,1,F M S,Bayer Leverkusen,1,3.1821088306605816,11.6556481346488,8.764036484062672
14,8397,Florian Wirtz,7,359,1,0.31055453419685364,0,0.4850272201001644,4,3,0,0,F M S,Bayer Leverkusen,1,0.31055453419685364,1.3496683984994888,1.0060267262160778
15,183,Jonathan Tah,25,2091,0,0.3502626111730933,1,0.19803042151033878,6,5,4,1,D S,Bayer Leverkusen,0,0.3502626111730933,10.620207224041224,10.587424281984568
16,185,Wendell,24,1906,0,0.2258448414504528,2,1.109637679066509,10,15,4,1,D S,Bayer Leverkusen,0,0.2258448414504528,9.42301544174552,8.48819287493825
17,281,Lukas Hradecky,34,3060,0,0.0,0,0.0,0,0,1,0,GK,Bayer Leverkusen,0,0.0,5.579740162007511,5.579740162007511
18,5219,Aleksandar Dragovic,15,1030,0,0.8147087693214417,0,0.06654861848801374,2,2,5,1,D S,Bayer Leverkusen,0,0.8147087693214417,2.5972552075982094,2.423275537788868
19,5222,Joel Pohjanpalo,1,1,0,0.0,0,0.0,0,0,0,0,S,Bayer Leverkusen,0,0.0,0.0,0.0
20,6316,Panagiotis Retsos,3,114,0,0.0,0,0.02563994564116001,0,1,0,0,D S,Bayer Leverkusen,0,0.0,0.2560991309583187,0.23045918345451355
21,7899,Daley Sinkgraven,13,916,0,0.0,1,0.6469136122614145,0,9,1,0,D S,Bayer Leverkusen,0,0.0,3.4360537324100733,3.2905997205525637
22,8317,Edmond Tapsoba,14,1058,0,0.2025997955352068,0,0.09155212342739105,3,1,2,0,D S,Bayer Leverkusen,0,0.2025997955352068,4.677474633324891,4.573184289503843
23,8325,Exequiel Palacios,3,176,0,0.23665567487478256,0,0.12038562633097172,5,3,0,0,M S,Bayer Leverkusen,0,0.23665567487478256,0.8760986477136612,0.5597845874726772
