,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,838,Sadio Mané,36,3100,22,16.762808084487915,1,5.123734523542225,87,45,2,0,F M S,Liverpool,22,16.762808084487915,28.40134635940194,8.485077820718288
1,1250,Mohamed Salah,38,3274,22,21.79245018400252,8,10.468589510768652,137,68,1,0,F S,Liverpool,19,19.508943611755967,31.780298396945,7.865945274010301
2,482,Roberto Firmino,34,2631,12,13.737689750269055,6,6.344290215522051,75,43,0,0,F M S,Liverpool,11,12.976520912721753,24.34563909471035,9.149718433618546
3,888,Xherdan Shaqiri,24,1048,6,4.059152172878385,3,1.8917570114135742,26,20,2,0,M S,Liverpool,6,4.059152172878385,7.922253351658583,3.4201246555894613
4,489,James Milner,31,1775,5,3.3563821092247963,4,5.641537204384804,24,44,5,1,D M S,Liverpool,2,1.0728756012395024,12.487557540647686,9.807761223986745
5,833,Virgil van Dijk,38,3388,4,3.5105454893782735,2,1.2659120308235288,31,7,1,0,D,Liverpool,4,3.5105454893782735,17.472352009266615,16.656997345387936
6,484,Divock Origi,12,357,3,2.2430995739996433,1,0.18801140412688255,13,3,0,0,F S,Liverpool,3,2.2430995739996433,1.4092786479741335,0.6994131207466125
7,771,Georginio Wijnaldum,35,2749,3,3.180203888565302,0,1.9434388419613242,30,25,3,0,M S,Liverpool,3,3.180203888565302,14.712283564731479,10.547691758722067
8,483,Daniel Sturridge,18,484,2,1.4982534935697913,1,1.0722148530185223,18,8,1,0,F S,Liverpool,2,1.4982534935697913,4.198269399814308,2.53722982108593
9,5247,Naby Keita,25,1407,2,2.5456338804215193,1,1.0696090441197157,27,9,0,0,M S,Liverpool,2,2.5456338804215193,12.775823663920164,9.896367625333369
10,332,Joel Matip,22,1535,1,0.9036619700491428,0,0.18020743504166603,8,3,3,0,D S,Liverpool,1,0.9036619700491428,6.371974578127265,6.371974578127265
11,602,Dejan Lovren,13,988,1,0.9101980663836002,0,0.10816649347543716,6,1,1,0,D S,Liverpool,1,0.9101980663836002,3.4448091462254524,3.321439675986767
12,605,Jordan Henderson,32,1979,1,1.513163773342967,3,1.6871283408254385,16,15,1,1,D M S,Liverpool,1,1.513163773342967,14.520353047177196,11.57944836653769
13,1791,Trent Alexander-Arnold,29,2475,1,1.4922779146581888,12,7.21885472536087,29,48,3,0,D S,Liverpool,1,1.4922779146581888,14.109513361006975,10.70944832637906
14,3420,Fabinho,28,2006,1,1.144551856443286,2,1.3083824701607227,17,16,6,0,D M S,Liverpool,1,1.144551856443286,9.326502371579409,7.968353819102049
15,486,Adam Lallana,13,459,0,0.3037017956376076,0,0.5410390570759773,5,9,1,0,F M S,Liverpool,0,0.3037017956376076,1.740591049194336,1.2620225138962269
16,608,Alberto Moreno,2,156,0,0.02153877541422844,0,0.1352575272321701,1,3,0,0,D,Liverpool,0,0.02153877541422844,0.5720921158790588,0.43683458864688873
17,966,Alex Oxlade-Chamberlain,2,17,0,0.4664706289768219,0,0.11588068306446075,1,1,0,0,S,Liverpool,0,0.4664706289768219,1.3726168870925903,1.2567362785339355
18,987,Joseph Gomez,16,1052,0,0.2288763802498579,0,0.4228671807795763,5,7,2,0,D S,Liverpool,0,0.2288763802498579,5.0583770647645,4.74765482544899
19,1257,Alisson,38,3420,0,0.0,0,0.0,0,0,1,0,GK,Liverpool,0,0.0,7.606003455817699,7.606003455817699
20,1688,Andrew Robertson,36,3223,0,0.8616027366369963,11,8.056077662855387,16,50,4,0,D,Liverpool,0,0.8616027366369963,21.826572239398956,16.70880425721407
21,6666,Rafael Camacho,1,1,0,0.0,0,0.0,0,0,0,0,S,Liverpool,0,0.0,0.0,0.0
