,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,7768,Mason Mount,32,2367,11,8.522425089031458,10,7.2129183523356915,76,58,4,0,F M S,Chelsea,10,7.7612563110888,18.232214242219925,7.473152037709951
1,594,Romelu Lukaku,26,1571,8,7.02043329924345,0,3.3627563416957855,43,24,1,0,F S,Chelsea,7,6.259264461696148,12.035587709397078,3.9994185492396355
2,5220,Kai Havertz,29,1829,8,10.670877020806074,3,2.567780340090394,56,21,3,0,F M S,Chelsea,8,10.670877020806074,17.61882034316659,5.0742976777255535
3,1389,Jorginho,29,2285,6,5.913261387497187,2,2.8927323017269373,16,27,5,0,M S,Chelsea,0,0.5850795023143291,16.2018467746675,15.193449821323156
4,2662,Christian Pulisic,22,1276,6,6.095077715814114,2,1.2932883873581886,28,15,2,0,D F M S,Chelsea,6,6.095077715814114,8.857729310169816,2.1257928386330605
5,8067,Reece James,26,1866,5,2.5434880815446377,9,7.03030114620924,37,48,4,1,D M S,Chelsea,5,2.5434880815446377,15.981892695650458,11.940560586750507
6,65,Timo Werner,21,1291,4,6.166445337235928,1,0.3183773960918188,45,8,1,0,F M S,Chelsea,4,6.166445337235928,9.693839389830828,3.6192978844046593
7,1621,Marcos Alonso,28,2185,4,3.4942619670182467,4,5.042935017496347,43,44,8,0,D M S,Chelsea,4,3.4942619670182467,13.581606924533844,9.749325513839722
8,8992,Hakim Ziyech,23,1304,4,3.03872930444777,3,3.926884286105633,52,30,3,0,F M S,Chelsea,4,3.03872930444777,10.714836556464434,5.662909559905529
9,782,Ben Chilwell,7,541,3,1.298326052725315,1,0.8330149557441473,13,10,0,0,D M S,Chelsea,3,1.298326052725315,4.463371403515339,3.4081981480121613
10,1822,Antonio Rüdiger,34,3036,3,2.675494329072535,0,0.7367033679038286,48,12,9,0,D,Chelsea,3,2.675494329072535,17.812828024849296,17.005176208913326
11,3288,Thiago Silva,32,2638,3,1.0737613961100578,0,0.25394377671182156,18,7,2,0,D S,Chelsea,3,1.0737613961100578,18.045897998381406,17.847142264712602
12,6615,Trevoh Chalobah,20,1459,3,1.177585544064641,1,0.2659642845392227,9,4,2,0,D M S,Chelsea,3,1.177585544064641,7.6829264760017395,7.431490391492844
13,751,N&#039;Golo Kanté,26,1787,2,1.7649729195982218,4,2.2009867122396827,17,24,2,0,M S,Chelsea,2,1.7649729195982218,12.655155953019857,8.979318832047284
14,2254,Mateo Kovacic,25,1541,2,1.6888311877846718,5,4.1181420888751745,22,27,4,0,M S,Chelsea,2,1.6888311877846718,12.851388551294804,9.873720191419125
15,592,Ross Barkley,6,169,1,1.3613629639148712,0,0.6625457555055618,9,8,0,0,M S,Chelsea,1,1.3613629639148712,3.7184783220291138,2.1817557588219643
16,681,César Azpilicueta,27,2084,1,1.2615651059895754,2,2.0757622625678778,11,17,3,0,D M S,Chelsea,1,1.2615651059895754,12.788146570324898,10.711090365424752
17,6456,Callum Hudson-Odoi,15,971,1,2.775725405663252,2,2.6389927733689547,18,25,1,0,D F M S,Chelsea,1,2.775725405663252,6.930552180856466,2.43254566937685
18,200,Andreas Christensen,19,1499,0,0.7990243220701814,0,0.19266082346439362,5,6,2,0,D S,Chelsea,0,0.7990243220701814,8.302761550992727,8.291628237813711
19,688,Ruben Loftus-Cheek,24,1378,0,0.9419812392443419,2,2.556415792554617,19,18,1,0,M S,Chelsea,0,0.9419812392443419,8.096101228147745,6.934503693133593
20,689,Kenedy,1,59,0,0.0535646490752697,1,0.7482358813285828,1,2,0,0,D,Chelsea,0,0.0535646490752697,0.5048700571060181,0.3631519377231598
21,1245,Emerson,1,3,0,0.0,0,0.0,0,0,0,0,S,Chelsea,0,0.0,0.0,0.0
22,2266,Saúl Ñíguez,10,477,0,0.1444712858647108,0,0.1898057535290718,5,3,1,0,D M S,Chelsea,0,0.1444712858647108,4.023328609764576,3.7069162726402283
23,5061,Kepa,4,360,0,0.0,0,0.0,0,0,0,0,GK,Chelsea,0,0.0,0.7405954152345657,0.7405954152345657
24,5648,Malang Sarr,8,549,0,0.020652154460549355,0,0.3875725567340851,1,3,2,0,D S,Chelsea,0,0.020652154460549355,1.3373690992593765,0.9393732184544206
25,6880,Edouard Mendy,34,3060,0,0.0,0,0.0,0,0,3,0,GK,Chelsea,0,0.0,5.087311735376716,5.087311735376716
