,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,2097,Lionel Messi,38,3374,43,35.89176357910037,18,17.61195552162826,187,95,4,0,F S,Barcelona,38,31.432097773998976,54.75360991060734,19.75672373920679
1,2099,Neymar,33,2573,22,22.721617586910725,7,8.261543160304427,95,52,6,0,F S,Barcelona,21,21.978339917957783,36.88822028413415,11.678407426923513
2,2098,Luis Suárez,27,2182,16,14.542309518903494,14,13.520657511427999,75,60,4,0,F S,Barcelona,16,14.542309518903494,28.306159861385822,6.215007800608873
3,687,Pedro,35,1523,6,7.806149773299694,6,6.433851417154074,38,25,3,0,F S,Barcelona,6,7.806149773299694,20.684930950403214,8.467205092310905
4,2092,Gerard Piqué,27,2383,5,3.753405377268791,1,0.8372067734599113,20,4,6,0,D S,Barcelona,5,3.753405377268791,14.040410071611404,12.008071932941675
5,2094,Ivan Rakitic,32,2042,5,3.106179348193109,7,4.024792701005936,34,35,1,0,M S,Barcelona,5,3.106179348193109,21.612976163625717,16.874897815287113
6,2101,Jeremy Mathieu,28,2103,2,1.0263475449755788,0,1.4110264386981726,11,5,5,0,D S,Barcelona,2,1.0263475449755788,10.112887045368552,9.848892450332642
7,2537,Sandro Ramírez,7,142,2,1.857078731060028,0,0.0,8,0,0,0,S,Barcelona,2,1.857078731060028,3.034936636686325,1.284411646425724
8,4093,Xavi,31,1778,2,2.1689790412783623,8,6.0424575060606,28,53,1,0,M S,Barcelona,2,2.1689790412783623,20.9049698933959,16.479306956753135
9,2093,Jordi Alba,27,2336,1,2.623541660606861,3,3.4026890620589256,18,27,6,1,D,Barcelona,1,2.623541660606861,18.627736672759056,14.664830837398767
10,2095,Sergio Busquets,33,2493,1,0.7489580260589719,2,1.5559152904897928,7,17,7,0,M S,Barcelona,1,0.7489580260589719,22.831651773303747,22.195015653967857
11,2100,Rafinha,24,1149,1,1.0632960991933942,1,0.9242740292102098,12,8,2,0,F M S,Barcelona,1,1.0632960991933942,12.764136677607894,11.088788768276572
12,2106,Munir,10,467,1,2.889255117624998,1,0.27694557048380375,18,4,0,0,F S,Barcelona,1,2.889255117624998,4.14878961071372,2.0154367107897997
13,2453,Marc Bartra,14,1035,1,1.071040604263544,3,0.49942659586668015,11,3,1,0,D S,Barcelona,1,1.071040604263544,6.29447178542614,5.238084480166435
14,1288,Dani Alves,30,2524,0,0.9760406790301204,6,4.931537599302828,21,40,6,1,D S,Barcelona,0,0.9760406790301204,19.290704250335693,15.587286591529846
15,1635,Thomas Vermaelen,1,66,0,0.01431274227797985,0,0.0,1,0,0,0,D,Barcelona,0,0.01431274227797985,0.01431274227797985,0.0
16,1731,Claudio Bravo,37,3330,0,0.0,0,0.0,0,0,1,0,GK,Barcelona,0,0.0,8.037419468164444,8.037419468164444
17,1950,Martín Montoya,8,588,0,0.17038413137197495,0,0.27533185109496117,3,3,0,0,D S,Barcelona,0,0.17038413137197495,5.079285491257906,4.776763174682856
18,2091,Javier Mascherano,28,2207,0,0.03024850320070982,0,0.8246174678206444,2,5,8,1,D M S,Barcelona,0,0.03024850320070982,14.082576215267181,13.858413726091385
19,2096,Andrés Iniesta,24,1592,0,1.4732557982206345,1,3.624231381341815,24,20,3,0,M S,Barcelona,0,1.4732557982206345,13.803079582750797,9.690738810226321
20,2104,Sergi Roberto,12,502,0,0.1913994923233986,0,0.17514161206781864,4,4,0,0,M S,Barcelona,0,0.1913994923233986,2.3224691785871983,2.117416251450777
21,2105,Jordi Masip,1,90,0,0.0,0,0.0,0,0,0,0,GK,Barcelona,0,0.0,0.017293740063905716,0.017293740063905716
22,2454,Adriano,16,953,0,0.4723753407597542,1,1.1670644097030163,8,9,2,0,D S,Barcelona,0,0.4723753407597542,6.874595297500491,6.4276916570961475
23,2504,Douglas,2,97,0,0.0,0,0.0,0,0,1,0,D S,Barcelona,0,0.0,0.35571877658367157,0.35571877658367157
