,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,2371,Cristiano Ronaldo,27,2304,26,26.999303579330444,5,5.524841643869877,178,40,1,0,F,Real Madrid,23,24.02619305253029,31.62383733689785,9.47185287065804
1,2251,Gareth Bale,26,1803,16,12.182469882071018,2,5.88704988360405,76,41,5,0,F M S,Real Madrid,15,11.439192332327366,19.837875679135323,6.233250914141536
2,2255,Isco,30,1781,7,6.015414534136653,7,6.122837542556226,49,48,1,0,F M S,Real Madrid,7,6.015414534136653,20.547110065817833,12.307897543534636
3,2117,Marco Asensio,32,1831,6,4.815858134068549,6,6.143157583661377,56,52,2,0,F M S,Real Madrid,6,4.815858134068549,17.635641187429428,9.533508475869894
4,2248,Casemiro,30,2609,5,3.646564875729382,3,2.930635930970311,32,23,8,0,D M,Real Madrid,5,3.646564875729382,19.951449058949947,15.432110242545605
5,2369,Toni Kroos,27,2275,5,2.9835648089647293,7,6.376161083579063,41,63,4,0,M S,Real Madrid,5,2.9835648089647293,18.476983971893787,15.108673924580216
6,2370,Karim Benzema,32,2166,5,13.972143589518964,10,7.4571512043476105,63,44,0,0,F S,Real Madrid,3,12.485716282390058,25.422266200184822,7.880559328943491
7,2246,Sergio Ramos,26,2295,4,5.440110256895423,1,1.7829460268840194,28,14,7,2,D,Real Madrid,2,3.210405293852091,15.794405646622181,13.562149278819561
8,2253,Lucas Vázquez,33,1659,4,4.909966269508004,7,6.1378346141427755,33,52,3,0,F M S,Real Madrid,4,4.909966269508004,17.651769230142236,9.382657846435905
9,2247,Nacho,27,2072,3,1.1693945564329624,0,0.32583187520504,10,5,7,0,D S,Real Madrid,3,1.1693945564329624,11.57300278171897,11.028806444257498
10,2252,Borja Mayoral,14,335,3,3.3194885179400444,1,0.5535394009202719,15,2,0,0,F S,Real Madrid,3,3.3194885179400444,4.640599619597197,1.4609397817403078
11,2257,Marcelo,28,2264,2,1.3943550065159798,6,7.034809876233339,33,57,3,1,D M S,Real Madrid,2,1.3943550065159798,16.830594293773174,11.973121009767056
12,2446,Dani Ceballos,12,392,2,0.380171874538064,0,0.24150575324892998,7,4,0,0,M S,Real Madrid,2,0.380171874538064,1.7825073227286339,1.2783413231372833
13,5197,Achraf Hakimi,9,758,2,0.4125133082270622,0,0.28579301573336124,4,5,0,0,D S,Real Madrid,2,0.4125133082270622,4.683480080217123,4.1424340903759
14,2250,Luka Modric,26,1979,1,2.07078836299479,6,4.686722559854388,35,39,3,0,M S,Real Madrid,1,2.07078836299479,19.871699765324593,15.434889301657677
15,2243,Keylor Navas,27,2430,0,0.0,0,0.0,0,0,1,0,GK,Real Madrid,0,0.0,6.859304524958134,6.859304524958134
16,2245,Raphael Varane,27,2323,0,1.3220893684774637,1,0.5164449121803045,10,6,3,0,D,Real Madrid,0,1.3220893684774637,9.128079738467932,9.092545043677092
17,2254,Mateo Kovacic,21,982,0,0.345842607319355,1,0.6701100068166852,9,10,2,0,M S,Real Madrid,0,0.345842607319355,7.848400441929698,7.3368109334260225
18,2259,Kiko Casilla,10,900,0,0.0,0,0.0,0,0,0,0,GK,Real Madrid,0,0.0,1.3708053901791573,1.3708053901791573
19,2260,Daniel Carvajal,25,2224,0,0.9653121661394835,2,4.246430590748787,13,36,11,1,D,Real Madrid,0,0.9653121661394835,18.413971439003944,14.833885408937931
20,2518,Marcos Llorente,13,537,0,0.2117935847491026,0,0.18957064673304558,6,3,1,0,M S,Real Madrid,0,0.2117935847491026,3.3710010051727295,2.9696367643773556
21,2547,Theo Hernández,13,960,0,0.3574911653995514,0,1.1031734198331833,2,8,1,0,D S,Real Madrid,0,0.3574911653995514,5.347761906683445,4.119337253272533
22,5234,Jesús Vallejo,7,630,0,0.0,0,0.0,0,0,0,0,D,Real Madrid,0,0.0,1.7618550807237625,1.7618550807237625
23,6269,Luca Zidane,1,90,0,0.0,0,0.0,0,0,0,0,GK,Real Madrid,0,0.0,0.09694685786962509,0.09694685786962509
