,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1583,Arkadiusz Milik,15,1231,9,7.984825819730759,1,1.0393305737525225,46,8,2,0,F S,Marseille,6,5.704540386795998,6.928287699818611,1.5912338932976127
1,942,Florian Thauvin,36,2777,8,9.093646415509284,8,10.308668022975326,71,57,5,0,D F M S,Marseille,8,7.573521734215319,19.319557103328407,7.5678529385477304
2,536,Dimitri Payet,33,2442,7,6.303964300081134,10,8.00108899269253,45,66,4,2,F M S,Marseille,7,5.5438691806048155,15.657505888491869,7.6119611114263535
3,7716,Darío Benedetto,32,1597,5,7.5159671837463975,3,2.270283989608288,39,12,1,2,F S,Marseille,4,6.755937629379332,10.315871798433363,1.9325382839888334
4,3309,Valère Germain,24,823,3,2.496750093996525,0,0.06461946666240692,10,2,1,0,F M S,Marseille,3,2.496750093996525,2.476055359467864,0.5912318956106901
5,1461,Pol Lirola,19,1555,2,1.324624665081501,2,2.4338988540694118,10,19,3,0,D M S,Marseille,2,1.324624665081501,7.1039918549358845,4.329018233343959
6,2430,Álvaro González,32,2839,2,0.7667790595442057,3,1.0629292391240597,16,5,14,0,D M,Marseille,2,0.7667790595442057,10.81418782286346,10.365919271484017
7,3696,Morgan Sanson,12,837,2,0.8887249454855919,3,3.004149654880166,10,13,2,0,M S,Marseille,2,0.8887249454855919,4.200193025171757,1.9197181835770607
8,5737,Saif-Eddine Khaoui,17,594,2,0.8483215793967247,1,0.5492311455309391,11,5,4,0,M S,Marseille,2,0.8483215793967247,1.9656886756420135,1.130619035102427
9,6148,Michaël Cuisance,23,1018,2,0.9058282533660531,1,0.5042943805456161,9,9,3,0,M S,Marseille,2,0.9058282533660531,3.4230944830924273,2.163310419768095
10,7007,Duje Caleta-Car,33,2821,2,1.0457477690652013,1,1.3772672917693853,10,7,8,1,D S,Marseille,2,1.0457477690652013,6.262152048759162,5.799254751764238
11,7160,Nemanja Radonjic,12,382,2,1.6240953374654055,1,0.2526309918612242,12,6,1,0,F M S,Marseille,2,1.6240953374654055,2.3076250459998846,1.001876387745142
12,7486,Leonardo Balerdi,21,1638,2,3.0975059922784567,0,0.02608461119234562,13,1,6,1,D M S,Marseille,2,3.0975059922784567,3.8793499525636435,3.784850588068366
13,8696,Pape Alassane Gueye,32,2049,2,1.1610842952504754,0,0.8432090580463409,17,6,9,1,M S,Marseille,2,1.1610842952504754,12.348112614825368,11.340583922341466
14,961,Jordan Amavi,13,813,1,0.1941535584628582,0,0.21838331781327724,4,5,3,1,D M S,Marseille,1,0.1941535584628582,2.287292975001037,2.184568048454821
15,3673,Valentin Rongier,26,1901,1,0.9366190666332841,2,0.9695469988510013,17,12,8,0,M S,Marseille,1,0.9366190666332841,10.978706791065633,9.365870576351881
16,7614,Lucas Perrin,7,300,1,0.5621693693101406,0,0.05739544332027435,3,1,1,0,D S,Marseille,1,0.5621693693101406,0.8274448160082102,0.7700493726879358
17,92,Hiroki Sakai,29,2394,0,0.6292660497128963,1,1.3204502323642373,3,18,6,1,D S,Marseille,0,0.6292660497128963,8.238194981589913,7.600139738060534
18,1111,Olivier Ntcham,4,120,0,0.06406581401824951,0,0.0,1,0,0,0,M S,Marseille,0,0.06406581401824951,0.2058904506266117,0.2058904506266117
19,1256,Kevin Strootman,11,213,0,0.0,0,0.16428760066628456,0,3,2,0,M S,Marseille,0,0.0,0.8531169984489679,0.7355793621391058
20,1506,Yuto Nagatomo,25,1609,0,0.06644200719892979,1,0.3938753381371498,4,3,2,0,D M S,Marseille,0,0.06644200719892979,4.72923328820616,4.694085004739463
21,1670,Steve Mandanda,37,3330,0,0.0,0,0.0,0,0,1,0,GK,Marseille,0,0.0,4.489088430069387,4.489088430069387
22,3393,Bouna Sarr,2,70,0,0.01646731048822403,0,0.0,1,0,0,0,S,Marseille,0,0.01646731048822403,0.5205060634762049,0.504038730636239
23,3395,Yohann Pelé,1,90,0,0.0,0,0.0,0,0,0,0,GK,Marseille,0,0.0,0.05920322239398956,0.05920322239398956
24,3772,Maxime Lopez,4,135,0,0.0,0,0.07377639412879944,0,1,1,0,F S,Marseille,0,0.0,0.365387000143528,0.29161060601472855
25,5789,Boubacar Kamara,35,2917,0,0.6579553997144103,2,1.7651903722435236,19,26,6,0,D M,Marseille,0,0.6579553997144103,12.28304037079215,11.329355850815773
26,6745,Christopher Rocchia,2,15,0,0.0,0,0.0,0,0,0,0,S,Marseille,0,0.0,0.0,0.0
27,8037,Marley Aké,9,120,0,1.1943220421671867,0,0.0,4,0,0,0,S,Marseille,0,1.1943220421671867,0.7987281447276473,0.14999811258167028
28,8980,Luis Henrique,19,655,0,0.19543070252984762,5,2.3473419407382607,6,15,0,0,D M S,Marseille,0,0.19543070252984762,4.035760819911957,2.44198692496866
29,9271,Cheick Souaré,1,6,0,0.0,0,0.0,0,0,0,0,S,Marseille,0,0.0,0.0,0.0
30,9345,Ahmadou Bamba Dieng,5,125,0,0.14754317700862885,0,0.0,1,0,0,0,F S,Marseille,0,0.14754317700862885,0.14754317700862885,0.0
