,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1984,Germán Denis,32,2325,8,8.567573076114058,0,1.8327204948291183,54,37,4,0,F S,Atalanta,5,5.522377794608474,8.199358515441418,1.9152593249455094
1,2029,Maximiliano Moralez,30,2255,5,5.082917433232069,4,5.162681730464101,53,59,3,0,F M S,Atalanta,5,5.082917433232069,10.94061641022563,2.370030777528882
2,1178,Davide Zappacosta,29,2270,3,1.6123620108701289,1,1.9366782698780298,25,17,4,0,D M S,Atalanta,3,1.6123620108701289,5.560821439139545,2.911543006077409
3,1491,Alejandro Gomez,24,1515,3,3.1020293487235904,2,3.4124406408518553,41,34,0,1,F M S,Atalanta,3,3.1020293487235904,6.550938973203301,2.951842999085784
4,3928,Richmond Boakye,19,774,3,2.0661533921957016,0,0.15293669421225786,16,5,3,1,F M S,Atalanta,3,2.0661533921957016,3.0392551496624947,0.8581385733559728
5,1182,Daniele Baselli,22,1286,2,2.2907420806586742,2,1.3257531942799687,25,12,6,0,M S,Atalanta,2,2.2907420806586742,4.243394709192216,0.8662515766918659
6,1556,Guglielmo Stendardo,24,2091,2,3.1658672373741865,0,0.7111795977689326,12,2,5,0,D S,Atalanta,2,3.1658672373741865,2.731782122515142,1.9024191414937377
7,3909,Giuseppe Biava,18,1549,2,1.0735046807676554,0,0.0,7,0,4,1,D,Atalanta,2,1.0735046807676554,1.59880973957479,1.4909429233521223
8,974,Yohan Benalouane,27,2189,1,0.6814719857648015,0,0.07725894823670387,16,2,12,1,D S,Atalanta,1,0.6814719857648015,2.26378495618701,2.107672844082117
9,1503,Giulio Migliaccio,20,1149,1,0.5958955567330122,0,0.12916670367121696,10,2,8,0,M S,Atalanta,1,0.5958955567330122,1.154477532953024,0.7558639794588089
10,1985,Marcelo Estigarribia,9,633,1,0.9714954625815153,0,0.6320567168295383,14,3,1,0,M S,Atalanta,1,0.9714954625815153,2.002704605460167,0.595805024728179
11,1238,Luca Cigarini,33,2687,0,1.4943691911175847,3,2.965007269755006,43,59,10,1,M S,Atalanta,0,1.4943691911175847,11.360568005591631,9.366724980995059
12,1485,Andrea Masiello,14,1103,0,0.11554162204265594,0,0.20380786713212729,1,5,3,0,D M S,Atalanta,0,0.11554162204265594,2.4984084274619818,2.286579741165042
13,1490,Boukary Dramé,29,2425,0,0.5753262252546847,3,1.9058852028101683,20,16,7,0,D M S,Atalanta,0,0.5753262252546847,4.209262749180198,3.2757153306156397
14,1499,Cristian Raimondi,6,312,0,0.06758761405944824,2,0.7423077262938023,2,3,1,0,M S,Atalanta,0,0.06758761405944824,1.3679558709263802,0.6527434960007668
15,1500,Leonardo Spinazzola,2,40,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0,0.0,0.0
16,1501,Marco Sportiello,37,3330,0,0.0,0,0.042632805183529854,0,2,4,0,GK,Atalanta,0,0.0,1.7193229235708714,1.6766901183873415
17,1502,Marco D&#039;Alessandro,25,969,0,0.9926361897960305,1,1.0467103496193886,11,7,6,0,F M S,Atalanta,0,0.9926361897960305,3.1108468687161803,1.2781139891594648
18,1504,Alberto Grassi,3,201,0,0.045321887359023094,0,0.04040725529193878,2,1,0,0,M S,Atalanta,0,0.045321887359023094,0.6951633095741272,0.6498414278030396
19,1557,Carlos Carmona,33,2813,0,0.7952743107452989,0,0.8465123008936644,20,20,12,1,F M S,Atalanta,0,0.7952743107452989,5.928865808062255,5.04460328258574
20,1610,Nicolò Cherubin,13,1011,0,0.5177969895303249,0,0.02688717097043991,3,1,0,0,D S,Atalanta,0,0.5177969895303249,0.7094004433602095,0.6825132723897696
21,1983,Gianpaolo Bellini,15,1284,0,0.13755477033555508,0,0.2814702866598964,5,6,2,1,D,Atalanta,0,0.13755477033555508,1.7142821261659265,1.558812003582716
22,3906,Rolando Bianchi,21,566,0,2.04139075987041,0,0.6739247739315033,26,10,1,0,F S,Atalanta,0,2.04139075987041,2.71971139870584,0.30063279578462243
23,3907,Giorgio Frezzolini,1,32,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0,0.05051722005009651,0.05051722005009651
24,3908,Lorenzo Rosseti,1,43,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0,0.0,0.0
25,3910,Cristiano Del Grosso,13,718,0,0.12179991416633129,1,0.6592269446700811,3,7,0,0,D S,Atalanta,0,0.12179991416633129,2.184954419732094,2.029598029330373
26,3929,Lionel Scaloni,3,127,0,0.023502519354224205,0,0.0971948429942131,2,2,0,0,D S,Atalanta,0,0.023502519354224205,0.1351803233847022,0.014482959173619747
27,3931,Vlada Avramov,1,57,0,0.0,0,0.0,0,0,0,1,GK,Atalanta,0,0.0,0.05072985216975212,0.05072985216975212
28,3989,Salvatore Molina,4,176,0,0.08158133178949356,0,0.08368928730487823,2,3,1,0,M S,Atalanta,0,0.08158133178949356,0.15076497942209244,0.01524919643998146
