,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,3848,Carlos Tévez,32,2594,20,13.372144434601068,7,5.016579711809754,114,61,6,0,F M S,Juventus,18,10.327028889209032,20.007632218301296,8.90753672271967
1,1740,Paul Pogba,26,2110,8,4.495958996936679,3,3.842502973973751,56,37,4,0,M S,Juventus,8,4.495958996936679,13.784531138837337,7.027708617970347
2,1804,Álvaro Morata,29,1309,8,5.009029731154442,5,1.8117073997855186,51,19,6,1,F S,Juventus,8,5.009029731154442,8.702469807118177,2.4549084026366472
3,222,Arturo Vidal,28,2094,7,6.3325151624158025,4,3.844552844762802,53,37,7,0,M S,Juventus,5,4.048618701286614,12.663057623431087,7.854537315666676
4,1728,Fernando Llorente,31,1969,7,7.351269781589508,1,1.1787963593378663,49,23,0,0,F S,Juventus,7,7.351269781589508,11.054896329529583,5.162516835145652
5,1723,Roberto Pereyra,35,2282,4,3.5207453053444624,3,3.643728063441813,31,43,2,0,D M S,Juventus,4,3.5207453053444624,12.153282443061471,6.7455504182726145
6,3847,Andrea Pirlo,20,1619,4,1.2376452144235373,5,5.3923992626369,25,44,0,0,M S,Juventus,4,1.2376452144235373,7.740312993526459,6.091900870203972
7,1287,Leonardo Bonucci,34,3013,3,1.574202842079103,0,1.0706108156591654,25,10,8,0,D S,Juventus,3,1.574202842079103,10.467808770015836,10.110411521047354
8,1300,Claudio Marchisio,35,2868,3,4.285206330940127,6,3.2261499110609293,51,49,9,0,M S,Juventus,2,3.52390749566257,14.930751632899046,10.60127242654562
9,1303,Stephan Lichtsteiner,32,2448,3,2.0754164066165686,5,3.6611581705510616,21,24,8,1,D S,Juventus,3,2.0754164066165686,10.487205788493156,7.652455508708954
10,1171,Simone Pepe,12,214,1,0.9671990498900414,1,0.3132628444582224,3,7,0,1,F S,Juventus,0,0.20590021461248398,0.8464801777154207,0.4401294607669115
11,1298,Patrice Evra,21,1803,1,1.8217325825244188,2,2.144899485632777,10,27,4,0,D M,Juventus,1,1.8217325825244188,8.329672580584884,5.823189157992601
12,1942,Martín Cáceres,10,793,1,1.3284132778644562,0,0.5417370498180389,8,4,1,0,D,Juventus,1,1.3284132778644562,2.4192981719970703,1.7692689448595047
13,226,Kingsley Coman,14,486,0,0.6516047269105911,2,1.0211018472909927,13,5,0,0,F S,Juventus,0,0.6516047269105911,2.6882962249219418,1.6483825631439686
14,528,Angelo Ogbonna,25,1748,0,0.9294032454490662,0,0.11780566535890102,11,4,4,0,D S,Juventus,0,0.9294032454490662,5.7511670757085085,5.6550130266696215
15,1285,Gianluigi Buffon,33,2970,0,0.0,0,0.0,0,0,0,0,GK,Juventus,0,0.0,4.51677131280303,4.51677131280303
16,1286,Andrea Barzagli,10,770,0,0.0,0,0.04886873811483383,0,2,2,0,D S,Juventus,0,0.0,2.046376209706068,2.046376209706068
17,1396,Marco Storari,5,450,0,0.0,0,0.0,0,0,0,0,GK,Juventus,0,0.0,0.21791395358741283,0.21791395358741283
18,1403,Simone Padoin,25,1336,0,0.2665321920067072,4,1.7744454629719257,8,19,2,1,D M S,Juventus,0,0.2665321920067072,5.257068675011396,4.523040484637022
19,1576,Giorgio Chiellini,28,2447,0,1.3960519470274448,1,0.8428824041038752,20,12,7,0,D S,Juventus,0,1.3960519470274448,8.653539441525936,8.382515527307987
20,1587,Kwadwo Asamoah,7,622,0,0.1592638771981001,0,0.514187078922987,6,11,2,0,D,Juventus,0,0.1592638771981001,1.918294332921505,1.5082114525139332
21,1849,Rômulo,4,274,0,0.0656050443649292,0,0.08159087970852852,3,2,0,0,D M S,Juventus,0,0.0656050443649292,0.6466784439980984,0.5408600773662329
22,1941,Mattia Vitale,2,24,0,0.013423812575638294,0,0.0,1,0,0,0,S,Juventus,0,0.013423812575638294,0.0,0.0
23,3985,Sebastian Giovinco,7,186,0,0.9323795530945063,0,0.4313735645264387,20,5,0,0,F S,Juventus,0,0.9323795530945063,1.244849257171154,0.4346269443631172
