,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1513,Mauro Icardi,29,2266,11,15.226494329050183,4,3.9040711726993322,74,34,0,0,F S,Inter,6,10.658861765637994,15.77518942207098,2.46586611866951
1,448,Ivan Perisic,34,2714,8,10.416363582015038,3,6.945044007152319,99,58,5,0,F M S,Inter,6,8.893805839121342,20.1699892655015,7.5288591757416725
2,1251,Radja Nainggolan,29,1967,6,3.7815895956009626,3,3.624686736613512,71,41,3,0,M S,Inter,6,3.7815895956009626,13.268210601061583,7.422953467816114
3,7006,Lautaro Martínez,27,1327,6,8.02005267329514,2,2.7824807949364185,65,21,4,0,F M S,Inter,5,7.258753838017583,8.111923228949308,0.5353266857564449
4,1210,Keita,24,869,5,4.3492254707962275,2,2.748464332893491,30,22,1,1,F M S,Inter,5,4.3492254707962275,8.042053610086441,2.411541648209095
5,1473,Matteo Politano,36,2594,5,4.933019591495395,6,6.264439100399613,79,66,4,1,F M S,Inter,5,4.933019591495395,17.373103277757764,9.618463784456253
6,1496,Roberto Gagliardini,19,1087,5,3.0359138511121273,0,0.9773517996072769,25,14,4,0,M S,Inter,5,3.0359138511121273,8.381582520902157,5.633938789367676
7,1423,Matías Vecino,30,2027,3,6.3166843531653285,1,1.67653938382864,44,20,8,0,M S,Inter,3,6.3166843531653285,11.544991161674261,5.089736093766987
8,1511,Marcelo Brozovic,32,2662,2,0.7836583042517304,1,4.176750275306404,25,52,10,1,M S,Inter,2,0.7836583042517304,15.760504826903343,14.115926902741194
9,1523,Danilo D&#039;Ambrosio,30,2582,2,2.1543506719172,5,5.7042403081431985,16,34,6,0,D M S,Inter,2,2.1543506719172,14.445313038304448,10.01206873357296
10,1541,Stefan de Vrij,28,2520,2,2.2805116958916187,0,0.5592417344450951,18,6,2,0,D,Inter,2,2.2805116958916187,9.020942337810993,8.662095146253705
11,1512,João Mário,20,1081,1,1.1253598593175411,2,1.8842777851969004,16,18,2,0,M S,Inter,1,1.1253598593175411,6.405341504141688,4.276856929063797
12,1517,Antonio Candreva,18,480,1,1.9465072080492973,0,1.170384045690298,21,17,0,0,M S,Inter,1,1.9465072080492973,3.9600223898887634,1.3751360066235065
13,847,Cédric Soares,4,261,0,0.1598346820101142,1,0.38360973820090294,4,6,0,0,D S,Inter,0,0.1598346820101142,0.9363731443881989,0.718633234500885
14,1223,Milan Skriniar,35,3150,0,1.5551718771457672,1,0.27299176156520844,15,8,4,0,D,Inter,0,1.5551718771457672,10.352698788046837,10.169621426612139
15,1422,Borja Valero,27,1215,0,0.469620312564075,1,1.1871468061581254,12,20,4,0,M S,Inter,0,0.469620312564075,7.158597387373447,5.884300302714109
16,1505,Samir Handanovic,38,3420,0,0.0,0,0.0,0,0,0,0,GK,Inter,0,0.0,4.684540206566453,4.684540206566453
17,1507,Miranda,14,1172,0,0.22687163297086954,0,0.09435059316456318,4,2,3,0,D,Inter,0,0.22687163297086954,3.3495253017172217,3.3253453793004155
18,1522,Andrea Ranocchia,4,51,0,0.10337916761636734,0,0.0,2,0,1,0,S,Inter,0,0.10337916761636734,0.17864206805825233,0.07526290416717529
19,1587,Kwadwo Asamoah,32,2672,0,0.15552971325814724,1,1.8259168900549412,9,32,6,0,D M S,Inter,0,0.15552971325814724,13.523964568972588,12.82976247370243
20,1951,Sime Vrsaljko,10,725,0,0.02542737126350403,2,0.9736906066536903,2,16,2,0,D S,Inter,0,0.02542737126350403,2.6037168353796005,2.3308762405067682
21,5699,Dalbert,11,779,0,0.15171152167022228,1,1.062684040516615,6,10,2,0,D M S,Inter,0,0.15171152167022228,1.982483223080635,1.1803708504885435
22,5700,Yann Karamoh,1,4,0,0.0,0,0.0,0,0,0,0,S,Inter,0,0.0,0.0,0.0
