,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,317,Henrikh Mkhitaryan,34,2752,13,12.416660388931632,10,8.947878846898675,82,48,2,0,F M S,Roma,12,11.655361553654075,28.58623880520463,10.100943650119007
1,677,Jordan Veretout,29,2086,10,8.361263925209641,2,2.954237300902605,40,26,4,0,M S,Roma,5,4.554849689826369,16.5583109613508,11.905252249911427
2,2252,Borja Mayoral,31,1544,10,7.814331233501434,2,2.1106688687577844,39,23,1,0,F M S,Roma,10,7.814331233501434,11.527099151164293,3.751207247376442
3,1253,Edin Dzeko,27,1838,7,14.253509394824505,3,2.3740067668259144,70,29,2,0,F S,Roma,7,13.492210559546947,17.41826543956995,5.702214466407895
4,1471,Lorenzo Pellegrini,34,2623,7,6.706333101727068,6,7.675146299414337,70,65,10,0,M S,Roma,6,5.945034273900092,17.720130121335387,9.433373734354973
5,687,Pedro,27,1607,5,4.9878731360659,2,3.3779399590566754,43,28,3,1,M S,Roma,5,4.9878731360659,12.265264885500073,5.15206715837121
6,6159,Gianluca Mancini,33,2857,4,2.6674899412319064,2,1.0118546895682812,28,8,10,0,D,Roma,4,2.6674899412319064,11.487869089469314,10.009989658370614
7,1500,Leonardo Spinazzola,27,2137,2,2.179633273743093,4,6.562453709542751,22,37,0,0,D S,Roma,2,2.179633273743093,14.653724893927574,6.960796166211367
8,7609,Carles Pérez,21,742,2,2.882694583386183,1,1.297594465315342,23,15,0,0,F M S,Roma,2,2.882694583386183,5.875422216951847,2.4600910376757383
9,1000,Federico Fazio,6,409,1,0.07194986566901207,0,0.04167122766375542,3,1,2,0,D S,Roma,1,0.07194986566901207,1.0176696926355362,1.0176696926355362
10,1168,Bryan Cristante,34,2142,1,2.3669058568775654,3,1.7371884286403656,28,16,8,0,D M S,Roma,1,2.3669058568775654,12.023615354672074,8.874588349834085
11,1252,Stephan El Shaarawy,10,564,1,1.4402228649705648,1,1.202181026339531,16,17,1,0,M S,Roma,1,1.4402228649705648,4.652149245142937,2.196976277977228
12,1380,Amadou Diawara,18,646,1,0.929735267534852,0,0.2854788601398468,7,1,2,1,M S,Roma,1,0.929735267534852,3.4258931167423725,2.4961578585207462
13,1567,Bruno Peres,30,1402,1,1.2477688398212194,2,4.322922240942717,12,28,6,0,D M S,Roma,1,1.2477688398212194,9.766240675002337,6.725258586928248
14,6324,Marash Kumbulla,21,1368,1,0.8511868631467223,0,0.4616057686507702,6,4,8,0,D S,Roma,1,0.8511868631467223,5.459870772436261,5.023548753932118
15,6362,Rick Karsdorp,34,2552,1,1.177090554498136,6,5.349185362458229,13,26,2,0,D S,Roma,1,1.177090554498136,15.11866688169539,10.560319004580379
16,628,Chris Smalling,16,1102,0,0.29585896246135235,1,0.8814984560012817,7,2,3,0,D S,Roma,0,0.29585896246135235,5.433423707261682,5.433423707261682
17,1247,Juan Jesus,5,150,0,0.0,0,0.0,0,0,0,0,S,Roma,0,0.0,0.836048174649477,0.836048174649477
18,1509,Davide Santon,10,592,0,0.4958645226433873,1,0.8581854552030563,5,5,3,0,D S,Roma,0,0.4958645226433873,2.912957638502121,2.091586194932461
19,1609,Antonio Mirante,13,1156,0,0.0,0,0.0,0,0,2,0,GK,Roma,0,0.0,2.0341626359149814,2.0341626359149814
20,2107,Pau López,21,1814,0,0.0,0,0.0,0,0,0,0,GK S,Roma,0,0.0,4.276221718639135,4.276221718639135
21,3295,Javier Pastore,5,72,0,0.0,0,0.7418195027858019,0,4,0,0,S,Roma,0,0.0,1.2081757364794612,0.8192477822303772
22,6750,Gonzalo Villar,33,1855,0,0.5370637271553278,1,0.6603218428790569,10,8,7,0,M S,Roma,0,0.5370637271553278,10.297204611822963,9.287175102159381
23,6963,Justin Kluivert,2,15,0,0.01350140105932951,0,0.0,1,0,0,0,S,Roma,0,0.01350140105932951,0.0,0.0
24,6966,Daniel Fuzato,5,450,0,0.0,0,0.0,0,0,0,0,GK,Roma,0,0.0,0.3482413422316313,0.3482413422316313
25,7413,Ibañez,30,2405,0,1.1106231408193707,1,1.7421254198998213,16,13,5,1,D S,Roma,0,1.1106231408193707,12.241901158355176,11.537582985125482
26,8129,Riccardo Calafiori,3,66,0,0.0,0,0.0,0,0,2,0,D S,Roma,0,0.0,0.041447654366493225,0.041447654366493225
27,8130,Ebrima Darboe,5,330,0,0.0693195229396224,0,0.03096870705485344,3,2,2,0,M S,Roma,0,0.0693195229396224,0.8956254823133349,0.8405710412189364
28,9036,Nicola Zalewski,1,8,0,0.0,1,0.07754980772733688,0,1,0,0,S,Roma,0,0.0,0.07754980772733688,0.0
29,9419,Bryan Reynolds,5,283,0,0.0,0,0.026818810030817986,0,1,0,0,D S,Roma,0,0.0,0.9330737292766571,0.906254917383194
30,9518,Edoardo Bove,1,8,0,0.0,0,0.0,0,0,0,0,S,Roma,0,0.0,0.07754980772733688,0.07754980772733688
