,match_id,home_team_id,home_team,home_short_title,away_team_id,away_team,away_short_title,home_goals,away_goals,datetime
0,12403,117,Bayern Munich,BAY,122,Hertha Berlin,HER,2,2,2019-08-16 19:30:00
1,12404,123,Werder Bremen,WER,233,Fortuna Duesseldorf,FOR,1,3,2019-08-17 14:30:00
2,12405,135,Freiburg,FRE,125,Mainz 05,MAI,3,0,2019-08-17 14:30:00
3,12406,129,Borussia Dortmund,DOR,121,Augsburg,AUG,5,1,2019-08-17 14:30:00
4,12407,119,Bayer Leverkusen,LEV,205,Paderborn,PAD,3,2,2019-08-17 14:30:00
5,12408,131,Wolfsburg,WOL,134,FC Cologne,COL,2,1,2019-08-17 14:30:00
6,12409,130,Borussia M.Gladbach,BMG,124,Schalke 04,SCH,0,0,2019-08-17 17:30:00
7,12410,132,Eintracht Frankfurt,EIN,120,Hoffenheim,HOF,1,0,2019-08-18 14:30:00
8,12411,240,Union Berlin,UNI,136,RasenBallsport Leipzig,RBL,0,4,2019-08-18 17:00:00
9,12412,134,FC Cologne,COL,129,Borussia Dortmund,DOR,1,3,2019-08-23 19:30:00
10,12413,205,Paderborn,PAD,135,Freiburg,FRE,1,3,2019-08-24 14:30:00
11,12414,120,Hoffenheim,HOF,123,Werder Bremen,WER,3,2,2019-08-24 14:30:00
12,12415,233,Fortuna Duesseldorf,FOR,119,Bayer Leverkusen,LEV,1,3,2019-08-24 14:30:00
13,12416,125,Mainz 05,MAI,130,Borussia M.Gladbach,BMG,1,3,2019-08-24 14:30:00
14,12417,121,Augsburg,AUG,240,Union Berlin,UNI,1,1,2019-08-24 14:30:00
15,12418,124,Schalke 04,SCH,117,Bayern Munich,BAY,0,3,2019-08-24 17:30:00
16,12419,136,RasenBallsport Leipzig,RBL,132,Eintracht Frankfurt,EIN,2,1,2019-08-25 14:30:00
17,12420,122,Hertha Berlin,HER,131,Wolfsburg,WOL,0,3,2019-08-25 17:00:00
18,12421,130,Borussia M.Gladbach,BMG,136,RasenBallsport Leipzig,RBL,1,3,2019-08-30 19:30:00
19,12422,131,Wolfsburg,WOL,205,Paderborn,PAD,1,1,2019-08-31 14:30:00
20,12423,135,Freiburg,FRE,134,FC Cologne,COL,1,2,2019-08-31 14:30:00
21,12424,124,Schalke 04,SCH,122,Hertha Berlin,HER,3,0,2019-08-31 14:30:00
22,12425,117,Bayern Munich,BAY,125,Mainz 05,MAI,6,1,2019-08-31 14:30:00
23,12426,119,Bayer Leverkusen,LEV,120,Hoffenheim,HOF,0,0,2019-08-31 14:30:00
24,12427,240,Union Berlin,UNI,129,Borussia Dortmund,DOR,3,1,2019-08-31 17:30:00
25,12428,123,Werder Bremen,WER,121,Augsburg,AUG,3,2,2019-09-01 14:30:00
26,12429,132,Eintracht Frankfurt,EIN,233,Fortuna Duesseldorf,FOR,2,1,2019-09-01 17:00:00
27,12430,233,Fortuna Duesseldorf,FOR,131,Wolfsburg,WOL,1,1,2019-09-13 18:30:00
28,12431,125,Mainz 05,MAI,122,Hertha Berlin,HER,2,1,2019-09-14 13:30:00
29,12432,121,Augsburg,AUG,132,Eintracht Frankfurt,EIN,2,1,2019-09-14 13:30:00
30,12433,134,FC Cologne,COL,130,Borussia M.Gladbach,BMG,0,1,2019-09-14 13:30:00
31,12434,240,Union Berlin,UNI,123,Werder Bremen,WER,1,2,2019-09-14 13:30:00
