,match_id,home_team_id,home_team,home_short_title,away_team_id,away_team,away_short_title,home_goals,away_goals,datetime
0,9197,89,Manchester United,MUN,75,Leicester,LEI,2,1,2018-08-10 22:00:00
1,9198,86,Newcastle United,NEW,82,Tottenham,TOT,1,2,2018-08-11 14:30:00
2,9199,90,Watford,WAT,220,Brighton,BRI,2,0,2018-08-11 17:00:00
3,9200,219,Huddersfield,HUD,80,Chelsea,CHE,0,3,2018-08-11 17:00:00
4,9201,228,Fulham,FLH,78,Crystal Palace,CRY,0,2,2018-08-11 17:00:00
5,9202,73,Bournemouth,BOU,227,Cardiff,CAR,2,0,2018-08-11 17:00:00
6,9203,229,Wolverhampton Wanderers,WOL,72,Everton,EVE,2,2,2018-08-11 19:30:00
7,9204,74,Southampton,SOU,92,Burnley,BUR,0,0,2018-08-12 15:30:00
8,9205,87,Liverpool,LIV,81,West Ham,WHU,4,0,2018-08-12 15:30:00
9,9206,83,Arsenal,ARS,88,Manchester City,MCI,0,2,2018-08-12 18:00:00
10,9207,227,Cardiff,CAR,86,Newcastle United,NEW,0,0,2018-08-18 14:30:00
11,9208,81,West Ham,WHU,73,Bournemouth,BOU,1,2,2018-08-18 17:00:00
12,9209,82,Tottenham,TOT,228,Fulham,FLH,3,1,2018-08-18 17:00:00
13,9210,75,Leicester,LEI,229,Wolverhampton Wanderers,WOL,2,0,2018-08-18 17:00:00
14,9211,72,Everton,EVE,74,Southampton,SOU,2,1,2018-08-18 17:00:00
15,9212,80,Chelsea,CHE,83,Arsenal,ARS,3,2,2018-08-18 19:30:00
16,9213,88,Manchester City,MCI,219,Huddersfield,HUD,6,1,2018-08-19 15:30:00
17,9214,92,Burnley,BUR,90,Watford,WAT,1,3,2018-08-19 15:30:00
18,9215,220,Brighton,BRI,89,Manchester United,MUN,3,2,2018-08-19 18:00:00
19,9216,78,Crystal Palace,CRY,87,Liverpool,LIV,0,2,2018-08-20 22:00:00
20,9217,229,Wolverhampton Wanderers,WOL,88,Manchester City,MCI,1,1,2018-08-25 14:30:00
21,9218,74,Southampton,SOU,75,Leicester,LEI,1,2,2018-08-25 17:00:00
22,9219,219,Huddersfield,HUD,227,Cardiff,CAR,0,0,2018-08-25 17:00:00
23,9220,228,Fulham,FLH,92,Burnley,BUR,4,2,2018-08-25 17:00:00
24,9221,73,Bournemouth,BOU,72,Everton,EVE,2,2,2018-08-25 17:00:00
25,9222,83,Arsenal,ARS,81,West Ham,WHU,3,1,2018-08-25 17:00:00
26,9223,87,Liverpool,LIV,220,Brighton,BRI,1,0,2018-08-25 19:30:00
27,9224,90,Watford,WAT,78,Crystal Palace,CRY,2,1,2018-08-26 15:30:00
28,9225,86,Newcastle United,NEW,80,Chelsea,CHE,1,2,2018-08-26 18:00:00
29,9226,89,Manchester United,MUN,82,Tottenham,TOT,0,3,2018-08-27 22:00:00
30,9227,75,Leicester,LEI,87,Liverpool,LIV,1,2,2018-09-01 11:30:00
31,9228,81,West Ham,WHU,229,Wolverhampton Wanderers,WOL,0,1,2018-09-01 14:00:00
32,9229,72,Everton,EVE,219,Huddersfield,HUD,1,1,2018-09-01 14:00:00
33,9230,78,Crystal Palace,CRY,74,Southampton,SOU,0,2,2018-09-01 14:00:00
34,9231,80,Chelsea,CHE,73,Bournemouth,BOU,2,0,2018-09-01 14:00:00
35,9233,220,Brighton,BRI,228,Fulham,FLH,2,2,2018-09-01 14:00:00
36,9234,88,Manchester City,MCI,86,Newcastle United,NEW,2,1,2018-09-01 16:30:00
37,9235,227,Cardiff,CAR,83,Arsenal,ARS,2,3,2018-09-02 12:30:00
38,9232,92,Burnley,BUR,89,Manchester United,MUN,0,2,2018-09-02 15:00:00
39,9236,90,Watford,WAT,82,Tottenham,TOT,2,1,2018-09-02 15:00:00
40,9237,82,Tottenham,TOT,87,Liverpool,LIV,1,2,2018-09-15 11:30:00
41,9238,86,Newcastle United,NEW,83,Arsenal,ARS,1,2,2018-09-15 14:00:00
42,9239,88,Manchester City,MCI,228,Fulham,FLH,3,0,2018-09-15 14:00:00
43,9240,219,Huddersfield,HUD,78,Crystal Palace,CRY,0,1,2018-09-15 14:00:00
44,9241,80,Chelsea,CHE,227,Cardiff,CAR,4,1,2018-09-15 14:00:00
45,9242,73,Bournemouth,BOU,75,Leicester,LEI,4,2,2018-09-15 14:00:00
46,9243,90,Watford,WAT,89,Manchester United,MUN,1,2,2018-09-15 16:30:00
47,9244,229,Wolverhampton Wanderers,WOL,92,Burnley,BUR,1,0,2018-09-16 12:30:00
48,9245,72,Everton,EVE,81,West Ham,WHU,1,3,2018-09-16 15:00:00
49,9246,74,Southampton,SOU,220,Brighton,BRI,2,2,2018-09-17 19:00:00
50,9247,228,Fulham,FLH,90,Watford,WAT,1,1,2018-09-22 11:30:00
51,9248,89,Manchester United,MUN,229,Wolverhampton Wanderers,WOL,1,1,2018-09-22 14:00:00
52,9249,87,Liverpool,LIV,74,Southampton,SOU,3,0,2018-09-22 14:00:00
53,9250,75,Leicester,LEI,219,Huddersfield,HUD,3,1,2018-09-22 14:00:00
54,9251,78,Crystal Palace,CRY,86,Newcastle United,NEW,0,0,2018-09-22 14:00:00
55,9252,227,Cardiff,CAR,88,Manchester City,MCI,0,5,2018-09-22 14:00:00
56,9253,92,Burnley,BUR,73,Bournemouth,BOU,4,0,2018-09-22 14:00:00
57,9254,220,Brighton,BRI,82,Tottenham,TOT,1,2,2018-09-22 16:30:00
58,9255,81,West Ham,WHU,80,Chelsea,CHE,0,0,2018-09-23 12:30:00
59,9256,83,Arsenal,ARS,72,Everton,EVE,2,0,2018-09-23 15:00:00
60,9257,81,West Ham,WHU,89,Manchester United,MUN,3,1,2018-09-29 11:30:00
61,9258,229,Wolverhampton Wanderers,WOL,74,Southampton,SOU,2,0,2018-09-29 14:00:00
62,9259,86,Newcastle United,NEW,75,Leicester,LEI,0,2,2018-09-29 14:00:00
63,9260,88,Manchester City,MCI,220,Brighton,BRI,2,0,2018-09-29 14:00:00
64,9261,219,Huddersfield,HUD,82,Tottenham,TOT,0,2,2018-09-29 14:00:00
65,9262,72,Everton,EVE,228,Fulham,FLH,3,0,2018-09-29 14:00:00
66,9263,83,Arsenal,ARS,90,Watford,WAT,2,0,2018-09-29 14:00:00
67,9264,80,Chelsea,CHE,87,Liverpool,LIV,1,1,2018-09-29 16:30:00
68,9265,227,Cardiff,CAR,92,Burnley,BUR,1,2,2018-09-30 15:00:00
69,9266,73,Bournemouth,BOU,78,Crystal Palace,CRY,2,1,2018-10-01 19:00:00
70,9267,220,Brighton,BRI,81,West Ham,WHU,1,0,2018-10-05 19:00:00
71,9268,90,Watford,WAT,73,Bournemouth,BOU,0,4,2018-10-06 14:00:00
72,9269,82,Tottenham,TOT,227,Cardiff,CAR,1,0,2018-10-06 14:00:00
73,9270,75,Leicester,LEI,72,Everton,EVE,1,2,2018-10-06 14:00:00
74,9271,78,Crystal Palace,CRY,229,Wolverhampton Wanderers,WOL,0,1,2018-10-06 14:00:00
75,9272,92,Burnley,BUR,219,Huddersfield,HUD,1,1,2018-10-06 14:00:00
76,9273,89,Manchester United,MUN,86,Newcastle United,NEW,3,2,2018-10-06 16:30:00
77,9274,228,Fulham,FLH,83,Arsenal,ARS,1,5,2018-10-07 11:00:00
78,9275,74,Southampton,SOU,80,Chelsea,CHE,0,3,2018-10-07 13:15:00
79,9276,87,Liverpool,LIV,88,Manchester City,MCI,0,0,2018-10-07 15:30:00
