,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,7052,Wout Weghorst,32,2736,16,17.83846941590309,3,2.214334961026907,85,37,7,0,F S,Wolfsburg,12,14.807362675666809,19.15777320973575,5.003612424246967
1,6484,Renato Steffen,27,1600,6,4.3634232534095645,3,2.7849962189793587,29,25,6,0,D F M S,Wolfsburg,6,4.3634232534095645,9.012081660330296,2.555260597728193
2,153,Maximilian Arnold,33,2832,4,2.4642348857596517,8,6.820206001400948,63,70,8,0,M S,Wolfsburg,4,2.4642348857596517,11.730276169255376,8.442995486781001
3,426,Daniel Ginczek,18,781,3,3.851689076051116,1,1.6783334538340569,24,9,2,0,F S,Wolfsburg,3,3.851689076051116,4.848445041105151,0.594645656645298
4,983,Kevin Mbabu,20,1694,3,1.8817790690809488,1,2.5992897525429726,11,16,4,0,D S,Wolfsburg,3,1.8817790690809488,4.8835627399384975,4.037628258578479
5,5353,Josip Brekalo,30,1671,3,3.577874501235783,4,5.028641683980823,42,48,0,0,F M S,Wolfsburg,3,3.577874501235783,10.957339857704937,4.1197422333061695
6,140,Yannick Gerhardt,18,800,2,2.1305192727595568,0,0.1140053290873766,11,6,1,0,M S,Wolfsburg,2,2.1305192727595568,3.926470453850925,2.2128909789025784
7,194,Admir Mehmedi,21,1206,2,1.5366617292165756,2,2.1668259520083666,22,19,0,0,F M S,Wolfsburg,2,1.5366617292165756,6.112824033945799,3.0693441154435277
8,7784,Joao Victor,32,1637,2,4.583161223679781,2,2.175634102895856,29,14,4,0,F M S,Wolfsburg,2,4.583161223679781,8.529213478788733,2.471169804222882
9,8303,Marin Pongracic,11,934,2,1.6641847994178534,0,0.0,5,0,4,1,D,Wolfsburg,2,1.6641847994178534,2.804443094879389,2.804443094879389
10,161,Robin Knoche,21,1592,1,0.29074857011437416,0,0.16730341874063015,4,3,2,0,D S,Wolfsburg,1,0.29074857011437416,3.7003890443593264,3.7003890443593264
11,3216,Marcel Tisserand,15,1210,1,0.8519802745431662,1,0.3287663571536541,8,4,6,1,D S,Wolfsburg,1,0.8519802745431662,3.681100729852915,3.4399720914661884
12,3339,Jérôme Roussillon,29,2376,1,1.0615823967382312,1,3.0398294776678085,19,24,4,0,D S,Wolfsburg,1,1.0615823967382312,9.557260263711214,6.062775742262602
13,6229,William,16,1366,1,1.559375336393714,1,2.063816783949733,18,15,0,0,D,Wolfsburg,1,1.559375336393714,5.262502891942859,2.2301803529262543
14,7783,Xaver Schlager,23,1736,1,1.2039785096421838,2,2.2944448236376047,32,15,4,0,F M S,Wolfsburg,1,1.2039785096421838,6.203220011666417,3.041422139853239
15,22,John Brooks,25,2229,0,0.9085673103109002,1,1.352223053574562,13,6,4,0,D,Wolfsburg,0,0.9085673103109002,4.3950790371745825,4.13206142000854
16,150,Josuha Guilavogui,25,2068,0,1.0062792114913464,1,0.9491915795952082,24,9,5,1,D M S,Wolfsburg,0,1.0062792114913464,5.899390392005444,5.091332962736487
17,159,Koen Casteels,26,2340,0,0.0,0,0.02429916150867939,0,1,1,0,GK,Wolfsburg,0,0.0,3.9164386279881,3.892139483243227
18,350,Felix Klaus,23,645,0,2.6142541337758303,1,1.5863904813304543,19,13,0,1,F M S,Wolfsburg,0,2.6142541337758303,3.724804730154574,0.2982863076031208
19,6544,Lukas Nmecha,6,123,0,0.3920065835118294,0,0.07229243218898773,3,1,1,0,M S,Wolfsburg,0,0.3920065835118294,0.5568708255887032,0.09257180243730545
20,7053,Pavao Pervan,8,720,0,0.0,0,0.0,0,0,0,0,GK,Wolfsburg,0,0.0,0.3070219671353698,0.3070219671353698
21,8213,Paulo Otávio,5,378,0,0.08456052280962467,1,0.7658964954316616,3,9,3,0,D S,Wolfsburg,0,0.08456052280962467,1.0537478737533092,0.4521960988640785
22,8335,Mamoudou Karamoko,1,7,0,0.0,0,0.0,0,0,0,0,S,Wolfsburg,0,0.0,0.10707006603479385,0.10707006603479385
23,8337,Luca Horn,1,3,0,0.0,0,0.0,0,0,0,0,S,Wolfsburg,0,0.0,0.0,0.0
24,8393,Omar Marmoush,5,68,0,0.06925973296165466,0,0.0,1,0,0,0,S,Wolfsburg,0,0.06925973296165466,0.32136592268943787,0.2521061897277832
