,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,2380,Paco Alcácer,34,2416,13,13.271327493712306,6,6.132375061511993,61,33,2,0,F S,Valencia,11,11.04149460606277,17.202759062871337,1.6027741804718971
1,2378,Daniel Parejo,33,2734,8,5.462408528663218,5,2.98513918556273,46,42,8,0,M S,Valencia,6,3.975981210358441,11.141478851437569,8.147273190319538
2,1715,Álvaro Negredo,25,1145,5,6.753436975181103,2,3.06495994143188,39,13,0,0,F S,Valencia,5,6.753436975181103,9.301999229937792,2.1841915771365166
3,2384,Santi Mina,26,1590,4,4.231060934253037,1,1.9545113099738955,25,10,2,0,F M S,Valencia,4,4.231060934253037,6.918539886362851,1.9937802907079458
4,2383,André Gomes,30,2384,3,2.848456421867013,3,3.292261785827577,42,27,10,0,F M S,Valencia,3,2.848456421867013,10.642662204802036,6.1096328645944595
5,1699,Shkodran Mustafi,30,2682,2,1.5376920802518725,0,1.1960311513394117,22,4,14,0,D,Valencia,2,1.5376920802518725,4.891991366632283,4.325277931988239
6,2381,Rodrigo,25,1356,2,4.6131651140749454,3,4.804004134610295,38,24,1,1,F M S,Valencia,2,4.6131651140749454,9.056256301701069,3.3204509653151035
7,1674,Sofiane Feghouli,21,1253,1,2.817996261641383,1,3.0190845280885696,22,26,4,0,F M S,Valencia,1,2.817996261641383,6.732119791209698,2.537852142006159
8,2379,João Cancelo,28,2118,1,1.3048887979239225,4,2.8525914065539837,9,16,5,1,D F M S,Valencia,1,1.3048887979239225,8.030382683500648,5.181581208482385
9,2538,Zakaria Bakkali,16,552,1,0.7182173654437065,3,2.3371054586023092,13,12,1,0,F M S,Valencia,1,0.7182173654437065,4.444215482100844,1.8866388071328402
10,1145,Rodrigo de Paul,9,523,0,0.7224585227668285,0,1.048664029687643,10,16,3,0,F M S,Valencia,0,0.7224585227668285,2.4577808678150177,0.9502922296524048
11,1706,Antonio Barragán,24,1666,0,0.0,0,0.3435968868434429,0,7,5,1,D S,Valencia,0,0.0,2.8290534000843763,2.721844730898738
12,2373,Diego Alves,13,1170,0,0.0,0,0.0,0,0,1,0,GK,Valencia,0,0.0,1.0916659720242023,1.0916659720242023
13,2374,Aymen Abdennour,22,1853,0,0.6529879774898291,0,0.169960742816329,6,4,4,0,D,Valencia,0,0.6529879774898291,2.625522956252098,2.5127897448837757
14,2376,Enzo Pérez,20,1272,0,0.17662846483290195,0,0.3456680057570338,6,9,10,0,M S,Valencia,0,0.17662846483290195,3.713896785862744,3.429935034364462
15,2377,Javi Fuego,26,2046,0,0.15624210983514786,0,0.7667001355439425,5,10,10,1,M S,Valencia,0,0.15624210983514786,6.250139968469739,5.433015987277031
16,2382,Pablo Piatti,21,787,0,1.6938292728736997,0,0.5714667364954948,10,10,3,0,F M S,Valencia,0,1.6938292728736997,3.362572966143489,1.562413789331913
17,2385,Mat Ryan,8,720,0,0.0,0,0.0,0,0,0,0,GK,Valencia,0,0.0,0.8481716848909855,0.8481716848909855
18,2386,Rúben Vezo,15,1083,0,0.1889185830950737,0,0.7201518230140209,3,3,2,0,D S,Valencia,0,0.1889185830950737,2.9521310701966286,2.9521310701966286
19,2387,Danilo,19,1368,0,1.0043185269460082,0,0.3351879809051752,15,8,4,0,M S,Valencia,0,1.0043185269460082,3.2462607361376286,2.6356507278978825
20,2474,Aderlan Santos,17,1520,0,0.9548511672765017,0,0.03346611186861992,7,1,0,1,D,Valencia,0,0.9548511672765017,1.6924705421552062,1.6348375780507922
21,2475,Jaume,17,1530,0,0.0,0,0.015487613156437874,0,1,0,0,GK,Valencia,0,0.0,0.8047925531864166,0.7893049400299788
22,2476,Sito,1,52,0,0.0,0,0.0,0,0,0,0,S,Valencia,0,0.0,0.0,0.0
23,2477,Tropi,1,1,0,0.0,0,0.0,0,0,0,0,S,Valencia,0,0.0,0.0,0.0
24,2505,José Gayá,20,1441,0,0.13771632686257362,0,1.1093922220170498,2,13,5,1,D S,Valencia,0,0.13771632686257362,4.1364611312747,3.3217079248279333
25,2531,Wilfried Zahibo,2,137,0,0.0,0,0.016247792169451714,0,1,1,0,M,Valencia,0,0.0,0.034257978200912476,0.018010186031460762
26,2569,Fran Villalba,1,3,0,0.0,0,0.0,0,0,1,0,S,Valencia,0,0.0,0.0,0.0
