,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,2270,Antoine Griezmann,32,2532,19,14.592848546802998,9,5.752700959332287,72,43,7,1,F M S,Atletico Madrid,17,13.106293395161629,21.754963669925928,5.343912543728948
1,2275,Ángel Correa,37,2272,8,6.359491549432278,4,3.075539894402027,46,29,4,1,F M S,Atletico Madrid,8,6.359491549432278,14.511825988069177,5.574110331013799
2,2442,Kevin Gameiro,25,1115,7,5.253567669540644,2,1.4968363232910633,20,9,0,0,F S,Atletico Madrid,5,3.767012406140566,5.9714944660663605,1.5021019391715527
3,2271,Fernando Torres,27,959,5,5.059410868212581,0,0.38529063761234283,30,5,2,0,F S,Atletico Madrid,5,4.3161332141608,4.607314111664891,1.034770678728819
4,2269,Koke,35,2765,4,2.606789822690189,4,6.05046945810318,29,51,3,0,F M S,Atletico Madrid,4,2.606789822690189,14.21559989452362,8.605904512107372
5,802,Diego Costa,15,1051,3,3.701810747385025,3,2.2465503364801407,25,13,6,1,F S,Atletico Madrid,3,3.701810747385025,6.159924723207951,0.6893147341907024
6,2272,Yannick Carrasco,17,894,3,2.4963008668273687,4,2.722844799980521,25,17,3,0,D M S,Atletico Madrid,3,2.4963008668273687,5.760898425243795,1.3277418399229646
7,2328,Thomas Partey,33,2386,3,1.6632764069363475,0,0.5010588150471449,22,12,6,0,D M S,Atletico Madrid,3,1.6632764069363475,8.082059158012271,6.600868005305529
8,2266,Saúl Ñíguez,36,3157,2,2.5630453815683722,3,3.22419723123312,53,21,9,0,D M S,Atletico Madrid,2,2.5630453815683722,10.575795852579176,5.775104772299528
9,2265,Filipe Luis,20,1662,1,0.2604993460699916,2,2.189999295398593,5,19,4,0,D M S,Atletico Madrid,1,0.2604993460699916,5.561168534681201,3.94484849460423
10,2278,Giménez,23,1683,1,0.8161489618942142,1,0.7172720842063427,12,6,6,0,D S,Atletico Madrid,1,0.8161489618942142,2.6885802866891026,2.4993470571935177
11,1951,Sime Vrsaljko,21,1696,0,0.1645724605768919,4,2.8771134838461876,3,14,7,0,D M S,Atletico Madrid,0,0.1645724605768919,3.959583342075348,2.619656704366207
12,2261,Jan Oblak,37,3330,0,0.0,0,0.05515489727258682,0,2,1,0,GK,Atletico Madrid,0,0.0,2.9459414929151535,2.890786588191986
13,2262,Juanfran,17,1311,0,0.06813685782253742,1,1.766561446711421,3,7,3,0,D S,Atletico Madrid,0,0.06813685782253742,3.4758234415203333,1.773503227159381
14,2263,Stefan Savic,27,2298,0,0.20590750686824322,0,0.16584801115095615,3,3,6,0,D S,Atletico Madrid,0,0.20590750686824322,3.4732609633356333,3.3302817810326815
15,2264,Diego Godín,30,2552,0,1.1890348922461271,0,0.3744332892820239,13,6,6,0,D S,Atletico Madrid,0,1.1890348922461271,4.763408026657999,4.5974319111555815
16,2267,Augusto Fernández,5,105,0,0.020377229899168015,0,0.013904498890042305,1,1,1,0,M S,Atletico Madrid,0,0.020377229899168015,0.36740128323435783,0.3331195544451475
17,2268,Gabi,34,2344,0,0.29623043444007635,1,1.1397137138992548,10,22,8,0,M S,Atletico Madrid,0,0.29623043444007635,8.909163572825491,8.25576302036643
18,2276,Lucas Hernández,27,2117,0,0.3285054387524724,1,0.24812166579067707,7,6,6,1,D S,Atletico Madrid,0,0.3285054387524724,3.7365769213065505,3.612707599066198
19,5071,Nicolás Gaitán,6,214,0,0.5849003214389086,0,0.43998654931783676,7,5,0,0,M S,Atletico Madrid,0,0.5849003214389086,1.559147909283638,0.7532244026660919
20,5178,Antonio Moya,1,2,0,0.0,0,0.0,0,0,0,0,S,Atletico Madrid,0,0.0,0.0,0.0
21,6573,Axel Werner,1,90,0,0.0,0,0.0,0,0,0,0,GK,Atletico Madrid,0,0.0,0.05280962586402893,0.05280962586402893
22,6659,Carlos Isaac,1,64,0,0.024578822776675224,0,0.0,1,0,1,0,D,Atletico Madrid,0,0.024578822776675224,0.09780726581811905,0.07322844862937927
23,6720,Arona Sané,1,65,0,0.01875205710530281,0,0.0,1,0,0,0,S,Atletico Madrid,0,0.01875205710530281,0.01875205710530281,0.0
