,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1109,Lucas Ocampos,33,2775,14,12.395092755556107,3,3.778462126851082,85,24,8,1,F M S,Sevilla,9,8.678960492834449,15.106647791340947,5.2163168508559465
1,7887,Luuk de Jong,35,2057,6,10.174598336685449,1,3.2320884773507714,57,24,2,0,F S,Sevilla,6,10.174598336685449,12.996515901759267,2.9326722379773855
2,2106,Munir,21,1256,5,3.245517086237669,2,2.1097594927996397,43,17,1,0,F S,Sevilla,5,3.245517086237669,6.342883046716452,2.35483019053936
3,1520,Éver Banega,33,2495,3,3.0887584844604135,7,5.700682324822992,40,59,10,0,M S,Sevilla,1,1.6022032657638192,12.541004505008459,9.44396418146789
4,1836,Franco Vázquez,31,1043,3,1.7844137214124203,0,0.4179588910192251,16,9,5,0,F M S,Sevilla,3,1.7844137214124203,4.743063032627106,3.200643504038453
5,2424,Óliver Torres,28,1645,3,1.6018758285790682,3,2.634474366903305,16,21,5,0,F M S,Sevilla,3,1.6018758285790682,9.090410275384784,5.312583921477199
6,615,Fernando,34,2648,2,2.8275324776768684,3,0.45906863175332546,15,10,13,0,M S,Sevilla,2,2.8275324776768684,7.7766520865261555,7.06746953073889
7,2122,Joan Jordán,34,2307,2,2.2498843902722,2,3.4948610235005617,29,36,8,0,M S,Sevilla,2,2.2498843902722,8.09474303200841,5.10908817499876
8,5712,Diego Carlos,35,3138,2,2.022023127414286,0,0.5559673979878426,21,9,7,0,D,Sevilla,2,2.022023127414286,7.570887301117182,7.457900093868375
9,7187,Sergio Reguilón,31,2510,2,2.4599780421704054,4,4.095350135117769,28,40,8,0,D S,Sevilla,2,2.4599780421704054,11.071529658511281,6.411644030362368
10,191,Chicharito,9,452,1,3.143813914619386,0,0.11999892443418503,13,3,0,0,F S,Sevilla,1,3.143813914619386,3.363685142248869,0.15418926440179348
11,1129,Suso,17,781,1,0.952238317579031,1,1.8135482370853424,14,18,0,0,F M S,Sevilla,1,0.952238317579031,2.777831146493554,0.754996296018362
12,2064,Sergio Escudero,11,771,1,0.3359011057764292,0,0.6461948063224554,8,6,2,0,D S,Sevilla,1,0.3359011057764292,3.898719036951661,3.199218863621354
13,6433,Jules Koundé,29,2303,1,1.9440487623214722,1,0.3688607942312956,23,4,6,0,D S,Sevilla,1,1.9440487623214722,6.3954496728256345,5.913280074484646
14,616,Jesús Navas,38,3370,0,0.25456354208290577,7,8.177121456712484,11,62,4,0,D S,Sevilla,0,0.25456354208290577,16.593340273946524,10.799708269536495
15,2069,Daniel Carriço,11,849,0,1.0998364761471748,0,0.04876580089330673,6,1,3,0,D S,Sevilla,0,1.0998364761471748,1.743993815034628,1.6571690402925014
16,2282,Sergi Gómez,13,707,0,0.1765710450708866,0,0.019981177523732185,3,1,4,0,D S,Sevilla,0,0.1765710450708866,1.9097878700122237,1.8682135390117764
17,3362,Rony Lopes,5,135,0,0.16079000756144524,0,0.0,2,0,0,0,F S,Sevilla,0,0.16079000756144524,0.183893371373415,0.16350916773080826
18,6120,Bono,6,494,0,0.0,1,0.1022091805934906,0,1,1,0,GK S,Sevilla,0,0.0,0.6351674869656563,0.5329583063721657
19,6970,Tomás Vaclik,33,2926,0,0.0,0,0.0,0,0,0,0,GK,Sevilla,0,0.0,1.7183219818398356,1.7183219818398356
20,7888,Nemanja Gudelj,24,1173,0,0.27865333296358585,0,0.1275914702564478,7,2,6,0,D M S,Sevilla,0,0.27865333296358585,2.9015407525002956,2.589973483234644
21,8140,Munas Dabbur,2,18,0,0.11284492537379265,0,0.0,2,0,0,0,S,Sevilla,0,0.11284492537379265,0.2963055893778801,0.18346066772937775
