,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,555,Memphis Depay,28,1845,12,11.858485513366759,2,4.673102451488376,61,45,3,0,F M S,Barcelona,8,8.1420974181965,15.699471725150943,6.830246215686202
1,318,Pierre-Emerick Aubameyang,17,1105,10,8.833511656150222,1,1.3020354826003313,36,8,0,0,F S,Barcelona,10,8.833511656150222,11.538500463590026,2.60421235114336
2,7887,Luuk de Jong,21,623,6,5.140922898426652,0,0.2881231755018234,24,6,1,0,F S,Barcelona,6,5.140922898426652,5.1518214624375105,1.1738354973495007
3,6441,Ferrán Torres,18,1427,4,7.6097740195691586,4,3.753639481961727,52,13,1,0,F M S,Barcelona,3,6.866496410220861,13.700052749365568,6.546538295224309
4,7967,Anssumane Fati,10,323,4,1.328132726252079,0,0.46697013452649117,18,2,0,0,F S,Barcelona,4,1.328132726252079,2.310728020966053,0.8655133675783873
5,8091,Ronald Araújo,30,2269,4,1.7893534805625677,0,1.4803272187709808,18,8,6,0,D S,Barcelona,4,1.7893534805625677,9.391727212816477,8.672729935497046
6,8935,Pedri,12,891,4,1.21127512678504,0,0.8894236274063587,12,14,0,0,M S,Barcelona,4,1.21127512678504,9.613883096724749,8.316504828631878
7,7781,Frenkie de Jong,32,2496,3,4.651083562523127,3,3.318983683362603,17,43,5,1,M S,Barcelona,3,4.651083562523127,19.455426428467035,12.844875302165747
8,488,Philippe Coutinho,12,501,2,3.228455826640129,0,0.5882536768913269,24,1,1,0,F M S,Barcelona,1,2.4851782023906708,4.592341743409634,2.3207040019333363
9,2093,Jordi Alba,30,2653,2,1.1887378515675664,10,7.623014647513628,31,58,11,0,D M,Barcelona,2,1.1887378515675664,26.129696011543274,20.568122517317533
10,2095,Sergio Busquets,36,3212,2,0.5658088941127062,0,1.6959894243627787,14,34,12,0,M,Barcelona,2,0.5658088941127062,22.124747537076473,20.508105598390102
11,2104,Sergi Roberto,9,398,2,1.3414890244603157,1,0.3175843842327595,4,4,1,0,D M S,Barcelona,2,1.3414890244603157,1.9510361775755882,0.363357100635767
12,3211,Martin Braithwaite,4,242,2,1.6452632173895836,1,1.5402731895446777,7,2,0,0,F S,Barcelona,2,1.6452632173895836,2.780574969947338,0.5295744445174932
13,9802,Nico González,27,1107,2,1.4242463186383247,1,0.8186408150941133,17,13,6,0,M S,Barcelona,2,1.4242463186383247,7.858791969716549,5.745404247194529
14,9804,Gavi,34,2345,2,4.4496156349778175,5,4.285054998472333,30,20,9,1,F M S,Barcelona,2,4.4496156349778175,16.296988930553198,9.315061850473285
15,619,Sergio Agüero,4,148,1,1.1555328257381916,0,0.32806313037872314,6,1,0,0,F S,Barcelona,1,1.1555328257381916,1.499554980546236,0.015959011390805244
16,1288,Dani Alves,14,1111,1,0.15232731867581606,3,2.3859333880245686,5,22,2,1,D S,Barcelona,1,0.15232731867581606,7.144028276205063,6.421946119517088
17,2092,Gerard Piqué,27,2092,1,1.7741629974916577,0,0.3356906659901142,19,5,8,1,D S,Barcelona,1,1.7741629974916577,12.48799491301179,12.216307293623686
18,3226,Ousmane Dembélé,21,1405,1,3.170070106163621,13,8.723084174096584,47,45,3,0,F M S,Barcelona,1,3.170070106163621,15.58648544922471,6.434018080122769
19,7548,Riqui Puig,15,453,1,1.163424950093031,0,0.1344469180330634,9,5,0,0,M S,Barcelona,1,1.163424950093031,3.461202932521701,3.086702050641179
20,8549,Ferrán Jutglà,6,306,1,1.7788584176450968,0,0.19955015927553177,10,2,1,0,F S,Barcelona,1,1.7788584176450968,2.1813940294086933,1.0359552893787622
21,10095,Abdessamad Ezzalzouli,10,580,1,1.9003540948033333,0,1.120665356516838,16,6,4,0,F M S,Barcelona,1,1.9003540948033333,3.7137215211987495,1.0405407920479774
22,900,Adama Traoré,11,375,0,0.6185911074280739,2,1.191702239215374,9,7,0,0,F S,Barcelona,0,0.6185911074280739,2.2839628271758556,0.5817046985030174
23,1297,Neto,3,270,0,0.0,0,0.03827076777815819,0,1,0,0,GK,Barcelona,0,0.0,0.481358427554369,0.4430876597762108
24,2090,Marc-André ter Stegen,35,3150,0,0.0,0,0.06105070933699608,0,1,3,0,GK,Barcelona,0,0.0,7.251765860244632,7.190715150907636
25,3567,Samuel Umtiti,1,90,0,0.0,0,0.0,0,0,1,0,D,Barcelona,0,0.0,0.04507555440068245,0.04507555440068245
26,5050,Clement Lenglet,21,808,0,0.20299816131591797,1,0.4795536547899246,2,2,4,0,D S,Barcelona,0,0.20299816131591797,5.326363608241081,5.032516963779926
27,7430,Emerson,3,89,0,0.0,0,0.0,0,0,0,0,D S,Barcelona,0,0.0,0.29384663701057434,0.29384663701057434
28,8045,Eric Garcia,26,2053,0,0.43158033676445484,0,0.11836412735283375,6,4,5,1,D S,Barcelona,0,0.43158033676445484,12.20546679571271,12.107225228101015
29,8979,Sergiño Dest,21,1520,0,1.5507132597267628,3,2.850931067019701,12,18,2,0,D F S,Barcelona,0,1.5507132597267628,10.17777182906866,6.136440314352512
30,9011,Óscar Mingueza,19,887,0,0.11221148446202278,1,1.1939244531095028,2,9,2,0,D S,Barcelona,0,0.11221148446202278,4.936497172340751,4.317843599244952
31,9803,Yusuf Demir,6,194,0,0.03915362432599068,0,0.0,1,0,0,0,F S,Barcelona,0,0.03915362432599068,0.4320496991276741,0.39289606362581253
32,9805,Álex Balde,5,179,0,0.03776859492063522,0,0.033320214599370956,1,1,0,0,D S,Barcelona,0,0.03776859492063522,0.07108880952000618,0.0
33,10096,Álvaro Sanz,2,25,0,0.0,0,0.018961308524012566,0,1,0,0,S,Barcelona,0,0.0,0.0878582876175642,0.0878582876175642
34,10121,Ilias Akhomach,2,127,0,0.1785324141383171,0,0.3144030589610338,4,4,0,0,F,Barcelona,0,0.1785324141383171,1.0930424481630325,0.7893766984343529
35,10222,Estanis Pedrola,1,10,0,0.0,0,0.0,0,0,0,0,S,Barcelona,0,0.0,0.0,0.0
36,10224,Mika Mármol,1,1,0,0.0,0,0.0,0,0,0,0,S,Barcelona,0,0.0,0.0,0.0
