,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,8066,Arnaut Danjuma Groeneveld,23,1483,10,12.822506859898567,3,2.393640596419573,62,15,2,0,F M S,Villarreal,7,10.592673853039742,14.406461089849472,2.95650203153491
1,2120,Gerard Moreno,17,1190,9,7.676852695643902,3,4.974266570061445,38,30,2,0,F S,Villarreal,8,6.190425332635641,10.593392044305801,2.3420425336807966
2,2301,Manu Trigueros,35,2237,6,6.288964726030827,4,3.0046658739447594,41,23,3,0,F M S,Villarreal,6,6.288964726030827,18.123047871515155,11.433546595275402
3,9024,Yeremi Pino,31,1717,6,7.210564807057381,4,3.568691836670041,27,26,2,0,F M S,Villarreal,6,7.210564807057381,12.442914679646492,3.952823292464018
4,6221,Pau Torres,33,2862,5,4.809496883302927,1,2.1740437000989914,24,9,5,0,D,Villarreal,5,4.809496883302927,12.096997136250138,11.953243037685752
5,7224,Boulaye Dia,25,1264,5,5.256493642926216,5,2.4637635704129934,37,16,3,0,F S,Villarreal,5,5.256493642926216,10.023330457508564,2.689434789121151
6,2521,Alfonso,28,1710,4,1.6117751393467188,4,4.700771365314722,22,24,2,0,D S,Villarreal,4,1.6117751393467188,9.11044704169035,5.853963265195489
7,608,Alberto Moreno,24,1222,3,2.450510973110795,2,2.818782489746809,22,17,3,0,D F M S,Villarreal,3,2.450510973110795,6.156586587429047,2.3093580305576324
8,7208,Samuel Chukwueze,27,1308,3,4.845697455108166,3,4.700997767969966,32,27,4,0,F M S,Villarreal,3,4.845697455108166,13.55995568074286,4.692689225077629
9,497,Francis Coquelin,20,805,2,0.2550812214612961,1,0.6773867048323154,5,10,3,0,M S,Villarreal,2,0.2550812214612961,4.841038355603814,4.192257868126035
10,2198,Moi Gómez,29,1258,2,3.2599092833697796,2,2.424829075112939,13,18,2,0,F M S,Villarreal,2,3.2599092833697796,8.328709671273828,3.730015078559518
11,2378,Daniel Parejo,33,2718,2,1.4858027677983046,10,7.374512691050768,16,65,3,0,M S,Villarreal,1,0.7425251472741365,18.59771508537233,16.237672260031104
12,572,Etienne Capoue,30,2312,1,0.6519173812121153,1,1.0353650152683258,14,5,9,0,M S,Villarreal,1,0.6519173812121153,9.91871840134263,9.349548101425171
13,2380,Paco Alcácer,18,791,1,3.3991577588021755,3,1.6770215593278408,18,7,1,0,F S,Villarreal,1,3.3991577588021755,5.9245044849812984,2.585263803601265
14,3237,Aissa Mandi,17,1368,1,1.823732614517212,0,0.02078583650290966,10,1,3,0,D S,Villarreal,1,1.823732614517212,6.999942108988762,6.960978284478188
15,5681,Giovani Lo Celso,16,1001,1,1.7190869357436895,1,2.413252979516983,18,17,2,0,F M S,Villarreal,1,1.7190869357436895,6.646163955330849,3.576132772490382
16,6306,Juan Foyth,25,1939,1,1.0203599082306027,1,1.3658555317670107,6,11,4,1,D S,Villarreal,1,1.0203599082306027,6.654779754579067,6.040544090792537
17,1588,Raúl Albiol,28,2470,0,0.3834177441895008,0,0.129544235765934,5,4,8,0,D,Villarreal,0,0.3834177441895008,7.397245807573199,7.353618247434497
18,2065,Vicente Iborra,20,1033,0,1.0980569515377283,1,0.5616092160344124,8,2,4,0,M S,Villarreal,0,1.0980569515377283,7.693986527621746,7.270137257874012
19,2225,Gerónimo Rulli,32,2880,0,0.0,0,0.0,0,0,2,0,GK,Villarreal,0,0.0,5.156824765726924,5.156824765726924
20,2296,Mario,12,617,0,0.21614659018814564,0,0.6112431734800339,4,5,1,0,D S,Villarreal,0,0.21614659018814564,2.631043016910553,2.416820928454399
21,2460,Sergio Asenjo,6,540,0,0.0,0,0.0,0,0,1,0,GK,Villarreal,0,0.0,0.473141523078084,0.473141523078084
22,3600,Serge Aurier,19,993,0,0.7485047429800034,1,0.9090103395283222,11,6,4,0,D S,Villarreal,0,0.7485047429800034,9.007553050294518,8.569233076646924
23,5075,Rubén Peña,7,115,0,0.21366973221302032,0,0.9443616271018982,3,2,1,0,M S,Villarreal,0,0.21366973221302032,2.33050474524498,1.1724733412265778
24,5136,Estupiñán,28,1571,0,0.8332492196932435,1,3.093137376010418,14,13,3,0,D S,Villarreal,0,0.8332492196932435,11.310697188600898,8.16348860040307
25,8586,Nikita Iosifov,1,1,0,0.0,0,0.0,0,0,0,0,S,Villarreal,0,0.0,0.0,0.0
26,9214,Carlo Adriano García,1,5,0,0.0,0,0.0,0,0,0,0,S,Villarreal,0,0.0,0.0,0.0
27,10048,Nicolas Jackson,9,145,0,0.8134479280561209,0,0.7375723719596863,5,3,1,0,S,Villarreal,0,0.8134479280561209,1.606246180832386,0.25619667023420334
