,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,3423,Kylian Mbappe-Lottin,20,1522,18,16.572050720453262,5,10.575326211750507,88,40,0,0,F S,Paris Saint Germain,18,16.572050720453262,29.428369849920273,6.0446327812969685
1,1513,Mauro Icardi,20,1263,12,11.45686367712915,2,2.1562581434845924,36,11,0,0,F S,Paris Saint Germain,12,11.45686367712915,17.381130147725344,4.947348017245531
2,2099,Neymar,15,1325,12,14.72513022273779,6,5.2460290137678385,70,38,2,1,F M,Paris Saint Germain,8,10.924720011651516,21.302691847085953,7.206128515303135
3,3553,Ángel Di María,26,2016,8,8.39985447190702,14,13.905882963910699,74,77,2,0,F M S,Paris Saint Germain,7,6.879664236679673,29.715869516134262,13.951302543282509
4,2199,Pablo Sarabia,21,1159,4,3.90999910607934,3,4.027435157448053,33,19,1,0,F M S,Paris Saint Germain,4,3.90999910607934,11.39735621958971,4.980142079293728
5,3294,Edinson Cavani,14,593,4,9.334374457597733,1,1.0929752849042416,28,10,2,0,F S,Paris Saint Germain,3,8.574279338121414,8.842202056199312,1.3648339062929153
6,339,Eric Maxim Choupo-Moting,9,453,3,2.5795085951685905,1,0.7948192292824388,18,6,0,0,F M S,Paris Saint Germain,3,2.5795085951685905,3.7936584129929543,0.7969798967242241
7,3297,Marquinhos,19,1467,3,2.366497043520212,1,0.8282585442066193,11,4,1,0,D M S,Paris Saint Germain,3,2.366497043520212,15.953264771029353,15.515490232035518
8,7981,Nianzou Kouassi,6,454,2,0.4543268382549286,0,0.358655720949173,2,3,1,0,D M S,Paris Saint Germain,2,0.4543268382549286,4.539736609905958,4.450346689671278
9,552,Ander Herrera,8,546,1,0.5750380093231797,1,0.7804538160562515,6,9,0,0,D M S,Paris Saint Germain,1,0.5750380093231797,5.788873165845871,5.469014152884483
10,668,Idrissa Gueye,20,1658,1,1.4595130402594805,2,2.730157990939915,11,23,2,0,M S,Paris Saint Germain,1,1.4595130402594805,20.51253356784582,18.06167548149824
11,1248,Leandro Paredes,17,796,1,0.4721810296177864,0,0.18426498770713806,18,4,2,0,M S,Paris Saint Germain,1,0.4721810296177864,9.100873481482267,8.793536372482777
12,2674,Thilo Kehrer,7,477,1,0.22580517269670963,0,0.36741964519023895,3,2,0,0,D S,Paris Saint Germain,1,0.22580517269670963,4.617346823215485,4.184944987297058
13,3298,Layvin Kurzawa,14,850,1,0.9466651044785976,0,0.45938020572066307,6,2,4,0,D S,Paris Saint Germain,1,0.9466651044785976,6.4627765864133835,5.977553114295006
14,152,Julian Draxler,11,681,0,1.2819562498480082,4,1.6335733644664288,13,12,5,0,M S,Paris Saint Germain,0,1.2819562498480082,8.084419876337051,5.723595082759857
15,414,Juan Bernat,18,1402,0,0.6272106748074293,4,3.3901909086853266,6,14,5,0,D M S,Paris Saint Germain,0,0.6272106748074293,13.479978173971176,11.781517945230007
16,2072,Sergio Rico,2,180,0,0.0,0,0.0,0,0,0,0,GK,Paris Saint Germain,0,0.0,0.7252756301313639,0.7252756301313639
17,2243,Keylor Navas,21,1890,0,0.0,0,0.0,0,0,0,0,GK,Paris Saint Germain,0,0.0,6.878719046711922,6.878719046711922
18,2256,Jesé,1,1,0,0.0,0,0.0,0,0,0,0,S,Paris Saint Germain,0,0.0,0.0,0.0
19,2310,Alphonse Areola,3,270,0,0.0,0,0.0,0,0,0,0,GK,Paris Saint Germain,0,0.0,0.5727329850196838,0.5727329850196838
20,3288,Thiago Silva,21,1586,0,0.2227809401229024,0,0.0,6,0,1,0,D S,Paris Saint Germain,0,0.2227809401229024,14.536137502640486,14.536137502640486
21,3552,Marco Verratti,20,1483,0,0.20299291610717773,5,3.5086834714747965,2,27,6,0,M S,Paris Saint Germain,0,0.20299291610717773,19.04938006401062,17.73516970872879
22,3599,Presnel Kimpembe,16,1219,0,0.3487087721005082,0,0.03606255725026131,6,1,6,0,D S,Paris Saint Germain,0,0.3487087721005082,12.747886752709746,12.732573008164763
23,4804,Abdou Diallo,16,1206,0,0.9354373142123222,1,0.4896083138883114,5,4,4,0,D S,Paris Saint Germain,0,0.9354373142123222,6.205688681453466,5.716080371290445
24,5680,Thomas Meunier,16,1240,0,0.4794705808162689,2,2.6990107968449593,4,19,3,0,D S,Paris Saint Germain,0,0.4794705808162689,11.685290597379208,10.51845988444984
25,6907,Colin Dagba,10,666,0,0.05835775472223759,0,0.7839922346174717,2,7,1,0,D S,Paris Saint Germain,0,0.05835775472223759,5.201644591987133,4.936427153646946
26,7577,Loïc Mbe Soh,1,62,0,0.0,0,0.0,0,0,0,0,D,Paris Saint Germain,0,0.0,0.14243578910827637,0.14243578910827637
27,7578,Arthur Zagre,1,22,0,0.0,0,0.0,0,0,0,0,S,Paris Saint Germain,0,0.0,0.5727329850196838,0.5727329850196838
28,7772,Marcin Bulka,1,90,0,0.0,0,0.0,0,0,0,0,GK,Paris Saint Germain,0,0.0,0.0,0.0
29,7980,Adil Aouchiche,1,67,0,0.0,0,0.0,0,0,0,0,M,Paris Saint Germain,0,0.0,0.09904206544160843,0.09904206544160843
30,8310,Mitchel Bakker,1,90,0,0.0,0,0.0,0,0,1,0,D,Paris Saint Germain,0,0.0,1.4327481985092163,1.4327481985092163
