,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1583,Arkadiusz Milik,35,2403,17,14.078378658741713,3,3.2355691958218813,111,37,4,0,F S,Napoli,17,14.078378658741713,19.810957334935665,5.698175315745175
1,1384,Dries Mertens,35,2245,16,12.375787530094385,11,9.394875610247254,89,70,1,0,F S,Napoli,15,11.61448871716857,24.529832266271114,8.040112620219588
2,1393,Lorenzo Insigne,28,2081,10,10.424117786809802,6,5.122348241508007,120,64,6,1,F M S,Napoli,9,8.901560051366687,19.246918447315693,7.503334891051054
3,1386,Piotr Zielinski,36,2895,6,5.675859370268881,2,5.652276108041406,80,58,6,0,M S,Napoli,6,5.675859370268881,19.552083682268858,11.584755199030042
4,2447,Fabián,27,1983,5,4.012515262700617,4,4.761741960421205,51,62,2,1,M S,Napoli,5,4.012515262700617,19.20450896769762,14.090974006801844
5,1382,José Callejón,34,2657,3,6.761094463989139,10,9.29601638019085,61,72,1,0,D F M S,Napoli,3,6.761094463989139,25.127235557883978,12.69761679880321
6,1445,Simone Verdi,22,692,3,3.1080115363001823,3,1.633513268083334,20,12,0,0,F M S,Napoli,2,2.346712701022625,5.755379721522331,2.3805072866380215
7,3259,Adam Ounas,18,523,3,1.7107528001070023,0,2.30450626462698,21,18,0,0,F M S,Napoli,3,1.7107528001070023,4.966693546622992,1.693365822546184
8,7289,Amin Younes,12,503,3,2.232430536299944,2,0.9539961097761989,13,9,1,0,F M S,Napoli,3,2.232430536299944,4.9120305851101875,3.084745340049267
9,1376,Kalidou Koulibaly,35,3137,2,3.0728670675307512,2,0.3285905383527279,19,8,9,1,D,Napoli,2,3.0728670675307512,17.302079018205404,16.894909139722586
10,1379,Allan,33,2617,1,0.9269125275313854,3,2.85189469717443,25,34,10,0,M S,Napoli,1,0.9269125275313854,19.16099951416254,16.478002700954676
11,1387,Faouzi Ghoulam,16,1162,1,1.1407536771148443,3,3.0239817295223475,9,25,2,0,D S,Napoli,1,1.1407536771148443,8.49893394857645,6.553519666194916
12,1390,Marko Rog,9,328,1,0.22095138859003782,0,0.0,6,0,3,0,M S,Napoli,1,0.22095138859003782,2.9752968214452267,2.8735934756696224
13,1588,Raúl Albiol,20,1712,1,0.17527575232088566,0,0.752865631133318,4,5,4,0,D S,Napoli,1,0.17527575232088566,6.301120473071933,5.990712178871036
14,1792,Mário Rui,20,1414,1,0.6294492706656456,1,2.1598004903644323,21,26,4,1,D S,Napoli,1,0.6294492706656456,8.6100481338799,6.726368863135576
15,505,David Ospina,17,1457,0,0.0,0,0.0,0,0,0,0,GK S,Napoli,0,0.0,3.1179021103307605,3.1179021103307605
16,1138,Orestis Karnezis,9,810,0,0.0,0,0.0,0,0,0,0,GK,Napoli,0,0.0,1.3868108540773392,1.3868108540773392
17,1375,Elseid Hysaj,27,2113,0,0.6815831437706947,2,0.658389151096344,13,15,4,0,D S,Napoli,0,0.6815831437706947,12.327230386435986,11.747709592804313
18,1377,Nikola Maksimovic,17,1375,0,0.07519904524087906,0,0.14170317212119699,2,4,4,0,D S,Napoli,0,0.07519904524087906,8.010364945977926,7.98744734749198
19,1380,Amadou Diawara,13,655,0,0.2876544101163745,0,0.140038775280118,9,5,4,0,M S,Napoli,0,0.2876544101163745,6.363016426563263,5.9760180078446865
20,1381,Marek Hamsik,13,923,0,0.422624746337533,0,0.5766341183334589,15,16,1,0,M S,Napoli,0,0.422624746337533,6.827970456331968,6.299959857016802
21,1395,Vlad Chiriches,3,148,0,0.254192590713501,0,0.0,1,0,0,0,D,Napoli,0,0.254192590713501,0.7010442446917295,0.7010442446917295
22,1639,Sebastiano Luperto,12,718,0,0.02575511671602726,0,0.0,2,0,0,0,D S,Napoli,0,0.02575511671602726,4.887812405824661,4.887812405824661
23,1892,Alex Meret,14,1151,0,0.0,0,0.0,0,0,0,1,GK S,Napoli,0,0.0,2.048410227522254,2.048410227522254
24,3632,Kevin Malcuit,24,1811,0,0.3728028880432248,2,2.5296297250315547,12,22,3,0,D S,Napoli,0,0.3728028880432248,8.783549834042788,6.521124379709363
25,7507,Gianluca Gaetano,2,6,0,0.02261088415980339,0,0.09619036316871643,1,1,0,0,S,Napoli,0,0.02261088415980339,0.11880124360322952,0.0
