,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1148,Duván Zapata,28,2047,18,15.833168610930443,6,5.763872463256121,89,38,1,0,F S,Atalanta,17,15.071869760751724,21.968365827575326,4.951401550322771
1,1229,Luis Muriel,34,1225,18,13.168777784332633,1,4.701555393636227,77,36,1,0,F S,Atalanta,12,7.839686108753085,15.924877859652042,5.697577059268951
2,1426,Josip Ilicic,26,1682,15,10.302356086671352,5,7.094770606607199,81,53,1,1,F M S,Atalanta,15,10.302356086671352,23.532417699694633,10.623078260570765
3,1134,Mario Pasalic,35,2443,9,10.014534961432219,5,4.549631146714091,58,42,6,0,F M S,Atalanta,9,10.014534961432219,21.759195549413562,11.893084578216076
4,6155,Robin Gosens,34,2638,9,6.4234097227454185,7,3.6214442886412144,52,39,3,0,D M S,Atalanta,9,6.4234097227454185,18.244562992826104,10.977980023249984
5,7947,Ruslan Malinovskiy,34,1500,8,4.2347740307450294,3,4.678753765299916,79,46,5,1,F M S,Atalanta,8,3.473475195467472,13.985551446676254,9.395591028034687
6,1491,Alejandro Gomez,36,2879,7,8.437366656959057,16,10.00764431990683,95,101,2,0,F M S,Atalanta,7,8.437366656959057,26.1945030502975,15.412756353616714
7,1484,Rafael Toloi,33,2604,2,3.0000422969460487,6,2.578856992535293,27,17,11,0,D S,Atalanta,2,3.0000422969460487,14.912522722035646,12.555730603635311
8,1488,Remo Freuler,31,2361,2,1.7210625819861889,2,2.7748968191444874,19,26,3,0,F M S,Atalanta,2,1.7210625819861889,15.876396799460053,12.612465908750892
9,1710,Marten de Roon,35,2709,2,1.3709768326953053,5,1.7275091670453548,31,33,12,0,D M S,Atalanta,2,1.3709768326953053,16.459303069859743,15.13096148148179
10,1927,Berat Gjimshiti,34,2800,2,1.8536574924364686,1,1.408939216285944,21,13,5,0,D S,Atalanta,2,1.8536574924364686,10.982255410403013,10.455674801021814
11,4733,José Luis Palomino,30,2480,2,3.2414286052808166,1,1.3922049682587385,16,6,5,0,D S,Atalanta,2,3.2414286052808166,10.059882154688239,8.822051985189319
12,6157,Timothy Castagne,27,1762,1,1.9758135471493006,2,2.6685311822220683,17,21,4,0,D M S,Atalanta,1,1.9758135471493006,10.48692078795284,7.808307924307883
13,8127,Amad Diallo Traore,3,17,1,0.04496327415108681,0,0.07443949580192566,1,1,0,0,S,Atalanta,1,0.04496327415108681,0.16012567281723022,0.11516239494085312
14,1486,Mattia Caldara,14,963,0,0.108641074039042,1,0.5593186020851135,5,1,1,0,D S,Atalanta,0,0.108641074039042,3.5508911088109016,3.5508911088109016
15,1501,Marco Sportiello,6,526,0,0.0,0,0.0,0,0,0,0,GK S,Atalanta,0,0.0,1.1172089651226997,1.1172089651226997
16,1841,Pierluigi Gollini,33,2884,0,0.0,0,0.0,0,0,3,0,GK,Atalanta,0,0.0,7.291787963360548,7.291787963360548
17,4940,Francesco Rossi,1,10,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0,0.0,0.0
18,4941,Hans Hateboer,32,2346,0,2.2415951192379,4,4.374598706141114,19,43,10,0,D M S,Atalanta,0,2.2415951192379,15.859761375933886,12.00547401420772
19,5996,Adrien Tameze,7,201,0,0.0,0,0.1789035052061081,0,3,0,0,M S,Atalanta,0,0.0,2.023796785622835,1.8448932357132435
20,6412,Raoul Bellanova,1,17,0,0.1318860799074173,0,0.0,2,0,0,0,S,Atalanta,0,0.1318860799074173,0.5467934608459473,0.512601912021637
21,6572,Guilherme Arana,4,69,0,0.0,0,0.03958755359053612,0,1,0,0,S,Atalanta,0,0.0,0.3282112330198288,0.3282112330198288
22,7375,Roberto Piccoli,1,16,0,0.4149073660373688,0,0.03419153392314911,1,1,0,0,S,Atalanta,0,0.4149073660373688,0.5467934608459473,0.09769454598426819
23,8156,Jacopo Da Riva,1,1,0,0.0,0,0.018241887912154198,0,1,0,0,S,Atalanta,0,0.0,0.018241887912154198,0.0
24,8161,Ebrima Colley,5,75,0,0.573510617017746,1,0.5480355620384216,6,2,1,0,S,Atalanta,0,0.573510617017746,1.2690991312265396,0.4198150672018528
25,8298,Lennart Czyborra,1,16,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0,0.0,0.0
26,8475,Bosko Sutalo,7,281,0,0.044041696935892105,0,0.058501824736595154,1,1,1,0,D S,Atalanta,0,0.044041696935892105,1.1462232917547226,1.1462232917547226
