,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,29,10249,Ashkan Dejagah,36.0, M(LR),181.0,77.0,1,1.0,0,67.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,7.37
1,30,102166,Fagner,33.0, D(R),168.0,67.0,24(2),24.0,2,2083.0,4.3,2.6,1.6,0.3,2.2,1.5,0.3,0.0,7.27
2,31,16315,Josué,43.0, M(C),170.0,66.0,13(3),13.0,3,1092.0,3.6,2.8,2.7,0.1,1.2,1.9,0.1,0.0,6.67
3,32,20769,Simon Kjaer,33.0, D(C),190.0,86.0,20(2),20.0,2,1686.0,3.0,1.6,1.0,0.3,4.9,0.9,0.5,0.0,6.88
4,33,12225,Jan Polák,41.0, M(C),181.0,80.0,26(1),26.0,1,2213.0,2.6,2.7,2.0,0.0,1.4,1.9,0.1,0.0,7.02
5,34,14172,Naldo,40.0, D(C),198.0,91.0,31,31.0,0,2708.0,2.5,3.3,1.3,1.0,6.0,0.9,0.6,0.0,7.46
6,35,3061,Sotirios Kyrgiakos,43.0," D(L),DMC",193.0,88.0,1(1),1.0,1,129.0,2.5,2.0,0.0,0.5,7.5,1.0,1.5,0.0,7.07
7,36,63012,Slobodan Medojevic,31.0, DMC,182.0,77.0,6(2),6.0,2,561.0,2.4,0.8,1.3,0.1,1.0,1.0,0.0,0.0,6.65
8,37,100591,Robin Knoche,30.0, D(C),189.0,84.0,8(3),8.0,3,799.0,2.2,2.5,0.7,0.5,4.3,0.7,0.5,0.0,6.75
9,38,61610,Ricardo Rodríguez,30.0," D(CL),M(L)",181.0,78.0,19(5),19.0,5,1718.0,2.1,2.3,1.7,0.4,2.5,0.5,0.1,1.0,7.15
10,39,33699,Yohandry Orozco,31.0, Midfielder,164.0,59.0,1(1),1.0,1,127.0,2.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,6.87
11,40,22652,Vieirinha,36.0," D(R),M(LR)",172.0,70.0,22(5),22.0,5,1978.0,1.7,2.0,1.4,0.0,0.5,0.7,0.0,0.0,7.1
12,41,7417,Diego,37.0, M(CLR),174.0,78.0,32,32.0,0,2880.0,1.7,1.0,1.6,0.0,0.3,1.8,0.1,0.0,7.84
13,42,16954,Makoto Hasebe,38.0," D(CR),M(CR)",180.0,72.0,20(3),20.0,3,1738.0,1.6,1.4,1.1,0.5,1.2,1.4,0.1,0.0,6.7
14,43,20626,Christian Träsch,35.0," D(R),M(C)",180.0,75.0,11(6),11.0,6,965.0,1.6,1.7,1.0,0.1,0.5,1.6,0.0,0.0,6.66
15,44,5720,Emanuel Pogatetz,39.0, D(C),191.0,90.0,8,8.0,0,646.0,1.5,1.0,1.3,1.1,8.9,0.6,0.3,1.0,6.73
16,45,3467,Ivica Olic,43.0," AM(LR),FW",182.0,85.0,28(4),28.0,4,2433.0,1.5,0.7,2.0,0.1,0.5,1.1,0.0,0.0,6.89
17,46,10154,Marcel Schäfer,38.0," D(L),M(L)",184.0,75.0,22(9),22.0,9,2013.0,1.3,0.7,0.5,0.0,1.4,0.7,0.3,0.0,6.56
18,47,3667,Thomas Kahlenberg,39.0, M(C),183.0,72.0,6(7),6.0,7,541.0,1.2,0.4,1.3,0.0,0.4,1.2,0.1,0.0,6.46
19,48,108919,Maximilian Arnold,28.0, M(CR),184.0,74.0,5(1),5.0,1,408.0,1.2,0.5,2.3,0.0,0.2,0.5,0.0,0.0,6.85
20,49,33840,Felipe,35.0, D(C),189.0,79.0,0(1),0.0,1,21.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.22
21,50,70524,Ivan Perisic,33.0," M(CLR),FW",186.0,80.0,7(4),7.0,4,548.0,0.9,0.7,0.5,0.0,0.6,0.5,0.1,0.0,6.74
22,51,98825,Ferhan Hasani,32.0, Forward,189.0,76.0,1(3),1.0,3,187.0,0.8,1.8,1.5,0.0,0.0,1.0,0.0,0.0,6.26
23,52,5630,Alexander Madlung,40.0, D(C),196.0,95.0,6(9),6.0,9,633.0,0.6,1.3,1.3,0.6,2.8,0.1,0.7,0.0,6.61
24,53,34323,Bas Dost,33.0, FW,196.0,89.0,20(8),20.0,8,2004.0,0.5,0.1,1.2,0.0,0.6,0.4,0.1,0.0,6.71
25,54,6670,Patrick Helmes,38.0," AM(L),FW",182.0,82.0,1(3),1.0,3,154.0,0.3,0.3,0.8,0.0,0.3,0.8,0.3,0.0,6.32
26,55,38926,Rasmus Jönsson,32.0, Forward,192.0,71.0,0(6),0.0,6,89.0,0.2,0.0,0.3,0.0,0.0,0.2,0.0,0.0,5.88
27,56,13751,Srdjan Lakic,39.0, FW,186.0,84.0,1(7),1.0,7,151.0,0.1,0.0,1.1,0.0,0.4,0.3,0.0,0.0,6.14
28,57,10714,Diego Benaglio,39.0, GK,194.0,89.0,34,34.0,0,3060.0,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0.0,6.78
