,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,28,25008,Arturo Vidal,35.0, M(CR),180.0,75.0,17(5),17.0,5,1461.0,3.1,1.3,2.0,0.0,0.6,1.6,0.0,0.0,7.49
1,29,21541,Mats Hummels,33.0, D(C),191.0,94.0,25(1),25.0,1,2213.0,2.4,2.1,0.7,0.4,2.2,0.6,0.5,0.0,7.27
2,30,74939,Thiago,31.0, M(C),174.0,70.0,12(7),12.0,7,1243.0,2.4,1.4,1.3,0.0,0.3,0.6,0.2,0.0,7.36
3,31,106894,Juan Bernat,29.0," D(L),M(CL)",177.0,67.0,11,11.0,0,892.0,2.3,0.9,0.5,0.1,0.5,0.6,0.1,0.0,7.08
4,32,346731,Kwasi Okyere Wriedt,28.0, FW,188.0,82.0,0(1),0.0,1,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48
5,33,356070,Lukas Mai,22.0, D(C),190.0,84.0,2,2.0,0,180.0,2.0,1.5,1.0,1.0,1.5,0.5,1.0,0.0,7.07
6,34,354599,Meritan Shabani,23.0, Midfielder,185.0,78.0,1,1.0,0,56.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.09
7,35,38649,Sebastian Rudy,32.0," D(R),M(CR)",180.0,74.0,16(9),16.0,9,1509.0,2.0,0.7,0.8,0.0,0.2,1.1,0.0,0.0,6.84
8,36,71182,James Rodríguez,31.0," AM(CLR),FW",180.0,75.0,19(4),19.0,4,1627.0,1.5,0.5,1.0,0.0,0.1,0.7,0.0,0.0,7.63
9,37,13755,Rafinha,37.0," D(CLR),M(R)",172.0,65.0,19(8),19.0,8,1843.0,1.4,1.2,0.9,0.1,0.9,0.7,0.2,0.0,6.87
10,38,14091,Javi Martínez,34.0," D(C),M(C)",192.0,86.0,18(4),18.0,4,1612.0,1.4,1.5,0.7,0.1,1.7,0.5,0.2,0.0,7.1
11,39,23589,Jérôme Boateng,34.0, D(CR),192.0,90.0,19,19.0,0,1644.0,1.4,1.1,0.7,0.4,2.6,0.7,0.6,0.0,7.14
12,40,134894,Corentin Tolisso,28.0," D(R),M(CR)",181.0,81.0,17(9),17.0,9,1529.0,1.3,0.6,0.8,0.0,0.3,0.7,0.1,0.0,6.99
13,41,129983,Niklas Süle,27.0, D(CR),195.0,99.0,20(7),20.0,7,1919.0,1.3,1.2,0.6,0.4,2.0,0.3,0.6,3.0,6.9
14,42,37099,Thomas Müller,33.0," M(CLR),FW",185.0,76.0,22(7),22.0,7,1966.0,1.2,0.2,0.7,0.0,0.4,0.5,0.0,0.0,7.28
15,43,283323,Joshua Kimmich,27.0," D(CR),DMC,M(R)",177.0,75.0,26(3),26.0,3,2334.0,1.1,0.7,0.6,0.3,1.1,0.6,0.2,0.0,7.23
16,44,39722,David Alaba,30.0," D(CL),M(CL)",180.0,78.0,17(6),17.0,6,1551.0,1.0,0.4,0.4,0.1,0.8,0.3,0.3,0.0,6.95
17,45,356566,Franck Evina,22.0, Forward,180.0,77.0,2,2.0,0,112.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.54
18,46,306637,Niklas Dorsch,24.0, DMC,178.0,76.0,1,1.0,0,90.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,7.45
19,47,9016,Franck Ribéry,39.0," AM(CL),FW",170.0,72.0,15(5),15.0,5,1210.0,1.0,0.4,0.6,0.0,0.1,0.2,0.0,0.0,7.0
20,48,4173,Arjen Robben,38.0," M(CLR),FW",180.0,80.0,19(2),19.0,2,1518.0,0.7,0.2,0.5,0.0,0.1,0.4,0.0,0.0,7.31
21,49,22669,Sandro Wagner,34.0, FW,194.0,92.0,8(6),8.0,6,722.0,0.6,0.1,1.6,0.0,0.1,0.0,0.0,0.0,6.96
22,50,125883,Kingsley Coman,26.0," M(LR),FW",180.0,76.0,10(11),10.0,11,1149.0,0.5,0.3,0.3,0.0,0.0,0.2,0.0,0.0,7.2
23,51,29400,Robert Lewandowski,34.0, FW,185.0,81.0,24(6),24.0,6,2169.0,0.2,0.2,1.2,0.0,0.3,0.1,0.0,0.0,7.49
24,52,35506,Sven Ulreich,34.0, GK,192.0,87.0,29,29.0,0,2610.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,6.68
25,53,13754,Manuel Neuer,36.0, GK,193.0,93.0,3,3.0,0,270.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.73
26,54,333227,Marco Friedl,24.0," D(CL),M(L)",187.0,82.0,0(1),0.0,1,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94
27,55,10168,Tom Starke,41.0, GK,194.0,98.0,2,2.0,0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09
