,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,23,11090,Lukasz Piszczek,37.0," D(CR),M(R)",184.0,79.0,20,20.0,0,1759.0,2.9,2.0,0.8,0.2,3.0,0.8,0.2,0.0,7.41
1,24,73744,Thomas Delaney,31.0, DMC,182.0,79.0,27(3),27.0,3,2290.0,2.3,1.9,1.5,0.0,1.4,0.4,0.3,0.0,7.13
2,25,142318,Julian Weigl,27.0," D(C),DMC",186.0,72.0,16(2),16.0,2,1456.0,1.8,0.9,0.8,0.7,2.9,0.9,0.6,0.0,6.71
3,26,320834,Achraf Hakimi,23.0," D(LR),M(R)",181.0,73.0,19(2),19.0,2,1740.0,1.6,1.4,0.7,0.3,1.8,0.9,0.2,0.0,7.11
4,27,25191,Axel Witsel,33.0," D(C),M(C)",186.0,81.0,32(1),32.0,1,2873.0,1.4,1.4,0.8,0.0,1.4,0.3,0.2,0.0,7.11
5,28,248112,Abdou Diallo,26.0, D(CL),187.0,79.0,27(1),27.0,1,2381.0,1.3,0.9,0.8,0.5,3.1,0.1,0.5,0.0,6.88
6,29,41330,Marco Reus,33.0," M(CLR),FW",180.0,71.0,27,27.0,0,2322.0,1.2,0.3,1.3,0.0,1.2,0.9,0.0,0.0,7.39
7,30,297390,Manuel Akanji,27.0, D(CR),188.0,91.0,25,25.0,0,2206.0,1.2,1.1,0.5,0.9,3.5,0.4,0.5,0.0,6.79
8,31,135092,Mahmoud Dahoud,26.0, M(C),178.0,68.0,7(7),7.0,7,695.0,1.1,1.2,0.9,0.0,0.6,0.9,0.0,0.0,6.57
9,32,115375,Raphaël Guerreiro,28.0," D(L),M(CL)",170.0,71.0,17(6),17.0,6,1532.0,1.1,0.8,0.4,0.0,0.4,0.5,0.0,0.0,7.02
10,33,43364,Marcel Schmelzer,34.0," D(CL),M(L)",180.0,74.0,7(3),7.0,3,566.0,1.0,0.9,0.4,0.7,1.2,0.4,0.1,0.0,6.65
11,34,80382,Mario Götze,30.0," M(CLR),FW",176.0,75.0,19(7),19.0,7,1680.0,1.0,0.3,0.8,0.0,0.2,0.8,0.0,0.0,7.0
12,35,312666,Marius Wolf,27.0," D(R),M(CLR)",188.0,81.0,10(6),10.0,6,831.0,0.9,0.8,0.8,0.1,0.8,0.5,0.0,0.0,6.48
13,36,342548,Dan-Axel Zagadou,23.0, D(CL),196.0,90.0,15(2),15.0,2,1267.0,0.8,1.5,0.8,0.6,4.1,0.1,0.6,0.0,6.92
14,37,307202,Jacob Bruun Larsen,24.0, AM(CL),183.0,77.0,16(8),16.0,8,1271.0,0.6,0.5,0.1,0.0,0.5,0.4,0.0,0.0,6.59
15,38,346300,Jadon Sancho,22.0, AM(CLR),180.0,76.0,26(8),26.0,8,2464.0,0.6,0.4,0.1,0.0,0.1,0.6,0.0,0.0,7.52
16,39,302692,Christian Pulisic,24.0," M(CLR),FW",172.0,69.0,9(11),9.0,11,924.0,0.5,0.3,0.5,0.0,0.5,0.2,0.1,0.0,6.86
17,40,145267,Maximilian Philipp,28.0," AM(CLR),FW",183.0,79.0,9(9),9.0,9,761.0,0.4,0.2,0.6,0.0,0.3,0.4,0.0,0.0,6.4
18,41,95953,Paco Alcácer,29.0," AM(R),FW",175.0,72.0,11(15),11.0,15,1205.0,0.1,0.2,0.2,0.0,0.3,0.2,0.0,0.0,6.93
19,42,43589,Ömer Toprak,33.0, D(C),186.0,83.0,1(8),1.0,8,233.0,0.1,0.0,0.2,0.1,0.8,0.1,0.1,0.0,6.14
20,43,63936,Roman Bürki,31.0, GK,187.0,85.0,32,32.0,0,2880.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,6.62
21,44,36152,Marwin Hitz,35.0, GK,194.0,89.0,2,2.0,0,180.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,5.46
22,45,42862,Shinji Kagawa,33.0, M(CL),175.0,68.0,1(1),1.0,1,98.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,6.22
