,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,30,35433,Marco Fabián,33.0," AM(CR),FW",170.0,64.0,1,1.0,0,63.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.52
1,31,22418,Gelson Fernandes,36.0, DMC,179.0,70.0,28,28.0,0,2236.0,2.6,1.9,2.0,0.0,0.6,1.5,0.3,0.0,6.64
2,32,65581,Sebastian Rode,31.0," D(R),M(C)",180.0,71.0,12,12.0,0,931.0,2.6,1.6,1.3,0.1,1.1,1.6,0.0,0.0,7.1
3,33,262262,Almamy Touré,26.0," D(CR),M(R)",183.0,81.0,6(1),6.0,1,520.0,2.6,1.3,0.7,0.9,3.4,0.4,0.1,0.0,7.03
4,34,83659,Martin Hinteregger,30.0, D(C),186.0,82.0,14,14.0,0,1144.0,2.4,0.9,0.7,0.6,3.5,1.1,0.5,1.0,6.91
5,35,105995,Filip Kostic,29.0," M(LR),FW",184.0,84.0,33(1),33.0,1,2961.0,1.9,0.7,0.8,0.1,1.1,1.2,0.2,0.0,7.26
6,36,16954,Makoto Hasebe,38.0," D(CR),M(CR)",180.0,72.0,28,28.0,0,2520.0,1.9,1.4,0.6,1.0,3.5,0.6,0.8,0.0,6.87
7,37,94934,Danny da Costa,29.0," D(R),M(R)",187.0,87.0,34,34.0,0,3035.0,1.8,0.9,1.0,0.1,1.6,0.7,0.3,0.0,6.85
8,38,249960,Lucas Torró,28.0, DMC,190.0,77.0,6(2),6.0,2,561.0,1.8,1.8,1.4,0.0,1.5,0.8,0.1,0.0,6.97
9,39,323450,Evan Ndicka,23.0, D(CL),192.0,80.0,24(3),24.0,3,2302.0,1.6,1.1,1.0,0.9,4.2,0.8,0.4,0.0,6.74
10,40,13753,Marco Russ,37.0," D(C),DMC",190.0,88.0,3(2),3.0,2,378.0,1.4,1.4,0.6,0.2,1.6,0.4,0.4,0.0,6.61
11,41,23199,David Abraham,36.0, D(C),188.0,83.0,17,17.0,0,1422.0,1.3,1.4,0.6,0.7,3.6,0.8,0.7,0.0,6.75
12,42,108770,Simon Falette,30.0, D(C),185.0,89.0,7,7.0,0,601.0,1.3,2.0,0.7,0.7,4.6,0.6,0.7,0.0,6.6
13,43,19087,Jonathan de Guzmán,35.0, M(CLR),173.0,70.0,17(11),17.0,11,1564.0,1.2,0.4,0.6,0.0,0.4,0.5,0.1,0.0,6.79
14,44,126948,Carlos Salcedo,29.0, D(CR),183.0,85.0,6,6.0,0,461.0,1.2,1.5,1.5,1.0,3.3,0.5,0.5,0.0,6.58
15,45,300318,Mijat Gacinovic,27.0, M(CLR),175.0,67.0,16(13),16.0,13,1623.0,1.1,0.8,0.7,0.0,0.3,1.1,0.0,0.0,6.47
16,46,295838,Allan,25.0, DMC,176.0,75.0,2(2),2.0,2,175.0,1.0,0.0,1.3,0.0,0.3,1.0,0.5,0.0,6.3
17,47,94885,Jetro Willems,28.0," D(L),DMC,M(L)",169.0,65.0,7(16),7.0,16,720.0,0.9,0.4,0.3,0.0,0.4,0.3,0.2,0.0,6.31
18,48,116466,Marc Stendera,26.0, M(C),173.0,72.0,0(7),0.0,7,107.0,0.9,0.0,0.3,0.0,0.0,0.3,0.1,0.0,6.17
19,49,236544,Sébastien Haller,28.0, FW,190.0,82.0,23(6),23.0,6,2181.0,0.8,0.5,1.4,0.0,0.8,0.4,0.0,0.0,7.55
20,50,101735,Ante Rebic,29.0," AM(CLR),FW",185.0,78.0,23(5),23.0,5,1985.0,0.8,0.3,1.7,0.0,0.1,0.3,0.0,0.0,6.89
21,51,35738,Nicolai Müller,35.0," M(CLR),FW",173.0,66.0,3(4),3.0,4,216.0,0.6,0.0,0.6,0.0,0.0,0.1,0.1,0.0,6.27
22,52,79522,Taleb Tawatha,30.0," D(L),M(L)",176.0,81.0,1(2),1.0,2,125.0,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.0,6.25
23,53,315755,Luka Jovic,24.0, FW,182.0,85.0,25(7),25.0,7,2249.0,0.3,0.1,0.9,0.0,0.9,0.3,0.0,0.0,7.0
24,54,271856,Gonçalo Paciência,28.0, FW,184.0,81.0,4(7),4.0,7,388.0,0.3,0.0,1.5,0.0,0.1,0.1,0.1,0.0,6.67
25,55,99989,Branimir Hrgota,29.0," AM(CLR),FW",185.0,76.0,0(1),0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97
26,56,132348,Danny Blum,31.0," AM(LR),FW",183.0,83.0,0(1),0.0,1,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.29
27,57,81842,Frederik Rønnow,30.0, GK,188.0,81.0,1(1),1.0,1,122.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7.47
28,58,66424,Kevin Trapp,32.0, GK,189.0,88.0,33,33.0,0,2938.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,6.84
29,59,69467,Timothy Chandler,32.0," D(R),M(LR)",187.0,84.0,0(1),0.0,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26
