,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,28191,Ramires,35.0, M(CR),180.0,73.0,22(7),22.0,7,1943.0,3.0,1.7,1.8,0.0,1.0,0.7,0.2,0.0,7.06
1,25,10132,Alex,40.0, D(C),188.0,92.0,12(3),12.0,3,1111.0,2.7,2.0,0.6,0.7,4.9,0.3,0.9,0.0,7.34
2,26,342,Ashley Cole,41.0," D(L),M(L)",176.0,66.0,38,38.0,0,3387.0,2.6,1.3,0.8,0.2,1.2,1.0,0.3,0.0,6.95
3,27,15338,Branislav Ivanovic,38.0, D(CR),185.0,80.0,32(2),32.0,2,2830.0,2.2,2.0,1.8,0.5,4.3,0.3,0.2,0.0,7.24
4,28,48,Frank Lampard,44.0, M(C),184.0,89.0,23(1),23.0,1,2026.0,2.2,1.2,0.4,0.0,0.8,0.8,0.3,0.0,7.37
5,29,70,John Terry,41.0, D(C),187.0,90.0,33,33.0,0,2962.0,2.2,1.6,0.9,0.6,5.1,0.4,0.8,0.0,7.31
6,30,15464,John Obi Mikel,35.0, M(C),188.0,83.0,28,28.0,0,2219.0,1.9,2.0,1.1,0.1,0.9,0.8,0.3,0.0,7.07
7,31,7010,Paulo Ferreira,43.0, D(R),181.0,76.0,12(9),12.0,9,1038.0,1.9,1.3,0.4,0.0,1.5,0.4,0.3,0.0,6.65
8,32,10685,José Bosingwa,40.0, D(CLR),183.0,75.0,13(7),13.0,7,1263.0,1.7,1.9,0.4,0.1,1.4,0.7,0.2,1.0,6.82
9,33,1832,Michael Essien,39.0," D(R),DMC",183.0,78.0,32(1),32.0,1,2802.0,1.5,1.6,1.2,0.1,1.0,0.5,0.3,0.0,7.24
10,34,27586,David Luiz,35.0," D(C),DMC",189.0,84.0,11(1),11.0,1,954.0,1.4,3.0,1.5,0.3,4.3,0.8,0.7,0.0,7.17
11,35,80881,Jeffrey Bruma,30.0, D(C),190.0,88.0,1(1),1.0,1,108.0,1.0,1.5,0.5,0.0,6.0,0.0,0.0,0.0,6.65
12,36,92324,Josh McEachran,29.0, M(C),178.0,66.0,1(8),1.0,8,172.0,1.0,0.2,0.6,0.1,0.0,0.3,0.1,0.0,6.2
13,37,22846,Ryan Bertrand,33.0," D(CL),M(L)",179.0,85.0,0(1),0.0,1,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82
14,38,7252,Yuri Zhirkov,39.0," D(L),M(CL)",180.0,75.0,6(6),6.0,6,606.0,1.0,0.9,0.8,0.0,0.3,0.3,0.1,0.0,6.77
15,39,527,Nicolas Anelka,43.0, FW,185.0,77.0,27(5),27.0,5,2364.0,0.9,0.6,0.5,0.0,0.1,0.2,0.0,0.0,7.1
16,40,4056,Fernando Torres,38.0, FW,186.0,79.0,8(6),8.0,6,762.0,0.9,0.3,1.0,0.0,0.1,0.0,0.1,0.0,6.53
17,41,4384,Didier Drogba,44.0, FW,189.0,91.0,30(6),30.0,6,2793.0,0.8,0.7,1.6,0.0,1.0,0.6,0.3,0.0,7.55
18,42,8028,Salomon Kalou,37.0," AM(CLR),FW",185.0,79.0,16(15),16.0,15,1563.0,0.7,0.5,0.6,0.0,0.1,0.3,0.0,0.0,6.86
19,43,1563,Florent Malouda,42.0, M(CL),184.0,73.0,33(5),33.0,5,2810.0,0.7,1.1,0.6,0.0,0.5,0.4,0.1,0.0,7.44
20,44,4490,Yossi Benayoun,42.0, M(R),178.0,70.0,1(6),1.0,6,203.0,0.7,0.3,0.0,0.0,0.1,0.7,0.0,0.0,6.45
21,45,70291,Gaël Kakuta,31.0," M(CLR),FW",173.0,64.0,1(4),1.0,4,121.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,6.1
22,46,23736,Daniel Sturridge,33.0," M(R),FW",188.0,76.0,0(13),0.0,13,147.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,6.11
23,47,6775,Petr Cech,40.0, GK,196.0,90.0,38,38.0,0,3420.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,6.85
