,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,33,303379,Donald Love,27.0," D(LR),M(CR)",178.0,72.0,0(1),0.0,1,53.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.8
1,34,145385,Guillermo Varela,29.0, D(LR),173.0,70.0,3(1),3.0,1,315.0,3.3,3.0,1.3,0.0,1.5,2.3,0.0,0.0,6.83
2,35,23220,Matteo Darmian,32.0," D(CLR),M(LR)",182.0,70.0,24(4),24.0,4,1932.0,3.0,1.5,1.0,0.3,1.9,1.0,0.1,0.0,6.91
3,36,70033,Daley Blind,32.0," D(CL),DMC,M(L)",180.0,72.0,35,35.0,0,3117.0,2.7,2.3,0.8,0.5,3.4,0.8,0.6,0.0,7.14
4,37,70050,Marcos Rojo,32.0, D(CL),186.0,82.0,15(1),15.0,1,1254.0,2.7,1.7,1.3,0.0,2.0,0.9,0.3,0.0,6.93
5,38,29544,Morgan Schneiderlin,32.0, DMC,181.0,75.0,25(4),25.0,4,2205.0,2.4,2.5,1.8,0.0,1.7,0.8,0.2,0.0,6.92
6,39,71174,Ander Herrera,33.0, M(C),182.0,71.0,17(10),17.0,10,1538.0,2.1,0.9,1.0,0.0,0.6,1.3,0.2,0.0,6.77
7,40,4567,Bastian Schweinsteiger,38.0," D(C),M(C)",183.0,79.0,13(5),13.0,5,1205.0,2.0,1.3,1.1,0.0,0.9,0.9,0.2,0.0,6.78
8,41,18296,Antonio Valencia,37.0," D(R),M(R)",180.0,83.0,8(6),8.0,6,855.0,1.9,1.1,1.1,0.1,1.3,0.6,0.4,0.0,7.05
9,42,118244,Luke Shaw,27.0," D(CL),M(L)",185.0,75.0,5,5.0,0,450.0,1.8,1.0,1.6,0.6,3.8,1.4,0.4,0.0,7.36
10,43,71345,Chris Smalling,32.0, D(CR),194.0,81.0,35,35.0,0,3150.0,1.6,2.8,1.3,0.5,5.1,0.4,0.5,1.0,7.17
11,44,2115,Michael Carrick,41.0," D(C),M(C)",188.0,74.0,22(6),22.0,6,1975.0,1.5,1.6,0.4,0.1,1.3,0.7,0.1,0.0,6.66
12,45,109000,Jesse Lingard,29.0," AM(CLR),FW",175.0,62.0,19(6),19.0,6,1635.0,1.5,0.6,1.0,0.0,0.4,1.2,0.0,0.0,6.71
13,46,312739,Timothy Fosu-Mensah,24.0, D(CR),185.0,80.0,2(6),2.0,6,254.0,1.5,1.6,0.3,0.1,1.8,0.3,0.1,0.0,6.7
14,47,22738,Marouane Fellaini,34.0, M(C),194.0,85.0,12(6),12.0,6,1070.0,1.4,0.6,1.8,0.0,1.2,0.6,0.1,0.0,6.78
15,48,244565,Patrick McNair,27.0," D(CR),M(C)",183.0,72.0,3(5),3.0,5,312.0,1.1,0.6,0.5,0.1,1.6,1.4,0.0,0.0,6.23
16,49,8166,Ashley Young,37.0," D(LR),M(LR)",175.0,65.0,11(7),11.0,7,1063.0,1.1,1.4,0.8,0.1,1.0,0.6,0.0,0.0,6.6
17,50,3859,Wayne Rooney,36.0," M(CLR),FW",176.0,83.0,27(1),27.0,1,2410.0,1.0,0.3,1.0,0.0,0.5,0.6,0.3,0.0,7.06
18,51,81726,Phil Jones,30.0," D(CR),DMC",180.0,71.0,6(4),6.0,4,529.0,0.9,1.3,0.4,0.0,2.4,0.1,0.1,0.0,6.68
19,52,25363,Juan Mata,34.0, AM(CLR),170.0,63.0,34(4),34.0,4,2902.0,0.8,0.6,0.6,0.0,0.5,1.2,0.0,0.0,6.8
20,53,136454,Cameron Borthwick-Jackson,25.0," D(CL),M(CL)",183.0,78.0,6(4),6.0,4,692.0,0.8,1.1,0.8,0.1,1.7,0.8,0.4,0.0,6.7
21,54,122366,Anthony Martial,26.0," AM(LR),FW",181.0,76.0,29(2),29.0,2,2632.0,0.7,0.3,1.3,0.0,0.6,0.6,0.1,0.0,7.23
22,55,300299,Marcus Rashford,24.0," AM(CLR),FW",180.0,70.0,11,11.0,0,862.0,0.6,0.2,0.5,0.0,0.8,0.3,0.4,0.0,6.94
23,56,110154,Memphis Depay,28.0," AM(CL),FW",176.0,78.0,16(13),16.0,13,1478.0,0.4,0.3,0.7,0.0,0.3,0.4,0.0,0.0,6.38
24,57,243254,Andreas Pereira,26.0, M(CLR),178.0,71.0,0(4),0.0,4,80.0,0.3,0.3,0.5,0.0,0.0,1.0,0.0,0.0,6.22
25,58,130334,Adnan Januzaj,27.0, AM(CLR),186.0,76.0,2(3),2.0,3,144.0,0.2,0.0,1.0,0.0,0.2,0.2,0.0,0.0,6.33
26,59,79554,David de Gea,31.0, GK,192.0,76.0,34,34.0,0,3060.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,6.66
27,60,302386,James Weir,27.0, M(C),177.0,71.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
28,61,145271,James Wilson,26.0," AM(CR),FW",183.0,73.0,0(1),0.0,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13
29,62,35003,Chicharito,34.0, FW,175.0,73.0,0(1),0.0,1,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45
30,63,90211,Nick Powell,28.0," AM(CLR),FW",183.0,65.0,0(1),0.0,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03
31,64,33831,Sergio Romero,35.0, GK,192.0,87.0,4,4.0,0,360.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.35
32,65,107940,Will Keane,29.0," AM(C),FW",188.0,78.0,0(1),0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
