,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,23,68659,Jordan Henderson,32.0," D(C),M(CLR)",182.0,67.0,24,24.0,0,2118.0,3.7,1.7,1.2,0.0,1.7,1.6,0.1,0.0,7.3
1,24,4511,James Milner,36.0," D(LR),M(CLR)",175.0,70.0,36,36.0,0,3160.0,2.6,1.2,1.1,0.3,2.8,1.4,0.1,0.0,7.26
2,25,69375,Nathaniel Clyne,31.0," D(LR),M(R)",175.0,67.0,37,37.0,0,3324.0,2.2,1.2,0.4,0.4,1.5,0.6,0.1,0.0,6.8
3,26,111212,Emre Can,28.0," D(CLR),DMC",186.0,86.0,26(6),26.0,6,2368.0,2.1,1.0,2.2,0.0,1.6,1.0,0.1,0.0,7.05
4,27,96182,Roberto Firmino,31.0," M(CLR),FW",181.0,76.0,34(1),34.0,1,3069.0,1.7,0.7,1.5,0.0,0.4,1.5,0.1,0.0,7.54
5,28,21683,Adam Lallana,34.0, M(CLR),172.0,73.0,27(4),27.0,4,2350.0,1.6,0.6,0.5,0.0,0.7,1.3,0.1,0.0,7.1
6,29,74341,Joël Matip,31.0, D(C),195.0,90.0,27(2),27.0,2,2456.0,1.6,1.6,0.5,0.9,5.3,0.2,0.4,0.0,7.11
7,30,31451,Lucas Leiva,35.0," D(C),M(C)",179.0,74.0,12(12),12.0,12,1105.0,1.5,1.5,0.8,0.1,2.5,0.8,0.2,0.0,6.68
8,31,29106,Dejan Lovren,33.0, D(C),188.0,84.0,29,29.0,0,2555.0,1.4,1.6,0.9,1.1,6.3,0.6,0.6,0.0,7.13
9,32,33568,Georginio Wijnaldum,31.0, M(CLR),175.0,69.0,33(3),33.0,3,2978.0,1.3,0.7,0.6,0.0,0.9,0.9,0.1,0.0,6.95
10,33,10839,Ragnar Klavan,36.0, D(C),187.0,85.0,15(5),15.0,5,1408.0,1.3,0.7,0.8,0.8,4.6,0.4,0.5,0.0,6.68
11,34,80767,Philippe Coutinho,30.0, M(CLR),172.0,68.0,28(3),28.0,3,2245.0,1.1,0.6,0.6,0.0,0.2,1.5,0.0,0.0,7.56
12,35,109915,Sadio Mané,30.0," AM(CLR),FW",175.0,69.0,26(1),26.0,1,2248.0,0.9,0.3,1.2,0.0,0.4,0.7,0.0,0.0,7.51
13,36,330818,Ben Woodburn,22.0, AM(CL),174.0,72.0,1(4),1.0,4,84.0,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,6.14
14,37,318871,Trent Alexander-Arnold,23.0," D(R),M(R)",175.0,69.0,2(5),2.0,5,166.0,0.6,0.4,0.1,0.0,1.6,0.6,0.1,0.0,6.2
15,38,113275,Alberto Moreno,30.0," D(L),M(L)",171.0,65.0,2(10),2.0,10,298.0,0.5,0.2,0.2,0.1,1.4,0.4,0.0,0.0,6.28
16,39,327852,Ovie Ejaria,24.0, M(CL),183.0,75.0,0(2),0.0,2,6.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6.1
17,40,124688,Divock Origi,27.0," AM(LR),FW",185.0,75.0,14(20),14.0,20,1460.0,0.3,0.1,0.6,0.0,0.1,0.1,0.1,0.0,6.5
18,41,244779,Marko Grujic,26.0, DMC,191.0,86.0,0(5),0.0,5,38.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,6.22
19,42,23736,Daniel Sturridge,33.0," M(R),FW",188.0,76.0,7(13),7.0,13,769.0,0.0,0.1,0.3,0.0,0.0,0.1,0.1,0.0,6.67
20,43,107846,Kevin Stewart,29.0, DMC,181.0,73.0,0(4),0.0,4,18.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,6.13
21,44,107176,Loris Karius,29.0, GK,189.0,87.0,10,10.0,0,900.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,6.34
22,45,52197,Simon Mignolet,34.0, GK,193.0,87.0,28,28.0,0,2520.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.72
