,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,25,323663,Cristian Romero,24.0, D(C),185.0,79.0,21(1),21.0,1,1846.0,2.8,1.5,1.3,0.1,3.3,0.5,1.0,0.0,6.92
1,26,328512,Emerson Royal,23.0," D(R),M(R)",181.0,79.0,26(5),26.0,5,2291.0,2.3,0.7,0.9,0.1,2.5,1.0,0.1,0.0,6.87
2,27,101859,Pierre-Emile Højbjerg,27.0, M(C),187.0,84.0,36,36.0,0,3199.0,2.2,1.3,0.8,0.0,1.4,1.3,0.4,0.0,7.16
3,28,303657,Rodrigo Bentancur,25.0, M(C),187.0,72.0,16(1),16.0,1,1367.0,2.1,1.2,1.3,0.1,1.9,0.9,0.5,0.0,7.24
4,29,364215,Oliver Skipp,22.0, DMC,175.0,70.0,14(4),14.0,4,1349.0,1.8,0.7,0.9,0.0,0.4,0.9,0.4,0.0,6.57
5,30,322655,Davinson Sánchez,26.0, D(C),187.0,81.0,17(6),17.0,6,1626.0,1.8,1.3,0.7,0.3,2.3,0.4,0.7,0.0,6.87
6,31,322611,Ryan Sessegnon,22.0," D(L),M(LR)",178.0,70.0,13(2),13.0,2,1054.0,1.7,0.5,1.3,0.1,1.5,0.7,0.2,0.0,6.68
7,32,362275,Sergio Reguilón,25.0," D(L),M(L)",178.0,68.0,22(3),22.0,3,1923.0,1.6,1.2,0.9,0.2,1.6,0.8,0.3,0.0,6.95
8,33,131519,Dele Alli,26.0," M(CL),FW",188.0,76.0,8(2),8.0,2,658.0,1.4,0.6,1.2,0.0,1.4,1.2,0.5,0.0,6.53
9,34,384063,Japhet Tanganga,23.0, D(CR),184.0,76.0,10(1),10.0,1,740.0,1.3,0.8,1.7,0.0,2.7,0.9,0.5,0.0,6.52
10,35,103837,Ben Davies,29.0," D(CL),M(L)",181.0,76.0,28(1),28.0,1,2540.0,1.2,1.0,1.1,0.3,2.5,0.4,0.7,0.0,6.78
11,36,94042,Matt Doherty,30.0," D(LR),M(LR)",185.0,80.0,9(6),9.0,6,874.0,1.2,0.9,0.7,0.1,1.3,0.4,0.1,0.0,6.96
12,37,321389,Tanguy Ndombélé,25.0, M(C),181.0,76.0,6(3),6.0,3,486.0,1.1,0.1,0.3,0.0,0.1,0.8,0.0,0.0,6.46
13,38,355855,Dejan Kulusevski,22.0," AM(CR),FW",186.0,80.0,14(4),14.0,4,1267.0,1.1,0.7,1.1,0.0,0.1,1.0,0.0,0.0,7.19
14,39,303908,Giovani Lo Celso,26.0," M(CR),FW",177.0,68.0,2(7),2.0,7,233.0,0.9,0.1,0.2,0.0,0.0,0.7,0.1,0.0,6.3
15,40,143990,Harry Winks,26.0, DMC,178.0,65.0,9(10),9.0,10,908.0,0.8,0.8,0.6,0.0,0.4,0.7,0.2,0.0,6.43
16,41,92508,Lucas Moura,30.0," AM(CLR),FW",172.0,72.0,19(15),19.0,15,1774.0,0.7,0.5,0.6,0.0,0.5,0.8,0.0,0.0,6.82
17,42,117973,Eric Dier,28.0," D(CR),DMC",188.0,88.0,35,35.0,0,3072.0,0.4,0.8,0.3,0.3,4.0,0.2,0.9,1.0,6.77
18,43,91909,Son Heung-Min,30.0," M(CLR),FW",183.0,78.0,35,35.0,0,3021.0,0.4,0.4,0.4,0.0,0.2,0.5,0.2,0.0,7.51
19,44,83532,Harry Kane,29.0," AM(C),FW",188.0,86.0,36(1),36.0,1,3232.0,0.4,0.1,1.1,0.1,1.1,0.3,0.2,0.0,7.45
20,45,368519,Bryan Gil,21.0, AM(CLR),175.0,60.0,0(9),0.0,9,86.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,6.15
21,46,279425,Steven Bergwijn,24.0," AM(CLR),FW",178.0,78.0,4(21),4.0,21,551.0,0.1,0.0,0.4,0.0,0.3,0.4,0.0,0.0,6.25
22,47,25604,Hugo Lloris,35.0, GK,188.0,82.0,38,38.0,0,3420.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,6.79
23,48,407154,Dane Scarlett,18.0, FW,180.0,76.0,0(1),0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
24,49,302312,Joe Rodon,24.0, D(C),180.0,70.0,0(3),0.0,3,87.0,0.0,0.0,0.0,0.0,2.3,0.0,0.3,0.0,6.09
