,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,31,43824,Daniel Carriço,34.0," D(C),DMC",180.0,79.0,22,22.0,0,1939.0,3.6,2.2,2.2,0.3,3.0,1.1,0.3,0.0,7.16
1,32,149123,Antonio Cotán,27.0, Midfielder,175.0,69.0,2,2.0,0,180.0,3.0,1.5,2.5,0.0,0.5,3.0,0.0,0.0,7.06
2,33,44486,Coke,35.0," D(CLR),M(R)",182.0,78.0,23(2),23.0,2,2081.0,2.8,2.0,1.9,0.2,1.9,1.6,0.4,0.0,7.01
3,34,96207,Diogo Figueiras,31.0," D(LR),M(R)",168.0,64.0,19(3),19.0,3,1767.0,2.5,2.2,1.0,0.1,1.4,1.1,0.3,0.0,6.71
4,35,34052,Vicente Iborra,34.0, M(C),190.0,80.0,25(2),25.0,2,2121.0,2.4,1.6,2.1,0.1,2.7,1.0,0.4,0.0,7.15
5,36,141354,Moi Delgado,28.0, Defender,173.0,66.0,1(1),1.0,1,93.0,2.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,6.15
6,37,110911,Sebastián Cristóforo,29.0, M(C),175.0,68.0,4(8),4.0,8,525.0,2.0,1.1,1.3,0.0,0.4,0.8,0.1,0.0,6.54
7,38,19193,Nicolás Pareja,38.0, D(C),181.0,75.0,23(2),23.0,2,1970.0,1.8,1.8,0.9,0.3,4.1,0.3,0.7,0.0,6.84
8,39,4387,Fernando Navarro,40.0, D(CL),177.0,70.0,21(2),21.0,2,1924.0,1.8,2.0,1.2,0.3,3.7,0.4,0.4,0.0,6.79
9,40,113275,Alberto Moreno,30.0," D(L),M(L)",171.0,65.0,27(1),27.0,1,2409.0,1.8,2.5,1.1,0.0,1.4,0.8,0.3,0.0,6.92
10,41,91430,Vitolo,32.0," M(CLR),FW",185.0,80.0,25(4),25.0,4,2198.0,1.8,1.1,1.8,0.0,0.6,0.7,0.0,0.0,6.97
11,42,18539,Stéphane Mbia,36.0," D(C),M(C)",189.0,82.0,18(1),18.0,1,1508.0,1.7,1.8,2.3,0.0,1.6,0.6,0.5,0.0,7.2
12,43,22732,Ivan Rakitic,34.0, M(C),184.0,78.0,29(4),29.0,4,2676.0,1.7,1.8,0.8,0.0,0.8,0.7,0.2,0.0,7.61
13,44,91978,Geoffrey Kondogbia,29.0," D(C),DMC",188.0,80.0,0(2),0.0,2,90.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,6.47
14,45,34524,Juan Cala,32.0, D(C),185.0,78.0,9,9.0,0,771.0,1.4,2.9,1.3,0.6,4.9,0.4,0.4,0.0,6.74
15,46,6176,José Antonio Reyes,39.0, M(CLR),176.0,72.0,15(5),15.0,5,1176.0,1.3,1.2,0.9,0.0,0.3,1.2,0.0,0.0,6.83
16,47,29908,Federico Fazio,35.0, D(C),195.0,85.0,27,27.0,0,2387.0,1.2,3.1,0.9,0.4,7.3,0.5,0.7,0.0,7.43
17,48,31388,Diego Perotti,34.0," M(CLR),FW",179.0,70.0,3(7),3.0,7,403.0,1.1,0.5,0.3,0.1,0.4,0.3,0.1,0.0,6.77
18,49,110297,Denis Cheryshev,31.0," AM(L),FW",179.0,74.0,1(3),1.0,3,91.0,1.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,6.18
19,50,107023,Jairo Samperio,29.0, M(LR),173.0,69.0,16(7),16.0,7,1354.0,0.8,0.5,0.6,0.0,0.2,0.3,0.0,0.0,6.56
20,51,6111,Piotr Trochowski,38.0, M(CL),169.0,72.0,9(9),9.0,9,846.0,0.6,0.4,0.8,0.0,0.2,0.4,0.1,0.0,6.32
21,52,23205,Marko Marin,33.0, M(CLR),170.0,64.0,10(7),10.0,7,930.0,0.6,0.3,0.4,0.0,0.1,0.3,0.1,0.0,6.63
22,53,87525,Bryan Rabello,28.0, Midfielder,167.0,70.0,2(4),2.0,4,206.0,0.5,0.7,0.5,0.0,0.3,0.5,0.2,0.0,6.33
23,54,19453,Kevin Gameiro,35.0, FW,172.0,70.0,20(15),20.0,15,1890.0,0.5,0.2,0.4,0.0,0.3,0.3,0.0,0.0,6.73
24,55,71687,Carlos Bacca,36.0, FW,181.0,77.0,27(7),27.0,7,2290.0,0.4,0.3,0.9,0.0,0.8,0.2,0.1,0.0,7.01
25,56,140812,Carlos Fernández,26.0," AM(C),FW",185.0,72.0,2(2),2.0,2,207.0,0.3,0.3,1.0,0.0,0.8,0.0,0.0,0.0,6.44
26,57,33966,Beto,40.0, GK,182.0,81.0,33,33.0,0,2927.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,6.76
27,58,116218,Israel Puerto,29.0, Defender,187.0,75.0,0(3),0.0,3,38.0,0.0,0.7,0.0,0.0,1.3,0.3,0.0,0.0,6.19
28,59,25644,Javi Varas,40.0, GK,182.0,74.0,5(1),5.0,1,495.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.86
29,60,148570,Mode,28.0, Defender,0.0,0.0,0(1),0.0,1,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.09
30,61,42692,Raul Andrei Rusescu,34.0," AM(C),FW",181.0,73.0,0(1),0.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
