,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,25,22152,Filipe Luís,37.0, D(L),181.0,77.0,32,32.0,0,2834.0,3.9,2.7,0.9,0.0,1.7,0.5,0.2,0.0,7.6
1,26,112161,Saúl Ñíguez,27.0," D(CL),M(CLR)",184.0,76.0,26(5),26.0,5,2329.0,3.0,1.8,1.5,0.1,1.5,1.1,0.4,0.0,7.37
2,27,10053,Gabi,39.0, M(C),180.0,74.0,34(1),34.0,1,2883.0,3.0,2.2,1.9,0.0,0.9,1.9,0.3,0.0,7.22
3,28,20665,Guilherme Siqueira,36.0, D(L),182.0,81.0,1,1.0,0,90.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,6.97
4,29,80764,Koke,30.0, M(CLR),176.0,77.0,34(1),34.0,1,2973.0,2.9,1.4,1.0,0.0,0.8,1.3,0.1,0.0,7.49
5,30,25956,Augusto Fernández,36.0, M(CR),177.0,73.0,11(2),11.0,2,857.0,2.4,2.7,1.2,0.0,0.3,2.2,0.0,0.0,6.87
6,31,26059,Diego Godín,36.0, D(C),187.0,78.0,31,31.0,0,2651.0,2.3,3.3,1.2,0.1,5.1,0.3,0.3,0.0,7.52
7,32,18538,Jesús Gámez,37.0, D(LR),177.0,75.0,7(3),7.0,3,727.0,2.1,1.6,0.6,0.1,3.2,1.3,0.4,0.0,6.84
8,33,10332,Juanfran,37.0, D(R),181.0,71.0,34(1),34.0,1,3030.0,2.1,1.9,1.2,0.1,1.5,0.5,0.2,0.0,7.06
9,34,135914,José Giménez,27.0, D(CR),185.0,80.0,27,27.0,0,2430.0,2.1,2.5,1.0,0.4,5.4,0.7,0.7,0.0,7.22
10,35,8128,Tiago,41.0, M(C),184.0,75.0,12(2),12.0,2,1053.0,1.9,2.4,1.1,0.0,1.6,0.8,0.4,0.0,7.14
11,36,139186,Lucas Hernández,26.0, D(CL),184.0,79.0,8(2),8.0,2,834.0,1.9,3.1,0.8,0.0,3.5,0.2,0.4,0.0,7.04
12,37,238940,Thomas Partey,29.0," D(R),M(CR)",185.0,77.0,3(10),3.0,10,433.0,1.7,1.2,0.8,0.0,0.2,0.3,0.0,0.0,6.74
13,38,80241,Antoine Griezmann,31.0," AM(CLR),FW",176.0,73.0,36(2),36.0,2,3058.0,1.5,1.0,0.8,0.0,0.8,0.7,0.1,0.0,7.5
14,39,130446,Matías Kranevitter,29.0, DMC,178.0,74.0,3(5),3.0,5,325.0,1.3,0.6,1.1,0.0,0.9,0.0,0.0,0.0,6.32
15,40,113708,Óliver Torres,27.0, M(CLR),178.0,70.0,9(12),9.0,12,815.0,1.0,0.6,0.5,0.0,0.1,1.0,0.0,0.0,6.47
16,41,11386,Raúl García,36.0," M(CLR),FW",184.0,83.0,0(1),0.0,1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22
17,42,77564,Stefan Savic,31.0, D(C),187.0,81.0,10(2),10.0,2,925.0,1.0,1.7,0.5,0.0,4.3,0.4,0.4,0.0,6.97
18,43,127604,Ángel Correa,27.0," AM(CLR),FW",171.0,70.0,8(18),8.0,18,949.0,0.9,0.4,0.8,0.0,0.0,0.5,0.1,0.0,6.71
19,44,115472,Yannick Carrasco,29.0," M(CLR),FW",185.0,73.0,16(13),16.0,13,1502.0,0.8,0.8,1.1,0.0,0.2,0.3,0.1,0.0,6.94
20,45,125543,Luciano Vietto,28.0," AM(CLR),FW",174.0,69.0,12(7),12.0,7,966.0,0.7,0.2,0.7,0.0,0.1,0.5,0.1,0.0,6.48
21,46,4056,Fernando Torres,38.0, FW,186.0,79.0,17(13),17.0,13,1692.0,0.6,0.2,0.8,0.0,0.5,0.3,0.1,0.0,6.98
22,47,27494,Jackson Martínez,36.0, FW,185.0,79.0,8(7),8.0,7,657.0,0.2,0.4,1.3,0.0,0.5,0.2,0.1,0.0,6.63
23,48,76662,Jan Oblak,29.0, GK,188.0,87.0,38,38.0,0,3420.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,6.83
24,49,303114,Nacho Monsalve,28.0, Defender,180.0,74.0,1,1.0,0,90.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.57
