,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,88526,Casemiro,30.0, DMC,185.0,84.0,30,30.0,0,2601.0,3.6,2.1,2.0,0.2,1.5,1.4,0.4,0.0,7.49
1,25,106883,Daniel Carvajal,30.0, D(R),173.0,73.0,25,25.0,0,2223.0,2.4,1.5,1.9,0.1,1.4,0.6,0.6,0.0,7.06
2,26,320834,Achraf Hakimi,23.0," D(LR),M(R)",181.0,73.0,8(1),8.0,1,757.0,2.3,1.1,0.9,0.2,1.8,1.6,0.1,0.0,7.34
3,27,106875,Nacho,32.0, D(CLR),180.0,76.0,22(5),22.0,5,2073.0,2.0,1.7,1.2,0.4,1.8,0.7,0.3,1.0,6.9
4,28,31772,Toni Kroos,32.0, M(C),183.0,76.0,26(1),26.0,1,2268.0,2.0,0.6,0.8,0.0,0.3,1.4,0.1,0.0,7.47
5,29,20241,Marcelo,34.0," D(L),M(L)",174.0,75.0,26(2),26.0,2,2262.0,1.9,1.1,0.9,0.1,0.5,1.3,0.1,0.0,7.07
6,30,93894,Mateo Kovacic,28.0, M(CL),178.0,78.0,10(11),10.0,11,989.0,1.8,0.2,0.5,0.0,0.2,0.9,0.2,0.0,6.73
7,31,303115,Theo Hernández,24.0," D(L),M(L)",184.0,81.0,10(3),10.0,3,963.0,1.6,1.3,0.8,0.2,1.3,0.9,0.2,0.0,6.98
8,32,9909,Sergio Ramos,36.0, D(CR),184.0,82.0,26,26.0,0,2292.0,1.5,1.8,1.4,0.6,3.2,0.3,0.5,1.0,7.09
9,33,144511,Lucas Vázquez,31.0," D(R),M(R)",173.0,70.0,16(17),16.0,17,1670.0,1.5,0.2,1.0,0.0,0.2,0.9,0.1,0.0,6.91
10,34,20874,Luka Modric,37.0, M(C),172.0,66.0,23(3),23.0,3,1976.0,1.3,1.2,0.8,0.0,0.3,1.0,0.2,0.0,7.29
11,35,254582,Marcos Llorente,27.0," D(R),M(CR),FW",184.0,74.0,5(8),5.0,8,540.0,1.2,0.4,0.5,0.2,0.6,0.4,0.0,0.0,6.45
12,36,238901,Jesús Vallejo,25.0, D(CR),184.0,79.0,7,7.0,0,630.0,1.1,2.3,0.3,1.1,3.0,0.4,0.7,0.0,6.95
13,37,93206,Raphaël Varane,29.0, D(C),191.0,81.0,27,27.0,0,2324.0,1.0,1.2,0.7,0.8,4.0,0.3,0.4,0.0,6.85
14,38,137467,Marco Asensio,26.0," AM(CLR),FW",182.0,76.0,19(13),19.0,13,1839.0,0.8,0.3,0.3,0.0,0.1,0.5,0.0,0.0,7.02
15,39,82989,Isco,30.0," M(CLR),FW",176.0,79.0,21(9),21.0,9,1781.0,0.7,0.5,0.6,0.0,0.0,1.0,0.0,0.0,7.16
16,40,13812,Gareth Bale,33.0," M(CLR),FW",185.0,81.0,20(6),20.0,6,1803.0,0.7,0.5,1.0,0.0,0.5,0.4,0.0,0.0,7.49
17,41,144890,Dani Ceballos,26.0, M(CL),179.0,70.0,4(8),4.0,8,397.0,0.7,0.4,0.6,0.0,0.1,1.0,0.0,0.0,6.57
18,42,14296,Karim Benzema,34.0, FW,185.0,81.0,25(7),25.0,7,2156.0,0.4,0.3,0.6,0.0,0.6,0.5,0.0,0.0,7.0
19,43,278721,Borja Mayoral,25.0, FW,182.0,74.0,3(11),3.0,11,338.0,0.4,0.0,0.3,0.0,0.0,0.3,0.0,0.0,6.52
20,44,5583,Cristiano Ronaldo,37.0," M(L),FW",187.0,83.0,27,27.0,0,2293.0,0.3,0.2,0.7,0.0,0.5,0.2,0.1,0.0,7.94
21,45,23154,Kiko Casilla,36.0, GK,190.0,86.0,10,10.0,0,900.0,0.1,0.2,0.0,0.0,0.8,0.0,0.0,0.0,6.53
22,46,65901,Keylor Navas,35.0, GK,185.0,80.0,27,27.0,0,2430.0,0.1,0.1,0.0,0.0,0.5,0.0,0.0,0.0,6.94
23,47,320833,Luca Zidane,24.0, GK,183.0,78.0,1,1.0,0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.17
