,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,30,361710,Jean-Clair Todibo,22.0, D(C),192.0,88.0,2,2.0,0,158.0,3.5,1.5,2.0,0.5,3.5,0.5,0.0,0.0,6.97
1,31,44721,Sergio Busquets,34.0, DMC,189.0,76.0,30(5),30.0,5,2720.0,2.6,1.5,1.1,0.0,0.6,1.4,0.2,0.0,7.0
2,32,25008,Arturo Vidal,35.0, M(CR),180.0,75.0,22(11),22.0,11,1929.0,2.4,0.9,1.8,0.1,0.6,1.2,0.2,0.0,6.89
3,33,236511,Clément Lenglet,27.0, D(C),186.0,81.0,22(1),22.0,1,1935.0,2.0,0.9,1.3,0.7,3.0,0.6,0.9,1.0,6.88
4,34,281010,Moussa Wagué,24.0, D(R),177.0,70.0,2(1),2.0,1,225.0,2.0,1.3,3.0,0.3,0.7,1.3,0.0,0.0,6.65
5,35,106590,Rafinha,30.0, M(CLR),174.0,71.0,3(2),3.0,2,225.0,1.6,0.2,1.4,0.0,0.4,0.0,0.2,0.0,6.33
6,36,372827,Riqui Puig,23.0, M(C),169.0,56.0,2,2.0,0,157.0,1.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,6.44
7,37,296363,Nélson Semedo,28.0," D(LR),M(R)",177.0,67.0,20(6),20.0,6,1602.0,1.5,0.8,0.8,0.1,0.7,0.2,0.3,0.0,6.68
8,38,12712,Gerard Piqué,35.0, D(C),194.0,85.0,35,35.0,0,3150.0,1.2,1.0,0.7,0.4,4.2,0.4,0.8,0.0,7.18
9,39,44288,Jordi Alba,33.0," D(L),M(L)",170.0,68.0,32(4),32.0,4,2988.0,1.2,1.7,0.7,0.4,1.6,0.8,0.2,0.0,7.01
10,40,372828,Abel Ruiz,22.0, FW,180.0,75.0,0(1),0.0,1,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
11,41,373838,Álex Collado,23.0, AM(CR),177.0,66.0,0(1),0.0,1,84.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.96
12,42,109565,Jeison Murillo,30.0, D(C),182.0,78.0,1(1),1.0,1,112.0,1.0,0.0,0.0,0.5,2.5,1.5,0.0,0.0,6.46
13,43,11867,Kevin-Prince Boateng,35.0," M(CLR),FW",187.0,85.0,3,3.0,0,240.0,1.0,0.3,1.0,0.0,1.3,0.3,0.0,0.0,6.22
14,44,90782,Sergi Roberto,30.0," D(R),M(CR)",178.0,68.0,23(6),23.0,6,2089.0,1.0,1.5,0.6,0.1,0.9,0.3,0.1,0.0,6.91
15,45,22732,Ivan Rakitic,34.0, M(C),184.0,78.0,29(5),29.0,5,2643.0,0.9,1.5,0.8,0.1,0.8,0.7,0.2,0.0,7.06
16,46,299513,Ousmane Dembélé,25.0," AM(CLR),FW",178.0,67.0,20(9),20.0,9,1673.0,0.8,0.2,0.8,0.0,0.1,0.4,0.0,0.0,7.25
17,47,10209,Thomas Vermaelen,36.0, D(CL),183.0,80.0,7(2),7.0,2,587.0,0.7,0.7,1.1,0.0,2.2,0.4,0.2,0.0,6.4
18,48,89931,Samuel Umtiti,28.0, D(CL),182.0,75.0,13(1),13.0,1,1190.0,0.6,1.3,0.9,0.4,1.9,0.1,0.6,0.0,6.6
19,49,284114,Arthur,26.0, DMC,171.0,73.0,19(8),19.0,8,1441.0,0.6,0.3,0.4,0.0,0.3,0.3,0.0,0.0,6.49
20,50,22221,Luis Suárez,35.0," AM(CLR),FW",182.0,86.0,31(2),31.0,2,2830.0,0.5,0.2,0.9,0.0,0.7,0.2,0.1,0.0,7.57
21,51,80767,Philippe Coutinho,30.0, M(CLR),172.0,68.0,22(12),22.0,12,2023.0,0.5,0.4,0.6,0.0,0.1,0.4,0.1,0.0,6.93
22,52,143158,Munir El Haddadi,27.0," AM(LR),FW",175.0,69.0,1(6),1.0,6,148.0,0.4,0.0,0.3,0.0,0.1,0.3,0.0,0.0,6.43
23,53,303268,Carles Aleñá,24.0, AM(CLR),180.0,73.0,6(11),6.0,11,631.0,0.4,0.1,0.5,0.1,0.0,0.4,0.0,0.0,6.44
24,54,11119,Lionel Messi,35.0," AM(CR),FW",170.0,72.0,29(5),29.0,5,2710.0,0.4,0.1,0.6,0.0,0.0,0.5,0.0,0.0,8.48
25,55,146780,Malcom,25.0, AM(CLR),171.0,74.0,6(9),6.0,9,608.0,0.2,0.1,0.3,0.1,0.1,0.1,0.0,0.0,6.53
26,56,374869,Carles Pérez,24.0, AM(CR),173.0,75.0,0(1),0.0,1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
27,57,106525,Denis Suárez,28.0, M(CLR),176.0,69.0,0(2),0.0,2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
28,58,90811,Jasper Cillessen,33.0, GK,185.0,83.0,3,3.0,0,270.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,6.36
29,59,80774,Marc-André ter Stegen,30.0, GK,187.0,85.0,35,35.0,0,3150.0,0.0,0.1,0.0,0.0,0.4,0.1,0.0,0.0,6.69
