,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,25,91978,Geoffrey Kondogbia,29.0," D(C),DMC",188.0,80.0,14(5),14.0,5,1244.0,2.5,1.4,1.1,0.0,1.2,0.8,0.4,0.0,6.95
1,26,119817,José Gayà,27.0," D(L),M(L)",172.0,66.0,35,35.0,0,3138.0,2.4,1.2,1.0,0.4,2.7,1.0,0.2,0.0,6.98
2,27,28186,Daniel Parejo,33.0, M(C),182.0,74.0,35(1),35.0,1,3063.0,2.0,1.3,0.8,0.0,0.6,1.6,0.2,0.0,7.4
3,28,109565,Jeison Murillo,30.0, D(C),182.0,78.0,1,1.0,0,90.0,2.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,6.9
4,29,38277,Facundo Roncaglia,35.0, D(CLR),179.0,76.0,7,7.0,0,603.0,1.9,1.4,0.9,0.1,3.0,0.3,0.3,0.0,6.64
5,30,69738,Francis Coquelin,31.0, M(CLR),176.0,74.0,20(6),20.0,6,1767.0,1.8,1.9,0.8,0.0,1.1,0.7,0.2,0.0,6.99
6,31,110297,Denis Cheryshev,31.0," AM(L),FW",179.0,74.0,19(8),19.0,8,1709.0,1.7,0.6,1.6,0.0,0.4,0.7,0.1,0.0,6.74
7,32,312580,Toni Lato,24.0, D(L),171.0,64.0,3(1),3.0,1,270.0,1.5,1.5,1.0,0.3,2.5,1.0,0.8,0.0,6.26
8,33,323250,Rubén Sobrino,30.0," AM(CLR),FW",185.0,73.0,2(2),2.0,2,192.0,1.5,0.3,1.5,0.0,0.3,0.0,0.3,0.0,6.33
9,34,94831,Cristiano Piccini,30.0, D(R),189.0,86.0,21(2),21.0,2,1868.0,1.4,1.2,0.8,0.2,2.5,0.6,0.3,0.0,6.83
10,35,313542,Carlos Soler,25.0, M(CLR),180.0,76.0,27(4),27.0,4,2466.0,1.3,0.6,1.7,0.0,1.0,1.6,0.2,1.0,6.77
11,36,247995,Gonçalo Guedes,25.0," AM(CLR),FW",179.0,68.0,18(7),18.0,7,1474.0,1.2,0.3,0.8,0.0,0.0,1.2,0.0,0.0,6.89
12,37,27254,Daniel Wass,33.0," D(LR),M(CLR)",181.0,74.0,26(6),26.0,6,2356.0,1.1,1.1,0.9,0.1,1.3,0.7,0.1,1.0,6.74
13,38,76810,Gabriel Paulista,31.0, D(CR),185.0,72.0,30,30.0,0,2625.0,1.0,2.3,0.8,0.6,5.2,0.5,0.7,0.0,6.93
14,39,14079,Ezequiel Garay,35.0, D(C),189.0,90.0,24,24.0,0,2137.0,0.8,0.7,0.8,0.4,5.7,0.4,1.0,0.0,6.92
15,40,367780,Lee Kang-In,21.0," AM(CR),FW",173.0,68.0,0(3),0.0,3,21.0,0.7,0.3,0.7,0.0,0.0,0.7,0.0,0.0,6.09
16,41,322095,Mouctar Diakhaby,25.0, D(C),189.0,78.0,16(6),16.0,6,1574.0,0.6,0.9,1.1,0.7,4.3,0.2,0.7,0.0,6.65
17,42,83459,Rodrigo,31.0," M(CLR),FW",182.0,77.0,29(4),29.0,4,2534.0,0.6,0.1,0.7,0.0,0.5,0.4,0.0,0.0,6.93
18,43,349760,Ferran Torres,22.0," AM(LR),FW",184.0,77.0,8(16),8.0,16,843.0,0.6,0.4,0.8,0.0,0.3,0.3,0.0,0.0,6.51
19,44,125838,Santi Mina,26.0," AM(LR),FW",181.0,77.0,23(7),23.0,7,1860.0,0.6,0.1,1.3,0.0,0.6,0.7,0.1,0.0,6.71
20,45,130356,Rúben Vezo,28.0, D(CR),182.0,80.0,2(2),2.0,2,194.0,0.5,0.5,1.0,0.0,2.0,0.5,0.3,0.0,6.57
21,46,19453,Kevin Gameiro,35.0, FW,172.0,70.0,16(17),16.0,17,1606.0,0.4,0.2,0.3,0.0,0.1,0.2,0.1,0.0,6.43
22,47,97803,Michy Batshuayi,29.0, FW,184.0,76.0,4(11),4.0,11,522.0,0.1,0.0,1.1,0.0,0.2,0.2,0.1,0.0,6.23
23,48,76202,Neto,33.0, GK,190.0,84.0,34,34.0,0,3060.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.7
24,49,136810,Jaume Doménech,31.0, GK,185.0,73.0,4,4.0,0,360.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,7.18
