,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,25,349561,André-Frank Zambo Anguissa,26.0, M(C),184.0,78.0,28(8),28.0,8,2582.0,2.1,1.2,1.2,0.0,0.8,1.4,0.2,0.0,7.06
1,26,34052,Vicente Iborra,34.0, M(C),190.0,80.0,33(1),33.0,1,2663.0,1.8,1.2,1.7,0.1,1.9,1.1,0.5,0.0,6.77
2,27,118479,Rubén Peña,31.0," D(R),M(LR)",170.0,65.0,21(5),21.0,5,1906.0,1.6,1.3,1.5,0.3,1.8,1.3,0.3,1.0,6.76
3,28,113275,Alberto Moreno,30.0," D(L),M(L)",171.0,65.0,17(1),17.0,1,1475.0,1.5,1.4,1.1,0.3,1.7,0.9,0.2,0.0,6.63
4,29,79909,Mario Gaspar,31.0," D(CR),M(R)",182.0,74.0,22(3),22.0,3,1962.0,1.4,1.0,1.4,0.2,2.4,0.6,0.4,0.0,6.64
5,30,4522,Santi Cazorla,37.0, M(CLR),168.0,65.0,29(6),29.0,6,2461.0,1.4,0.5,0.8,0.0,0.3,1.1,0.0,0.0,7.17
6,31,12575,Raúl Albiol,37.0, D(C),187.0,74.0,36,36.0,0,3238.0,1.2,1.2,0.8,0.8,4.8,0.3,0.6,0.0,6.74
7,32,102234,Manu Trigueros,30.0," M(CLR),FW",178.0,75.0,17(12),17.0,12,1544.0,1.2,0.1,1.1,0.0,0.7,1.1,0.4,0.0,6.66
8,33,369884,Xavier Quintillá,26.0, D(L),183.0,70.0,17(2),17.0,2,1573.0,1.2,0.6,1.4,0.4,1.6,0.5,0.2,0.0,6.54
9,34,344259,Pau Torres,25.0, D(C),191.0,80.0,33(1),33.0,1,2971.0,1.0,0.8,0.9,0.6,4.4,0.2,0.7,1.0,6.67
10,35,300365,Javier Ontiveros,25.0, AM(LR),170.0,75.0,7(23),7.0,23,875.0,1.0,0.2,0.7,0.0,0.2,0.9,0.0,0.0,6.53
11,36,101238,Moi Gómez,28.0, M(CLR),176.0,71.0,26(11),26.0,11,2330.0,0.8,0.7,0.6,0.1,0.4,0.6,0.1,0.0,6.71
12,37,349660,Manu Morlanes,23.0, DMC,178.0,75.0,3(6),3.0,6,249.0,0.8,0.2,0.7,0.0,0.2,0.8,0.1,0.0,6.38
13,38,121454,Ramiro Mori,31.0," D(C),DMC",186.0,79.0,5(2),5.0,2,452.0,0.7,0.4,1.0,0.7,1.3,0.3,0.3,0.0,6.21
14,39,363665,Samuel Chukwueze,23.0, AM(CR),172.0,70.0,20(17),20.0,17,2039.0,0.6,0.3,0.4,0.0,0.4,0.5,0.0,0.0,6.63
15,40,14231,Bruno Soriano,38.0, M(C),184.0,73.0,1(6),1.0,6,260.0,0.6,0.1,0.6,0.0,0.9,0.0,0.0,0.0,6.27
16,41,97659,Gerard Moreno,30.0," AM(CR),FW",180.0,77.0,33(2),33.0,2,2755.0,0.5,0.3,1.0,0.1,1.4,1.2,0.1,0.0,7.31
17,42,236504,Karl Toko-Ekambi,30.0," AM(LR),FW",185.0,74.0,11(7),11.0,7,995.0,0.3,0.2,0.4,0.0,0.1,0.2,0.0,0.0,6.71
18,43,71687,Carlos Bacca,36.0, FW,181.0,77.0,7(12),7.0,12,683.0,0.3,0.0,0.4,0.0,0.4,0.2,0.0,0.0,6.34
19,44,95953,Paco Alcácer,29.0," AM(R),FW",175.0,72.0,11(2),11.0,2,930.0,0.2,0.2,0.3,0.0,0.7,0.5,0.1,0.0,6.67
20,45,391082,Fernando Niño,21.0, FW,191.0,0.0,1(4),1.0,4,81.0,0.2,0.0,1.4,0.0,0.4,0.2,0.0,0.0,6.15
21,46,395242,Álex Baena,21.0, Midfielder,0.0,0.0,0(1),0.0,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07
22,47,32565,Andrés Fernández,35.0, GK,187.0,82.0,4,4.0,0,360.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,6.79
23,48,32258,Sergio Asenjo,33.0, GK,189.0,87.0,34,34.0,0,3060.0,0.0,0.0,0.1,0.0,0.7,0.1,0.0,0.0,6.83
24,49,391561,Sofian Chakla,29.0, D(C),188.0,77.0,2,2.0,0,180.0,0.0,1.5,1.5,0.5,3.5,0.5,0.5,0.0,5.81
