,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,23,14240,Christophe Jallet,38.0," D(LR),M(L)",178.0,70.0,13,13.0,0,1085.0,2.5,2.4,1.4,0.0,2.7,0.6,0.2,0.0,7.37
1,24,4649,Thiago Motta,40.0, M(C),187.0,83.0,31(1),31.0,1,2544.0,2.4,0.8,1.3,0.0,1.1,0.5,0.2,0.0,7.28
2,25,17778,Blaise Matuidi,35.0, M(CL),180.0,75.0,28(8),28.0,8,2555.0,2.4,1.7,1.2,0.0,0.6,0.6,0.1,0.0,7.11
3,26,91961,Marco Verratti,29.0, M(C),165.0,60.0,23(6),23.0,6,1996.0,2.4,1.4,1.7,0.0,0.3,1.4,0.4,0.0,7.19
4,27,89925,Lucas Digne,29.0," D(CL),M(L)",178.0,74.0,15,15.0,0,1336.0,2.3,1.7,1.0,0.1,1.8,0.2,0.2,0.0,7.3
5,28,44178,Gregory van der Wiel,34.0," D(CR),M(R)",183.0,69.0,24(1),24.0,1,2158.0,2.2,1.8,1.0,0.0,1.5,0.7,0.2,0.0,7.13
6,29,12376,Yohan Cabaye,36.0, M(C),174.0,71.0,9(6),9.0,6,819.0,1.7,1.1,0.9,0.0,0.5,0.8,0.0,0.0,6.73
7,30,10132,Alex,40.0, D(C),188.0,92.0,30(1),30.0,1,2612.0,1.5,1.8,0.6,0.4,3.9,0.1,0.6,1.0,7.11
8,31,116609,Adrien Rabiot,27.0," DMC,M(L)",188.0,71.0,12(13),12.0,13,1179.0,1.5,1.2,1.1,0.0,0.7,0.5,0.2,0.0,6.85
9,32,4871,Maxwell,41.0, D(L),176.0,73.0,23(1),23.0,1,2089.0,1.5,1.2,0.3,0.1,2.3,0.4,0.1,0.0,7.22
10,33,101949,Marquinhos,28.0," D(CR),DMC",183.0,75.0,17(4),17.0,4,1652.0,1.3,1.8,0.6,0.7,3.5,0.2,0.5,0.0,6.97
11,34,28550,Thiago Silva,38.0, D(C),183.0,79.0,28,28.0,0,2386.0,1.1,2.3,0.6,0.3,5.1,0.4,0.8,2.0,7.42
12,35,41220,Javier Pastore,33.0, AM(CLR),187.0,78.0,18(11),18.0,11,1580.0,1.1,0.8,0.7,0.0,0.4,0.5,0.0,0.0,6.7
13,36,10407,Jérémy Ménez,35.0," M(CLR),FW",182.0,79.0,7(9),7.0,9,683.0,0.9,0.7,0.6,0.0,0.1,0.1,0.2,0.0,6.61
14,37,128048,Hervin Ongenda,27.0, AM(L),170.0,65.0,3(3),3.0,3,231.0,0.8,0.0,0.7,0.0,0.0,0.8,0.0,0.0,6.58
15,38,92508,Lucas Moura,30.0," AM(CLR),FW",172.0,72.0,18(18),18.0,18,1936.0,0.8,0.4,0.6,0.0,0.1,0.1,0.0,0.0,7.22
16,39,24328,Edinson Cavani,35.0," AM(LR),FW",184.0,71.0,25(5),25.0,5,2299.0,0.7,0.8,0.8,0.0,0.5,0.2,0.1,0.0,7.16
17,40,16844,Ezequiel Lavezzi,37.0," AM(CLR),FW",173.0,75.0,25(7),25.0,7,1893.0,0.7,0.2,0.7,0.0,0.1,0.4,0.0,0.0,6.78
18,41,125883,Kingsley Coman,26.0," M(LR),FW",180.0,76.0,0(2),0.0,2,35.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,6.27
19,42,1551,Zoumana Camara,43.0, D(C),182.0,76.0,2(4),2.0,4,338.0,0.5,0.8,0.3,0.3,3.5,0.3,0.8,0.0,6.63
20,43,3281,Zlatan Ibrahimovic,41.0, FW,195.0,95.0,32(1),32.0,1,2774.0,0.3,0.3,2.0,0.0,0.9,0.1,0.0,0.0,7.79
21,44,19664,Nicolas Douchez,42.0, GK,186.0,81.0,1,1.0,0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.26
22,45,22627,Salvatore Sirigu,35.0, GK,192.0,80.0,37,37.0,0,3330.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,6.89
