,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,27,6778,Jérémy Toulalan,39.0," D(C),M(C)",183.0,86.0,28,28.0,0,2447.0,3.5,2.3,1.0,0.1,3.6,1.0,0.3,0.0,7.32
1,28,91978,Geoffrey Kondogbia,29.0," D(C),DMC",188.0,80.0,22(1),22.0,1,1912.0,3.1,2.5,1.3,0.0,0.7,1.2,0.1,1.0,7.26
2,29,135211,Tiemoué Bakayoko,28.0, DMC,185.0,77.0,10(2),10.0,2,835.0,2.9,3.3,1.6,0.0,1.6,1.4,0.3,0.0,7.22
3,30,115916,Fabinho,28.0," D(CR),DMC",188.0,78.0,35(1),35.0,1,3169.0,2.7,2.6,1.5,0.3,2.2,1.1,0.1,0.0,7.38
4,31,92795,Layvin Kurzawa,30.0," D(L),M(L)",182.0,74.0,25(2),25.0,2,2205.0,2.1,2.9,0.6,0.3,2.7,0.9,0.3,0.0,7.54
5,32,16161,João Moutinho,36.0, M(C),170.0,61.0,35(2),35.0,2,3165.0,2.1,1.8,1.1,0.0,0.5,1.5,0.2,0.0,7.27
6,33,262262,Almamy Touré,26.0," D(CR),M(R)",183.0,81.0,4(1),4.0,1,375.0,2.0,2.2,0.4,0.6,1.4,0.8,0.4,0.0,7.21
7,34,136741,Bernardo Silva,28.0," M(CLR),FW",173.0,64.0,25(7),25.0,7,2287.0,1.8,1.0,1.0,0.0,0.1,1.6,0.0,0.0,7.23
8,35,33663,Elderson Echiéjilé,34.0, D(L),184.0,76.0,10(2),10.0,2,889.0,1.8,2.1,0.8,0.3,3.0,0.4,0.2,0.0,6.99
9,36,120818,Nabil Dirar,36.0," D(LR),M(CR)",187.0,82.0,13(14),13.0,14,1275.0,1.3,0.4,1.0,0.0,0.6,0.5,0.1,0.0,6.55
10,37,6666,Ricardo Carvalho,44.0, D(C),183.0,79.0,23(2),23.0,2,1991.0,1.3,2.7,0.5,0.8,5.0,0.6,0.5,0.0,7.02
11,38,115472,Yannick Carrasco,29.0," M(CLR),FW",185.0,73.0,33(3),33.0,3,2813.0,1.3,1.0,1.4,0.0,0.2,0.7,0.1,0.0,7.25
12,39,115587,Lucas Ocampos,28.0," M(CLR),FW",187.0,84.0,7(10),7.0,10,557.0,1.3,0.5,0.6,0.0,0.1,0.4,0.1,0.0,6.31
13,40,83250,Aymen Abdennour,33.0, D(C),187.0,85.0,17(1),17.0,1,1529.0,1.3,2.2,0.6,0.8,5.8,0.2,0.5,1.0,6.99
14,41,21251,Alain Sibiri Traoré,33.0," M(C),FW",176.0,73.0,0(1),0.0,1,23.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.94
15,42,17946,Andrea Raggi,38.0, D(CLR),187.0,82.0,27,27.0,0,2379.0,0.7,2.1,0.7,0.6,4.9,0.6,0.3,0.0,6.85
16,43,67180,Lacina Emeghara Traoré,32.0, FW,203.0,87.0,3(3),3.0,3,261.0,0.7,0.0,2.0,0.0,0.7,0.0,0.0,0.0,6.62
17,44,132669,Wallace,27.0, D(C),191.0,85.0,11(3),11.0,3,1013.0,0.6,2.8,0.9,0.9,6.4,0.4,0.5,0.0,7.05
18,45,122366,Anthony Martial,26.0," AM(LR),FW",181.0,76.0,19(16),19.0,16,1828.0,0.5,0.1,1.5,0.0,0.2,0.3,0.1,0.0,6.73
19,46,2213,Dimitar Berbatov,41.0," AM(C),FW",188.0,79.0,18(8),18.0,8,1742.0,0.5,0.4,1.8,0.0,0.7,0.2,0.0,0.0,6.65
20,47,93917,Valère Germain,32.0," AM(CLR),FW",181.0,75.0,9(20),9.0,20,825.0,0.3,0.1,0.4,0.0,0.5,0.3,0.0,0.0,6.36
21,48,248112,Abdou Diallo,26.0, D(CL),187.0,79.0,1(4),1.0,4,85.0,0.2,1.0,0.2,0.0,0.8,0.2,0.0,0.0,6.23
22,49,101922,Matheus Carvalho,30.0, Forward,177.0,69.0,4(4),4.0,4,324.0,0.1,0.5,0.1,0.0,0.1,0.3,0.0,0.0,6.44
23,50,29214,Danijel Subasic,37.0, GK,191.0,84.0,37,37.0,0,3330.0,0.0,0.1,0.1,0.0,0.6,0.0,0.0,0.0,6.76
24,51,243076,Aboubakar Kamara,27.0," AM(R),FW",177.0,81.0,0(2),0.0,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02
25,52,4065,Maarten Stekelenburg,40.0, GK,197.0,92.0,1,1.0,0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.29
26,53,18701,Radamel Falcao,36.0, FW,177.0,72.0,1(2),1.0,2,128.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.59
