,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,35954,Kevin Strootman,32.0, DMC,186.0,78.0,21(7),21.0,7,1941.0,2.7,0.9,1.3,0.0,0.9,1.1,0.2,0.0,6.76
1,25,134902,Jordan Amavi,28.0," D(L),M(L)",176.0,70.0,24(4),24.0,4,2178.0,2.6,1.6,1.6,0.3,2.8,0.8,0.3,0.0,6.91
2,26,43369,Luiz Gustavo,35.0," D(C),M(C)",187.0,78.0,26(4),26.0,4,2434.0,2.4,1.1,1.2,0.3,2.0,1.2,0.4,0.0,6.72
3,27,115587,Lucas Ocampos,28.0," M(CLR),FW",187.0,84.0,31(3),31.0,3,2715.0,2.4,0.9,1.5,0.1,0.7,1.4,0.1,0.0,7.14
4,28,104747,Bouna Sarr,30.0," D(R),M(CLR)",177.0,69.0,25(4),25.0,4,2244.0,2.3,1.3,1.3,0.1,1.7,0.6,0.1,0.0,6.96
5,29,331790,Boubacar Kamara,22.0," D(CL),DMC",184.0,68.0,27(4),27.0,4,2411.0,2.2,1.5,0.8,0.5,2.9,0.5,0.4,0.0,6.8
6,30,62108,Hiroki Sakai,32.0," D(CLR),M(R)",185.0,78.0,26(1),26.0,1,2373.0,2.1,1.4,1.2,0.3,2.4,0.9,0.4,0.0,7.09
7,31,115508,Morgan Sanson,28.0, M(CLR),180.0,73.0,27(6),27.0,6,2406.0,2.1,1.3,1.6,0.0,0.2,1.7,0.0,0.0,6.86
8,32,9279,Rolando,37.0, D(C),189.0,77.0,9(1),9.0,1,804.0,1.8,1.1,0.8,0.2,2.5,0.2,0.6,0.0,6.65
9,33,33286,Tomás Hubocan,37.0, D(CLR),184.0,70.0,0(2),0.0,2,67.0,1.5,1.0,0.5,1.0,2.5,0.5,0.0,0.0,6.63
10,34,288883,Maxime Lopez,24.0, M(CR),167.0,58.0,25(7),25.0,7,2188.0,1.5,0.6,1.0,0.0,0.2,1.1,0.1,0.0,6.71
11,35,99143,Florian Thauvin,29.0," M(CLR),FW",179.0,70.0,30(3),30.0,3,2625.0,1.3,0.2,0.9,0.0,0.1,0.6,0.0,0.0,7.19
12,36,251134,Duje Caleta-Car,26.0, D(C),192.0,89.0,17(3),17.0,3,1546.0,1.1,1.0,0.7,0.6,4.2,0.2,0.5,0.0,6.65
13,37,93917,Valère Germain,32.0," AM(CLR),FW",181.0,75.0,23(13),23.0,13,2170.0,1.1,0.2,0.6,0.0,0.8,0.7,0.1,0.0,6.8
14,38,26877,Adil Rami,36.0, D(C),190.0,90.0,16,16.0,0,1414.0,0.9,1.1,1.1,0.1,3.1,0.3,0.9,0.0,6.74
15,39,44883,Grégory Sertic,33.0," D(C),M(C)",183.0,76.0,1(3),1.0,3,107.0,0.5,0.3,0.8,0.0,0.5,0.3,0.3,0.0,6.14
16,40,121849,Clinton N'Jie,29.0," AM(LR),FW",176.0,73.0,3(14),3.0,14,353.0,0.4,0.1,0.4,0.0,0.0,0.0,0.0,0.0,6.43
17,41,302441,Nemanja Radonjic,26.0, M(CLR),185.0,77.0,7(10),7.0,10,676.0,0.4,0.3,0.4,0.0,0.2,0.6,0.0,0.0,6.07
18,42,14058,Dimitri Payet,35.0," M(CLR),FW",175.0,77.0,23(8),23.0,8,1912.0,0.4,0.3,0.4,0.0,0.2,0.5,0.0,0.0,6.81
19,43,33799,Mario Balotelli,32.0, FW,189.0,88.0,12(3),12.0,3,940.0,0.3,0.2,1.6,0.0,0.4,0.3,0.1,0.0,6.86
20,44,349704,Christopher Rocchia,24.0, Defender,172.0,70.0,0(1),0.0,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.99
21,45,32432,Konstantinos Mitroglou,34.0, FW,188.0,86.0,7(7),7.0,7,580.0,0.0,0.0,0.6,0.0,0.4,0.2,0.0,0.0,6.38
22,46,29545,Steve Mandanda,37.0, GK,185.0,82.0,31,31.0,0,2737.0,0.0,0.0,0.1,0.0,0.6,0.1,0.0,0.0,6.48
23,47,19845,Yohann Pelé,39.0, GK,196.0,89.0,7(2),7.0,2,680.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,6.41
