,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,32,369109,Eduardo Camavinga,19.0, DMC,182.0,68.0,28(7),28.0,7,2413.0,2.8,0.7,1.6,0.0,0.4,1.1,0.1,0.0,6.8
1,33,398300,Brandon Soppy,20.0," D(R),M(R)",0.0,0.0,5(5),5.0,5,556.0,2.1,0.6,1.2,0.3,1.2,0.6,0.0,0.0,6.61
2,34,289018,Hamari Traoré,30.0," D(R),M(R)",175.0,73.0,34(1),34.0,1,3004.0,1.6,2.2,1.1,0.3,1.1,1.1,0.1,0.0,6.89
3,35,372280,Sacha Boey,22.0, D(R),178.0,70.0,2,2.0,0,125.0,1.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,6.07
4,36,388098,Jérémy Doku,20.0, AM(LR),171.0,66.0,26(4),26.0,4,2318.0,1.5,0.4,1.2,0.0,0.0,0.5,0.0,0.0,7.07
5,37,398301,Adrien Truffert,20.0," D(L),M(L)",173.0,61.0,23(6),23.0,6,1957.0,1.3,0.6,0.8,0.2,1.1,0.4,0.2,0.0,6.61
6,38,300291,Romain Del Castillo,26.0," AM(LR),FW",172.0,60.0,5(21),5.0,21,639.0,1.2,0.1,0.5,0.0,0.1,0.8,0.0,0.0,6.48
7,39,296241,Flavien Tait,29.0, M(CLR),175.0,70.0,16(7),16.0,7,1371.0,1.1,0.6,0.8,0.0,0.0,1.0,0.1,0.0,6.66
8,40,129282,Benjamin Bourigeaud,28.0, M(CLR),178.0,68.0,29(8),29.0,8,2559.0,1.1,0.5,0.7,0.0,0.6,1.4,0.0,0.0,6.86
9,41,362434,Nayef Aguerd,26.0, D(C),188.0,76.0,35,35.0,0,3148.0,1.1,1.3,0.6,0.4,2.9,0.3,0.6,0.0,6.94
10,42,404616,Lesley Ugochukwu,18.0, M(C),188.0,0.0,1(2),1.0,2,64.0,1.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,6.19
11,43,39935,Steven Nzonzi,33.0, M(C),196.0,75.0,33(1),33.0,1,2910.0,1.0,0.5,1.1,0.0,0.7,0.6,0.3,0.0,6.73
12,44,329356,Martin Terrier,25.0," AM(CL),FW",184.0,71.0,30(4),30.0,4,2454.0,1.0,0.5,1.0,0.0,0.2,0.8,0.0,0.0,6.88
