,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,31,10705,Edgar Barreto,38.0, M(C),180.0,79.0,3(1),3.0,1,300.0,3.5,1.5,1.8,0.0,1.0,1.3,0.3,0.0,7.05
1,32,6638,Gianpaolo Bellini,42.0, D(LR),178.0,75.0,29,29.0,0,2547.0,2.7,2.7,1.4,0.5,4.0,0.6,0.4,0.0,7.06
2,33,15845,Maximiliano Pellegrino,42.0," D(L),DMC",189.0,81.0,6,6.0,0,473.0,2.5,1.3,2.3,1.0,6.7,0.3,0.5,0.0,6.58
3,34,25485,Tiberio Guarente,36.0, DMC,180.0,67.0,32,32.0,0,2816.0,2.3,2.8,1.8,0.0,1.6,1.2,0.3,0.0,7.1
4,35,11348,Leonardo Talamonti,40.0, D(CL),183.0,77.0,15(2),15.0,2,1312.0,2.2,2.5,1.4,1.3,6.4,0.6,0.4,0.0,6.85
5,36,1657,Thomas Manfredini,42.0, D(C),182.0,84.0,26,26.0,0,2217.0,2.2,2.6,2.2,1.8,6.4,0.3,0.5,0.0,7.19
6,37,12542,Daniele Capelli,36.0, D(CR),184.0,82.0,10,10.0,0,830.0,2.1,1.7,1.4,0.9,3.7,0.7,0.4,0.0,6.79
7,38,23043,Simone Padoin,38.0," D(LR),M(CLR)",179.0,73.0,36,36.0,0,3224.0,1.8,1.1,1.5,0.0,1.1,0.6,0.2,0.0,6.73
8,39,10433,Ferreira Pinto,42.0," D(C),M(R)",178.0,70.0,21(2),21.0,2,1527.0,1.8,2.0,0.9,0.0,0.7,0.3,0.0,0.0,6.97
9,40,12492,György Garics,38.0," D(R),M(R)",183.0,76.0,28(2),28.0,2,2549.0,1.5,1.8,0.7,0.3,3.6,0.3,0.2,0.0,6.72
10,41,18723,Federico Peluso,38.0," D(CL),M(L)",187.0,82.0,17(7),17.0,7,1675.0,1.5,1.6,1.5,0.9,6.1,0.5,0.6,1.0,6.84
11,42,1963,Sergio Volpi,48.0, Midfielder,174.0,69.0,1(4),1.0,4,142.0,1.4,0.8,0.8,0.0,0.2,0.2,0.2,0.0,6.47
12,43,12141,Jaime Valdés,41.0, AM(C),172.0,66.0,25(8),25.0,8,2217.0,1.4,0.9,1.0,0.0,0.6,0.3,0.0,0.0,7.15
13,44,35640,Ivan Radovanovic,34.0," D(C),DMC",186.0,80.0,3(9),3.0,9,418.0,1.3,1.3,0.8,0.1,1.7,0.8,0.1,0.0,6.35
14,45,13720,Paolo Bianco,45.0, D(C),184.0,77.0,20(1),20.0,1,1863.0,1.2,2.2,2.0,1.1,7.2,0.6,0.5,0.0,6.67
15,46,1969,Diego De Ascentis,46.0, M(CR),178.0,77.0,14(3),14.0,3,1130.0,1.0,2.1,1.3,0.0,0.9,0.3,0.1,0.0,6.63
16,47,34333,Miguel Layún,34.0," D(LR),M(CLR)",180.0,76.0,0(2),0.0,2,31.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,6.51
17,48,6167,Paolo Zanetti,39.0, Midfielder,184.0,76.0,2,2.0,0,99.0,1.0,1.0,2.5,0.0,1.5,0.0,0.0,0.0,6.08
18,49,151,Cristiano Doni,49.0, AM(CL),185.0,79.0,23(7),23.0,7,2035.0,1.0,0.7,1.4,0.0,0.8,0.2,0.1,0.0,6.82
19,50,15438,Fabio Ceravolo,35.0, FW,180.0,73.0,9(18),9.0,18,1145.0,0.9,0.5,0.6,0.0,0.2,0.3,0.0,0.0,6.44
20,51,10860,Fabio Caserta,44.0," D(C),DMC",180.0,71.0,5(9),5.0,9,552.0,0.7,0.7,0.7,0.0,0.4,0.1,0.0,0.0,6.49
21,52,1136,Nicola Amoruso,48.0," AM(L),FW",186.0,75.0,12(3),12.0,3,1047.0,0.6,0.2,2.2,0.0,0.2,0.0,0.1,0.0,6.52
22,53,74921,Manolo Gabbiadini,30.0," AM(CLR),FW",181.0,75.0,0(2),0.0,2,23.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.13
23,54,32396,Nicola Madonna,35.0, Defender,182.0,72.0,2(4),2.0,4,148.0,0.5,0.0,0.3,0.0,0.3,0.2,0.0,0.0,6.07
24,55,5612,Simone Tiribocchi,44.0," AM(L),FW",180.0,79.0,28(9),28.0,9,2484.0,0.4,0.4,1.3,0.0,0.3,0.1,0.1,0.0,6.7
25,56,13901,Robert Acquafresca,35.0, FW,184.0,67.0,10(2),10.0,2,881.0,0.1,0.3,0.4,0.0,0.6,0.3,0.0,0.0,6.48
26,57,42879,Andrea Consigli,35.0, GK,189.0,82.0,31,31.0,0,2748.0,0.0,0.0,0.0,0.0,1.3,0.1,0.0,0.0,6.78
27,58,23313,Christian Tiboni,34.0, Forward,189.0,78.0,1(1),1.0,1,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99
28,59,2565,Javier Chevantón,42.0, FW,178.0,70.0,3(9),3.0,9,388.0,0.0,0.2,0.8,0.0,0.1,0.1,0.1,0.0,6.3
29,60,17953,Ferdinando Coppola,44.0, GK,188.0,86.0,7(1),7.0,1,673.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,6.52
30,61,40384,Giacomo Bonaventura,33.0, M(CLR),180.0,75.0,0(1),0.0,1,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32
