,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,29,5785,Marco Cassetti,45.0," D(C),M(R)",187.0,80.0,26(3),26.0,3,2337.0,3.0,2.1,1.7,0.3,4.1,0.9,0.4,0.0,7.08
1,30,2239,David Pizarro,43.0, M(C),170.0,65.0,31,31.0,0,2748.0,2.8,2.3,0.9,0.1,0.7,1.1,0.3,0.0,7.58
2,31,5698,Rodrigo Taddei,42.0, M(C),177.0,69.0,25(8),25.0,8,2252.0,2.7,1.8,1.6,0.0,0.8,1.0,0.0,0.0,7.05
3,32,5202,Daniele De Rossi,39.0," D(C),M(C)",184.0,83.0,33,33.0,0,2811.0,2.5,2.4,1.2,0.2,1.7,1.4,0.2,0.0,7.48
4,33,1964,Simone Perrotta,45.0," D(C),M(CR),FW",178.0,72.0,31(1),31.0,1,2705.0,2.4,1.4,1.6,0.0,1.0,0.5,0.3,0.0,6.97
5,34,22108,Ricardo Faty,36.0," D(C),DMC",192.0,82.0,2(6),2.0,6,317.0,2.3,1.1,0.6,0.0,0.3,0.3,0.0,0.0,6.51
6,35,3729,Juan,43.0, D(C),182.0,74.0,28(1),28.0,1,2504.0,2.1,4.1,0.9,1.0,7.8,0.7,0.5,0.0,7.48
7,36,10407,Jérémy Ménez,35.0," M(CLR),FW",182.0,79.0,18(5),18.0,5,1390.0,1.8,1.0,1.7,0.0,0.3,0.4,0.0,0.0,7.2
8,37,1045,John Arne Riise,42.0, D(L),188.0,77.0,34(2),34.0,2,3083.0,1.5,2.4,0.8,0.3,4.6,0.8,0.2,0.0,7.21
9,38,2303,Philippe Mexes,40.0, D(C),187.0,82.0,16(3),16.0,3,1400.0,1.5,2.0,1.5,2.0,7.4,0.5,0.5,0.0,7.01
10,39,78892,Marco Andreolli,36.0, D(C),187.0,81.0,4(4),4.0,4,437.0,1.4,1.6,0.9,1.1,4.1,0.3,0.1,1.0,6.63
11,40,2568,Matteo Brighi,41.0, M(C),179.0,78.0,15(9),15.0,9,1348.0,1.4,1.3,0.9,0.0,0.9,0.6,0.1,0.0,6.74
12,41,14118,Stefano Guberti,37.0," AM(CL),FW",180.0,68.0,3(3),3.0,3,321.0,1.3,0.3,0.5,0.0,0.2,0.5,0.0,0.0,6.73
13,42,4580,Mirko Vucinic,39.0, FW,186.0,76.0,32(2),32.0,2,2559.0,1.2,0.8,1.1,0.0,0.6,0.3,0.0,0.0,7.55
14,43,10333,Nicolás Burdisso,41.0, D(C),183.0,81.0,32(1),32.0,1,2888.0,1.1,2.4,1.0,1.3,6.5,0.3,0.8,0.0,7.09
15,44,12874,Marco Motta,36.0," D(R),M(R)",188.0,81.0,13(3),13.0,3,1103.0,1.1,2.4,0.9,0.3,3.3,0.2,0.3,0.0,7.04
16,45,12473,Alessio Cerci,35.0," M(R),FW",178.0,78.0,2(7),2.0,7,264.0,0.9,0.3,0.6,0.0,0.0,0.3,0.0,0.0,6.56
17,46,9444,Julio Baptista,41.0," AM(C),FW",183.0,86.0,4(19),4.0,19,641.0,0.7,0.0,1.0,0.0,0.0,0.2,0.0,0.0,6.51
18,47,183,Francesco Totti,46.0," AM(CL),FW",180.0,82.0,21(2),21.0,2,1808.0,0.5,0.3,2.3,0.0,0.0,0.3,0.0,0.0,7.58
19,48,7459,Adrian Florin Pit,39.0, Midfielder,188.0,80.0,0(2),0.0,2,42.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,6.51
20,49,14255,Stefano Okaka,33.0, FW,186.0,82.0,0(7),0.0,7,128.0,0.4,0.0,0.7,0.0,0.1,0.1,0.0,0.0,6.41
21,50,164,Luca Toni,45.0, FW,196.0,88.0,10(5),10.0,5,936.0,0.4,0.3,2.9,0.0,0.5,0.1,0.1,0.0,7.05
22,51,470,Max Tonetto,47.0, Defender,174.0,67.0,0(3),0.0,3,82.0,0.3,0.3,0.3,0.7,0.7,0.0,0.0,0.0,6.21
23,52,14252,Doni,42.0, GK,194.0,91.0,7,7.0,0,551.0,0.1,0.0,0.1,0.0,1.0,0.1,0.0,0.0,6.28
24,53,19161,Artur Moraes,41.0, GK,193.0,90.0,1,1.0,0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.71
25,54,4609,Bogdan Lobont,44.0, GK,185.0,78.0,0(2),0.0,2,145.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,6.18
26,55,119500,Cicinho,42.0, D(R),172.0,68.0,0(2),0.0,2,36.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,6.28
27,56,24526,Julio Sergio,43.0, GK,187.0,80.0,30,30.0,0,2633.0,0.0,0.0,0.0,0.0,1.2,0.1,0.0,0.0,6.93
28,57,82967,Stefano Pettinari,30.0, Forward,185.0,75.0,0(1),0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15
