,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,30,91312,Felice Natalino,30.0, Defender,187.0,74.0,1(1),1.0,1,128.0,3.5,4.5,1.0,0.5,1.0,1.5,1.0,0.0,6.65
1,31,460,Lúcio,44.0, D(C),188.0,84.0,30(1),30.0,1,2688.0,2.9,4.9,1.3,1.3,6.2,0.7,0.7,0.0,7.77
2,32,27421,Andrea Ranocchia,34.0, D(C),195.0,81.0,17(1),17.0,1,1486.0,2.8,3.4,0.6,1.0,6.8,1.1,0.9,0.0,7.48
3,33,10610,Houssine Kharja,39.0," D(C),M(C),FW",181.0,77.0,10(5),10.0,5,923.0,2.8,0.9,1.7,0.0,0.7,0.7,0.3,0.0,7.0
4,34,2668,Javier Zanetti,49.0," D(R),DMC,M(R)",178.0,75.0,35,35.0,0,3147.0,2.8,1.4,0.8,0.1,1.5,0.5,0.3,0.0,7.1
5,35,9838,Esteban Cambiasso,42.0," D(C),M(C)",177.0,78.0,28(2),28.0,2,2375.0,2.5,2.0,1.0,0.1,1.2,1.3,0.2,0.0,7.09
6,36,4649,Thiago Motta,40.0, M(C),187.0,83.0,15(4),15.0,4,1367.0,2.2,1.3,1.4,0.0,1.2,0.8,0.4,0.0,7.17
7,37,4029,Cristian Chivu,41.0, D(C),184.0,83.0,24,24.0,0,1992.0,1.8,2.9,1.3,0.3,3.5,0.8,0.3,0.0,7.03
8,38,1692,Dejan Stankovic,44.0," D(C),M(CR),FW",181.0,75.0,22(4),22.0,4,1818.0,1.7,1.3,1.3,0.1,1.3,0.5,0.4,0.0,7.2
9,39,8007,Maicon,41.0, D(R),184.0,77.0,28,28.0,0,2457.0,1.6,1.8,0.7,0.3,2.8,0.8,0.4,0.0,7.42
10,40,20068,McDonald Mariga,35.0, DMC,188.0,86.0,2(10),2.0,10,322.0,1.3,0.6,0.8,0.0,0.4,0.4,0.1,0.0,6.33
11,41,575,Walter Samuel,44.0, D(C),183.0,83.0,8(2),8.0,2,659.0,1.3,1.7,1.6,0.6,3.8,0.2,0.3,0.0,6.8
12,42,37188,Yuto Nagatomo,36.0," D(LR),M(LR)",170.0,68.0,10(3),10.0,3,915.0,1.2,2.1,0.7,0.0,2.5,0.3,0.0,0.0,7.11
13,43,532,Iván Córdoba,46.0," D(L),DMC",173.0,70.0,15(7),15.0,7,1532.0,1.0,2.2,1.0,0.7,4.3,0.5,0.6,0.0,6.7
14,44,91311,Nwankwo Obiora,31.0, DMC,183.0,77.0,0(2),0.0,2,46.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,6.33
15,45,44642,Davide Santon,31.0, D(LR),187.0,77.0,5(7),5.0,7,482.0,0.9,0.6,0.3,0.2,1.0,0.3,0.1,0.0,6.46
16,46,41237,Jonathan Biabiany,34.0," M(LR),FW",177.0,73.0,9(5),9.0,5,705.0,0.9,0.6,0.5,0.0,0.1,0.2,0.0,0.0,6.63
17,47,1594,Samuel Eto'o,41.0," M(CL),FW",179.0,75.0,35,35.0,0,2967.0,0.8,0.5,0.7,0.0,0.1,0.2,0.0,0.0,7.63
18,48,6166,Sulley Muntari,38.0, M(C),179.0,76.0,1(7),1.0,7,201.0,0.6,0.6,0.6,0.0,0.4,0.0,0.1,0.0,6.3
19,49,67432,Joel Obi,31.0, M(CR),176.0,71.0,2(8),2.0,8,248.0,0.6,0.5,1.0,0.0,0.6,0.3,0.0,0.0,6.34
20,50,4923,Wesley Sneijder,38.0, AM(CL),171.0,67.0,22(3),22.0,3,2000.0,0.6,0.4,0.6,0.0,0.0,0.4,0.1,0.0,7.27
21,51,80767,Philippe Coutinho,30.0, M(CLR),172.0,68.0,8(5),8.0,5,779.0,0.5,0.5,0.8,0.0,0.5,0.6,0.0,0.0,6.74
22,52,242,Marco Materazzi,49.0, DMC,193.0,92.0,6(2),6.0,2,551.0,0.5,1.9,0.6,0.9,6.0,0.0,0.3,0.0,6.48
23,53,6093,Goran Pandev,39.0," M(CR),FW",184.0,75.0,17(10),17.0,10,1632.0,0.5,0.3,0.7,0.0,0.1,0.2,0.0,0.0,6.61
24,54,9975,Giampaolo Pazzini,38.0, FW,180.0,77.0,14(3),14.0,3,1226.0,0.4,0.5,1.2,0.1,0.6,0.0,0.1,0.0,7.15
25,55,10090,Diego Milito,43.0, FW,183.0,78.0,16(7),16.0,7,1430.0,0.3,0.1,0.7,0.0,0.3,0.0,0.0,0.0,6.71
26,56,5912,Mancini,42.0, Midfielder,183.0,78.0,0(2),0.0,2,9.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.16
27,57,74162,Denis Alibec,31.0, FW,187.0,77.0,0(2),0.0,2,58.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,6.07
28,58,14149,Julio César,43.0, GK,186.0,80.0,25,25.0,0,2158.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,7.04
29,59,3155,Luca Castellazzi,47.0, GK,192.0,89.0,13(2),13.0,2,1262.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,6.56
