,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,252419,Denis Zakaria,25.0," D(C),DMC",191.0,81.0,1(1),1.0,1,122.0,3.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,6.65
1,25,273539,Manuel Locatelli,24.0, M(C),185.0,75.0,6,6.0,0,504.0,2.2,0.7,1.0,0.0,0.8,0.5,0.8,0.0,6.82
2,26,88300,Danilo,31.0," D(CLR),DMC",184.0,78.0,7(1),7.0,1,642.0,1.6,1.4,0.6,0.3,2.4,0.5,0.5,0.0,6.82
3,27,425080,Fabio Miretti,19.0, M(C),0.0,0.0,4(4),4.0,4,406.0,1.4,0.3,1.0,0.0,0.4,0.9,0.0,0.0,6.43
4,28,116609,Adrien Rabiot,27.0," DMC,M(L)",188.0,71.0,4,4.0,0,315.0,1.3,0.8,2.0,0.0,0.0,0.5,0.5,0.0,7.01
5,29,93700,Leandro Paredes,28.0, DMC,180.0,75.0,3(1),3.0,1,294.0,1.3,1.0,1.5,0.0,0.8,0.8,0.0,0.0,6.43
6,30,100995,Alex Sandro,31.0," D(CL),M(L)",180.0,80.0,5(2),5.0,2,398.0,1.0,0.7,1.3,0.3,1.3,0.0,0.4,0.0,6.79
7,31,44868,Juan Cuadrado,34.0," D(R),M(CLR),FW",179.0,72.0,6(1),6.0,1,454.0,1.0,0.7,0.4,0.0,0.3,0.7,0.0,0.0,6.61
8,32,339875,Bremer,25.0, D(C),188.0,80.0,8,8.0,0,715.0,0.9,1.9,1.4,0.5,3.1,0.1,0.9,0.0,6.91
9,33,107275,Mattia De Sciglio,29.0," D(CLR),M(LR)",182.0,78.0,4(4),4.0,4,460.0,0.9,0.3,0.1,0.1,0.9,0.3,0.3,0.0,6.34
10,34,23110,Ángel Di María,34.0," M(CLR),FW",180.0,75.0,3(1),3.0,1,188.0,0.8,0.3,1.0,0.0,0.0,1.0,0.0,0.0,6.43
11,35,105995,Filip Kostic,29.0," M(LR),FW",184.0,84.0,6(2),6.0,2,525.0,0.8,0.5,1.1,0.0,0.5,0.6,0.1,0.0,6.72
12,36,328990,Moise Kean,22.0," AM(LR),FW",183.0,67.0,2(5),2.0,5,164.0,0.7,0.1,1.0,0.0,0.1,0.3,0.0,0.0,6.17
13,37,439909,Federico Gatti,24.0, Defender,190.0,0.0,2,2.0,0,180.0,0.5,2.0,0.5,1.5,3.5,0.0,1.0,0.0,6.65
14,38,20664,Leonardo Bonucci,35.0, D(C),190.0,85.0,3(1),3.0,1,282.0,0.5,0.8,0.8,0.5,2.0,0.0,0.8,0.0,6.78
15,39,315369,Dusan Vlahovic,22.0, FW,190.0,75.0,7,7.0,0,621.0,0.4,0.1,1.1,0.0,0.3,0.0,0.1,0.0,7.16
16,40,338275,Weston McKennie,24.0," D(C),M(CLR)",185.0,84.0,6(1),6.0,1,476.0,0.4,0.6,0.7,0.0,1.3,0.1,0.3,0.0,6.59
17,41,104257,Arkadiusz Milik,28.0," AM(C),FW",186.0,80.0,2(3),2.0,3,234.0,0.4,0.0,1.0,0.0,0.6,0.0,0.0,0.0,6.86
18,42,369426,Nicolò Fagioli,21.0, Midfielder,178.0,71.0,0(3),0.0,3,39.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,6.27
19,43,369688,Nicolò Rovella,20.0, DMC,179.0,66.0,0(3),0.0,3,23.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6.15
20,44,116207,Daniele Rugani,28.0, D(C),190.0,84.0,1,1.0,0,90.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,6.53
21,45,425079,Matìas Soulé,19.0, Midfielder,176.0,0.0,0(3),0.0,3,23.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,6.23
22,46,78880,Mattia Perin,29.0, GK,188.0,85.0,5(1),5.0,1,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83
23,47,73379,Wojciech Szczesny,32.0, GK,195.0,90.0,3,3.0,0,223.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.69
