,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,9016,Franck Ribéry,39," AM(CL),FW",170,72,27(5),27,5,2393,12,12,2.2,2.1,4.0,2.9,0.3,2.8,0.8,7.88
1,1,4173,Arjen Robben,38," M(CLR),FW",180,80,18(6),18,6,1714,12,5,2.9,2.2,2.5,1.7,0.4,0.8,0.8,7.54
2,2,37099,Thomas Müller,33," M(CLR),FW",185,76,33(1),33,1,2702,7,7,1.9,1.8,1.6,2.0,0.4,1.9,1.3,7.31
3,3,31772,Toni Kroos,32, M(C),183,76,27(4),27,4,2357,4,9,1.6,1.9,1.4,1.8,0.1,1.3,0.6,7.52
4,4,39722,David Alaba,30," D(CL),M(CL)",180,78,14(16),14,16,1559,2,2,0.6,0.7,1.4,0.3,0.0,0.4,0.6,6.97
5,5,5570,Philipp Lahm,38," D(R),DMC",170,66,31,31,0,2751,0,3,0.3,1.0,1.3,1.1,0.0,0.8,0.2,7.39
6,6,4567,Bastian Schweinsteiger,38," D(C),M(C)",183,79,18(4),18,4,1730,3,3,1.2,1.3,1.2,1.8,0.2,1.9,0.6,7.56
7,7,43369,Luiz Gustavo,35," D(C),M(C)",187,78,18(10),18,10,1713,1,1,0.6,0.3,1.1,0.9,0.1,0.9,0.3,7.05
8,8,71692,Takashi Usami,30, AM(LR),178,69,2(1),2,1,167,0,0,1.0,0.3,1.0,1.7,0.0,0.7,0.7,6.54
9,9,6255,Mario Gomez,37, FW,189,89,30(3),30,3,2482,26,4,3.1,1.0,0.9,0.5,1.4,1.3,1.8,7.38
10,10,13755,Rafinha,37," D(CLR),M(R)",172,65,20(4),20,4,1789,0,2,0.4,0.8,0.9,0.9,0.0,0.6,0.3,7.06
11,11,70097,Diego Contento,32," D(L),M(L)",177,74,5(6),5,6,509,0,0,0.3,0.4,0.8,0.9,0.0,0.6,0.3,6.81
12,12,17746,Danijel Pranjic,40," D(L),M(C)",171,70,4(3),4,3,282,0,0,0.4,0.6,0.7,0.7,0.3,0.1,0.9,6.53
13,13,23589,Jérôme Boateng,34, D(CR),192,90,26(1),26,1,2183,0,1,0.3,0.1,0.5,0.7,0.0,0.3,0.1,7.14
14,14,3467,Ivica Olic,43," AM(LR),FW",182,85,4(16),4,16,580,2,1,1.0,0.3,0.5,0.5,0.5,0.8,0.5,6.5
15,15,29943,Holger Badstuber,33, D(CL),189,83,32(1),32,1,2898,0,1,0.4,0.1,0.3,0.9,0.0,0.1,0.2,7.21
16,16,2179,Daniel Van Buyten,44, D(C),197,96,12(1),12,1,1052,4,1,1.2,0.2,0.2,0.7,0.0,0.1,0.2,7.58
17,17,4801,Anatoliy Tymoshchuk,43, DMC,181,75,17(6),17,6,1570,0,0,0.8,0.3,0.2,0.9,0.0,0.5,0.4,7.02
18,18,29749,Nils Petersen,33, FW,188,84,2(7),2,7,228,2,0,1.4,0.3,0.1,0.1,0.1,0.3,0.4,6.49
19,19,13754,Manuel Neuer,36, GK,193,93,33,33,0,2970,0,0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,6.68
20,20,256,Jörg Butt,48, GK,191,91,1,1,0,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65
