,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,101735,Ante Rebic,29," AM(CLR),FW",185,78,21(4),21,4,1764,6,2,1.8,1.0,1.5,1.4,0.4,1.5,2.1,6.96
1,1,312666,Marius Wolf,27," D(R),M(CLR)",188,81,27(1),27,1,2368,5,8,1.3,1.2,1.5,0.8,0.2,1.3,1.3,7.04
2,2,115996,Omar Mascarell,29, DMC,181,76,8(1),8,1,770,1,0,0.4,0.8,1.1,0.9,0.0,1.0,0.4,7.08
3,3,344166,Daichi Kamada,26," AM(CLR),FW",184,76,2(1),2,1,145,0,0,0.7,0.3,1.0,0.7,1.0,1.0,0.3,6.19
4,4,94885,Jetro Willems,28," D(L),DMC,M(L)",169,65,19(4),19,4,1670,0,2,0.9,1.5,1.0,1.0,0.4,0.9,0.6,7.0
5,5,35433,Marco Fabián,33," AM(CR),FW",170,64,3(4),3,4,420,1,0,2.4,1.1,0.9,1.1,0.3,1.0,1.4,6.52
6,6,11867,Kevin-Prince Boateng,35," M(CLR),FW",187,85,27(4),27,4,2361,6,1,1.5,0.5,0.8,3.1,0.5,1.5,1.6,6.83
7,7,300318,Mijat Gacinovic,27, M(CLR),175,67,22(7),22,7,1820,1,3,1.3,0.7,0.7,1.2,0.0,1.1,0.7,6.75
8,8,19087,Jonathan de Guzmán,35, M(CLR),173,70,12(4),12,4,1094,0,3,0.7,1.2,0.6,0.8,0.0,1.1,0.6,6.72
9,9,236544,Sébastien Haller,28, FW,190,82,26(5),26,5,2352,9,4,1.3,1.0,0.5,1.7,0.7,2.0,2.1,6.96
10,10,315755,Luka Jovic,24, FW,182,85,9(13),9,13,929,8,1,1.7,0.4,0.5,0.5,0.3,0.8,1.0,6.57
11,11,329618,Aymen Barkok,24, AM(CR),189,82,2(7),2,7,311,0,1,0.3,0.8,0.4,0.2,0.3,0.8,1.0,6.35
12,12,94934,Danny da Costa,29," D(R),M(R)",187,87,13(4),13,4,1199,1,2,0.5,0.8,0.4,0.3,0.0,0.9,0.5,6.81
13,13,99989,Branimir Hrgota,29," AM(CLR),FW",185,76,2(4),2,4,195,0,0,0.5,0.3,0.3,0.5,0.5,1.5,0.3,6.11
14,14,23199,David Abraham,36, D(C),188,83,27,27,0,2304,0,2,0.3,0.3,0.3,0.7,0.0,0.2,0.3,6.94
15,15,13753,Marco Russ,37," D(C),DMC",190,88,12(7),12,7,1146,1,0,0.4,0.2,0.3,0.7,0.0,0.1,0.1,6.7
16,16,79522,Taleb Tawatha,30," D(L),M(L)",176,81,4(9),4,9,433,0,1,0.2,0.5,0.2,0.4,0.1,0.2,0.3,6.41
17,17,22418,Gelson Fernandes,36, DMC,179,70,12(7),12,7,1036,0,0,0.1,0.0,0.2,0.1,0.0,0.2,0.5,6.56
18,18,69467,Timothy Chandler,32," D(R),M(LR)",187,84,22(2),22,2,1893,2,4,1.0,1.0,0.2,0.8,0.2,0.3,0.6,6.82
19,19,108770,Simon Falette,30, D(C),185,89,25(2),25,2,2209,1,0,0.6,0.2,0.2,0.9,0.0,0.2,0.6,6.78
20,20,116466,Marc Stendera,26, M(C),173,72,5(2),5,2,374,0,0,1.1,0.1,0.1,1.4,0.1,0.4,0.3,6.64
21,21,126948,Carlos Salcedo,29, D(CR),183,85,17(3),17,3,1608,0,0,0.3,0.1,0.1,0.7,0.0,0.2,0.3,6.68
22,22,16954,Makoto Hasebe,38," D(CR),M(CR)",180,72,23(1),23,1,2090,0,0,0.1,0.2,0.0,1.2,0.0,0.2,0.4,6.57
23,23,5486,Alexander Meier,39," M(C),FW",196,96,0(1),0,1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01
24,24,132348,Danny Blum,31," AM(LR),FW",183,83,0(2),0,2,27,1,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.32
25,25,64846,Lukás Hrádecky,32, GK,192,83,34,34,0,3060,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.5
26,26,356064,Marijan Cavar,24, Midfielder,184,70,0(1),0,1,31,0,0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.6
27,27,63012,Slobodan Medojevic,31, DMC,182,77,0(1),0,1,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22
