,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,347340,Lukas Nmecha,23," AM(CR),FW",185,80,7,7,0,592,3,0,1.7,0.4,0.9,1.9,0.6,0.7,3.6,6.65
1,1,70105,Josuha Guilavogui,32," D(C),M(C)",188,77,4(2),4,2,387,1,0,0.2,0.3,0.3,0.7,0.2,0.7,0.5,6.7
2,2,401130,Maxence Lacroix,22, D(C),190,88,7,7,0,625,1,0,0.3,0.1,0.3,0.6,0.0,0.7,0.6,6.67
3,3,108919,Maximilian Arnold,28, M(CR),184,74,8,8,0,680,1,0,0.9,1.4,0.5,2.3,0.0,0.5,0.6,6.85
4,4,394749,Omar Marmoush,23," AM(L),FW",183,81,4(4),4,4,416,1,0,2.0,0.3,1.1,1.5,0.1,1.9,2.3,6.46
5,5,130899,Yannick Gerhardt,28," D(L),M(CL)",184,81,1(2),1,2,112,1,0,1.7,0.7,0.0,0.3,0.0,0.7,0.3,6.59
6,6,399957,Aster Vranckx,19, M(C),183,78,0(1),0,1,7,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.1
7,7,404275,Bartol Franjic,22," D(L),DMC",180,0,3(1),3,1,218,0,1,0.3,0.5,0.3,0.3,0.0,0.0,1.3,6.49
8,8,367783,Felix Nmecha,21, Midfielder,188,73,0(6),0,6,137,0,0,0.3,0.2,0.2,0.3,0.0,0.0,0.7,6.16
9,9,401352,Jakub Kaminski,20, Midfielder,179,71,3(3),3,3,248,0,1,0.8,0.7,0.5,0.5,0.0,0.7,2.2,6.23
10,10,353565,Jonas Wind,23," AM(C),FW",190,82,0(1),0,1,34,0,0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,6.25
11,11,298792,Josip Brekalo,24," AM(CLR),FW",175,70,3(2),3,2,262,0,1,0.4,1.0,1.0,0.6,0.2,1.2,0.6,6.39
12,12,393083,Kevin Paredes,19, M(L),168,54,0(4),0,4,68,0,0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,6.14
13,13,73797,Koen Casteels,30, GK,197,78,8,8,0,720,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82
14,14,148484,Luca Waldschmidt,26," AM(CLR),FW",181,74,3(3),3,3,276,0,0,0.3,0.0,0.2,0.2,0.2,0.2,1.5,6.06
15,15,282348,Mattias Svanberg,23, M(CL),185,75,6(2),6,2,429,0,2,0.5,1.0,0.4,1.1,0.1,0.6,1.1,6.58
16,16,31552,Max Kruse,34," M(CLR),FW",180,76,2(3),2,3,270,0,0,1.8,0.6,0.4,0.6,0.0,0.6,0.8,6.3
17,17,145267,Maximilian Philipp,28," AM(CLR),FW",183,79,1(1),1,1,90,0,0,0.5,0.5,0.0,2.5,0.5,0.5,0.5,6.2
18,18,425229,Micky van de Ven,21, D(C),193,81,8,8,0,720,0,0,0.3,0.1,0.4,0.4,0.0,0.4,0.5,6.39
19,19,418589,Patrick Wimmer,21, AM(R),182,77,3,3,0,198,0,1,0.7,1.3,1.0,1.0,0.0,2.0,1.7,6.66
20,20,114855,Paulo Otávio,27," D(L),M(L)",173,68,6,6,0,504,0,1,0.8,0.7,1.0,1.8,0.0,0.2,1.3,6.84
21,21,356183,Ridle Baku,24," D(R),M(CR)",176,72,7(1),7,1,661,0,0,0.9,1.0,0.4,1.3,0.0,0.4,1.6,6.42
22,22,364235,Sebastiaan Bornauw,23, D(C),191,81,4(1),4,1,277,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,6.12
