,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,13298,Samir Nasri,35, M(CLR),175,75,1,1,0,90,0,0,2.0,2.0,4.0,0.0,0.0,9.0,0.0,6.54
1,1,84146,Alex Oxlade Chamberlain,29, M(CLR),180,70,6(10),6,10,556,2,1,0.9,0.7,1.6,0.6,0.1,1.9,0.6,6.65
2,2,18214,Abou Diaby,36, M(C),191,75,0(4),0,4,91,0,0,0.8,0.0,1.5,0.3,0.0,2.0,0.5,6.39
3,3,17740,Gervinho,35," M(LR),FW",179,66,19(9),19,9,1688,4,6,1.4,1.3,1.4,0.7,0.2,1.8,1.5,6.8
4,4,845,Tomas Rosicky,41, M(CR),178,65,19(9),19,9,1760,1,4,1.4,1.5,1.2,0.8,0.0,1.1,0.6,6.93
5,5,27550,Kieran Gibbs,33," D(L),M(L)",181,73,15(1),15,1,1253,1,0,0.5,0.6,1.1,0.6,0.2,0.6,0.8,7.06
6,6,4564,Robin van Persie,39," AM(C),FW",183,71,37(1),37,1,3334,30,10,4.6,2.4,1.1,1.0,1.2,2.4,1.4,7.8
7,7,26820,Aaron Ramsey,31, M(CLR),178,76,27(7),27,7,2466,2,4,1.8,1.6,1.0,0.8,0.0,2.6,1.6,6.77
8,8,24366,Armand Traore,32," D(L),M(L)",185,81,1,1,0,90,0,0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.9
9,9,13796,Theo Walcott,33," M(CLR),FW",176,68,32(3),32,3,2749,8,8,2.2,1.2,1.0,1.2,0.7,1.9,2.3,6.86
10,10,27487,André Santos,39," D(L),M(CL)",180,73,10(5),10,5,1012,2,0,1.1,0.8,0.9,0.5,0.0,1.1,0.5,7.25
11,11,10599,Alexandre Song,35, M(C),185,74,34,34,0,2999,1,11,0.4,1.4,0.7,1.1,0.0,1.6,1.0,7.22
12,12,69738,Francis Coquelin,31, M(CLR),176,74,6(4),6,4,631,0,1,0.1,0.4,0.7,1.1,0.1,2.2,0.2,6.87
13,13,1443,Mikel Arteta,40, M(C),183,64,29,29,0,2475,6,2,1.4,2.1,0.7,1.9,0.0,0.9,0.6,7.45
14,14,4490,Yossi Benayoun,42, M(R),178,70,10(9),10,9,901,4,1,1.1,0.7,0.6,0.5,0.0,0.7,0.8,6.72
15,15,11680,Johan Djourou,35, D(C),191,87,14(4),14,4,1167,0,1,0.2,0.3,0.6,0.5,0.1,0.4,0.6,6.55
16,16,4599,Andrey Arshavin,41, AM(LR),172,69,8(11),8,11,722,1,3,1.4,1.0,0.6,0.2,0.2,0.6,0.9,6.43
17,17,30051,Laurent Koscielny,37, D(C),186,75,33,33,0,2874,2,1,0.6,0.4,0.5,0.8,0.0,0.3,0.5,7.24
18,18,69740,Emmanuel Frimpong,30, M(C),178,67,3(3),3,3,218,0,0,0.3,0.3,0.3,0.8,0.0,0.3,0.3,6.43
19,19,5,Thierry Henry,45," AM(L),FW",188,84,0(4),0,4,94,2,0,1.0,0.0,0.3,0.3,0.5,0.3,0.0,6.59
20,20,10209,Thomas Vermaelen,36, D(CL),183,80,28(1),28,1,2478,6,1,1.3,0.3,0.2,0.8,0.0,0.1,0.6,7.13
21,21,19471,Bacary Sagna,39, D(CR),176,72,20(1),20,1,1701,1,2,0.5,0.9,0.1,1.2,0.0,0.9,0.2,7.14
22,22,91879,Carl Jenkinson,30, D(R),185,77,5(4),5,4,494,0,1,0.1,0.7,0.1,0.1,0.0,0.6,0.7,6.29
23,23,6292,Per Mertesacker,38, D(C),198,90,21,21,0,1830,0,0,0.4,0.1,0.1,0.6,0.0,0.0,0.3,6.67
24,24,6236,Marouane Chamakh,38," AM(C),FW",185,70,1(10),1,10,169,1,0,0.7,0.2,0.1,0.7,0.0,0.5,0.4,6.34
25,25,73379,Wojciech Szczesny,32, GK,195,90,38,38,0,3420,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.6
26,26,21064,Park Chu-Young,37, FW,182,75,0(1),0,1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
27,27,32858,Henri Lansbury,31, M(C),183,78,0(2),0,2,24,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.97
28,28,96128,Ignasi Miquel,30, D(C),188,82,1(3),1,3,215,0,0,0.3,0.0,0.0,0.3,0.3,0.3,0.5,6.38
29,29,106454,Li Ke,29," D(R),DMC",175,65,0(1),0,1,45,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.14
30,30,13819,Nicklas Bendtner,34, FW,193,84,0(1),0,1,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89
31,31,3929,Sébastien Squillaci,42, D(C),185,80,0(1),0,1,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06
